Slice,Mean
1,121.42027
2,120.95483
3,120.80733
4,121.04335
5,121.16383
6,120.65376
7,120.80480
8,120.55512
9,120.74521
10,121.06069
11,120.93562
12,120.86894
13,120.47068
14,120.57654
15,120.51041
16,120.29111
17,120.18523
18,120.40936
19,120.47999
20,120.57751
21,120.57110
22,120.33096
23,120.43734
24,120.03810
25,119.73118
26,120.17976
27,120.17278
28,120.08772
29,120.11063
30,120.11819
31,120.02128
32,119.70733
33,119.90055
34,119.67132
35,120.23787
36,120.01328
37,120.19128
38,120.20641
39,119.98449
40,120.21931
41,119.91679
42,119.42229
43,119.59184
44,119.57158
45,119.54124
46,119.37315
47,119.57076
48,119.25053
49,119.37123
50,119.27086
51,119.49091
52,119.47362
53,119.46217
54,119.37840
55,119.24334
56,119.26184
57,119.15486
58,118.88055
59,118.98237
60,119.37206
61,118.74001
62,119.08982
63,118.90890
64,118.91515
65,118.46990
66,118.58887
67,118.58325
68,118.97517
69,118.93357
70,118.88091
71,118.92959
72,118.66412
73,118.80656
74,118.85234
75,118.70385
76,118.63125
77,118.91818
78,118.79102
79,118.88383
80,118.78861
81,118.73162
82,119.04228
83,118.83704
84,118.89555
85,119.01868
86,119.04277
87,118.79248
88,118.70934
89,118.62342
90,118.46927
91,118.68617
92,118.94123
93,118.83923
94,118.73390
95,118.75542
96,118.63979
97,118.60791
98,118.36224
99,118.48470
100,118.64020
101,118.36197
102,118.37748
103,118.50700
104,118.20059
105,118.24840
106,118.30578
107,118.60433
108,118.39807
109,118.24404
110,118.44269
111,118.41933
112,118.31567
113,118.26651
114,118.41057
115,118.45037
116,118.26553
117,118.32346
118,118.40855
119,118.30276
120,118.31441
121,118.47192
122,118.23646
123,118.40194
124,118.20084
125,118.41247
126,118.65578
127,118.30716
128,118.29415
129,118.40218
130,118.04532
131,118.18963
132,117.94412
133,117.67847
134,117.81528
135,117.90175
136,118.03783
137,118.25953
138,118.29714
139,118.43890
140,118.09772
141,118.09898
142,118.01933
143,117.65673
144,117.64350
145,118.08700
146,117.64727
147,117.57766
148,118.03005
149,117.96890
150,118.13490
151,118.07598
152,118.05169
153,117.92397
154,117.69923
155,117.98363
156,117.98103
157,118.08641
158,118.14360
159,117.61552
160,117.65668
161,117.98281
162,117.88541
163,117.63614
164,117.92039
165,117.65829
166,117.90498
167,117.65549
168,117.79571
169,117.40435
170,117.83126
171,117.82377
172,117.64825
173,117.65138
174,117.81480
175,117.64175
176,117.38893
177,117.57537
178,117.58704
179,117.73427
180,117.26466
181,117.45444
182,117.67013
183,117.67480
184,117.44727
185,117.28900
186,117.71900
187,117.21788
188,117.32530
189,117.31545
190,117.47634
191,117.65807
192,117.46413
193,117.46214
194,117.59984
195,117.18007
196,117.25846
197,117.32095
198,117.11600
199,117.17310
200,117.53939
201,117.10103
202,117.16845
203,117.18501
204,117.59089
205,117.50824
206,117.23031
207,117.25727
208,117.10404
209,117.09886
210,117.13667
211,117.36168
212,117.30133
213,117.11263
214,116.85448
215,117.10579
216,117.10648
217,117.22214
218,116.76184
219,117.30527
220,117.23396
221,116.94057
222,117.01999
223,117.41798
224,117.43885
225,117.58836
226,117.39073
227,117.35314
228,117.39768
229,117.69398
230,117.74492
231,117.15591
232,117.37947
233,117.35905
234,117.28036
235,117.07314
236,116.90540
237,116.84891
238,116.93472
239,116.97858
240,116.72337
241,116.98840
242,116.81001
243,116.63660
244,117.17759
245,116.97693
246,116.84978
247,116.88557
248,116.88551
249,116.66254
250,116.82654
251,116.63103
252,116.81064
253,116.95217
254,117.01401
255,116.79323
256,116.97440
257,116.74966
258,116.96530
259,116.73521
260,117.09079
261,116.62072
262,116.95950
263,116.80539
264,116.86562
265,116.72272
266,116.86637
267,116.57501
268,116.75037
269,116.75559
270,116.46635
271,116.61766
272,116.49699
273,116.79077
274,116.68027
275,116.94113
276,116.74750
277,116.69823
278,116.86260
279,116.72984
280,116.77692
281,116.52645
282,116.50776
283,116.70135
284,117.00156
285,116.93783
286,116.71946
287,116.79566
288,117.00941
289,116.74020
290,116.47313
291,116.77988
292,116.60896
293,116.70682
294,116.51357
295,116.57484
296,116.86664
297,116.94962
298,116.86914
299,116.51213
300,116.63718
301,116.52259
302,116.33454
303,116.56258
304,116.60519
305,116.54877
306,116.79148
307,116.52796
308,116.43508
309,116.51940
310,116.53827
311,116.42373
312,116.83112
313,116.37086
314,116.52130
315,116.62933
316,116.55850
317,116.69323
318,116.67439
319,116.75333
320,116.73033
321,116.73045
322,116.45249
323,116.42358
324,116.39165
325,116.64659
326,116.42234
327,116.21253
328,116.51794
329,116.31195
330,116.62748
331,116.54357
332,116.38149
333,116.32533
334,116.49866
335,116.34470
336,116.07112
337,116.31990
338,116.12779
339,116.16935
340,116.28222
341,115.98573
342,115.76031
343,115.88973
344,116.06912
345,116.19284
346,115.79415
347,115.97851
348,115.99045
349,116.11440
350,116.27312
351,116.07637
352,116.16726
353,116.18053
354,115.95677
355,116.23636
356,116.51889
357,116.22396
358,116.19748
359,116.47328
360,116.28423
