Slice,Mean
1,90.56969
2,90.69955
3,90.58846
4,90.39095
5,90.31290
6,90.17693
7,90.32353
8,90.40385
9,90.75679
10,91.14005
11,90.72218
12,90.61607
13,90.89909
14,91.01018
15,91.00045
16,91.52104
17,91.43122
18,90.85588
19,90.88756
20,90.75724
21,91.01968
22,90.68235
23,90.98688
24,90.74344
25,91.02285
26,90.68665
27,90.88937
28,90.90430
29,90.99457
30,91.28574
31,91.39638
32,91.36607
33,91.27828
34,91.08122
35,90.70226
36,90.74253
37,90.96267
38,90.66516
39,91.14502
40,90.81425
41,90.84231
42,90.53009
43,90.80679
44,91.09864
45,91.20588
46,90.94073
47,90.78778
48,91.41493
49,90.94389
50,90.93530
51,91.05022
52,90.78574
53,90.63326
54,91.09163
55,90.51720
56,91.03824
57,90.95271
58,91.01064
59,90.83462
60,90.61968
61,90.54005
62,90.54887
63,90.70407
64,90.71968
65,90.52081
66,90.96335
67,90.46380
68,90.96358
69,91.31833
70,91.31493
71,90.65181
72,90.93846
73,90.73235
74,90.93122
75,90.91380
76,91.15340
77,90.33575
78,90.83213
79,91.20770
80,91.11561
81,91.04638
82,90.91833
83,90.80927
84,90.74977
85,91.10656
86,91.01289
87,90.57874
88,90.94457
89,90.95385
90,90.87579
91,91.09502
92,91.65000
93,92.20045
94,92.72624
95,92.21108
96,91.50520
97,91.42534
98,90.92760
99,90.47692
100,90.90204
101,90.69502
102,91.24253
103,90.78236
104,90.94027
105,90.86493
106,90.94344
107,90.88280
108,90.93642
109,90.87466
110,90.96696
111,90.81651
112,91.16720
113,90.79638
114,90.76064
115,90.59978
116,90.89616
117,90.55158
118,91.28100
119,90.90272
120,90.76267
121,91.13280
122,91.11878
123,90.51018
124,90.81538
125,90.46471
126,91.07330
127,90.60928
128,90.81629
129,90.82489
130,90.85362
131,91.07353
132,90.72172
133,90.74955
134,90.96629
135,90.40385
136,90.79457
137,90.51561
138,90.81561
139,90.62873
140,90.36516
141,90.41833
142,90.89841
143,90.99864
144,90.80543
145,90.62760
146,90.60384
147,90.82489
148,90.90905
149,91.01991
150,91.04027
151,90.45634
152,90.51923
153,90.78145
154,90.97715
155,90.63145
156,91.18258
157,90.50656
158,90.92104
159,90.79276
160,91.00430
161,90.52376
162,90.93417
163,90.58099
164,90.89909
165,90.56878
166,90.30249
167,90.63575
168,90.42398
169,90.46991
170,90.57353
171,90.96154
172,91.34163
173,91.97330
174,92.30453
175,91.78665
176,90.85226
177,90.52059
178,90.66787
179,90.83778
180,90.35316
181,91.05136
182,91.09072
183,90.75317
184,90.76900
185,90.89502
186,90.95317
187,90.95362
188,90.62489
189,90.82443
190,90.39095
191,90.68778
192,90.89321
193,90.95634
194,90.81516
195,91.08009
196,91.25769
197,90.56131
198,91.30249
199,90.59887
200,90.92285
201,90.37353
202,90.73100
203,90.97851
204,90.99525
205,90.99389
206,90.75973
207,90.40996
208,90.69050
209,91.47240
210,91.03960
211,90.87873
212,90.72806
213,91.12489
214,90.88055
215,90.84412
216,90.86425
217,90.80634
218,90.58959
219,90.49683
220,90.71810
221,91.02376
222,90.61629
223,91.07398
224,90.46878
225,91.16132
226,91.25656
227,90.69118
228,90.88937
229,90.94661
230,90.75136
231,91.42443
232,91.04729
233,91.11471
234,91.20611
235,90.76561
236,90.72330
237,90.93959
238,90.87534
239,91.27489
240,90.95249
241,91.31448
242,90.67421
243,91.16109
244,91.10249
245,91.42941
246,91.16470
247,90.95995
248,91.46335
249,90.83416
250,90.98439
251,90.82262
252,91.36199
253,90.72692
254,90.90543
255,91.05927
256,91.44842
257,91.15543
258,91.57851
259,91.88100
260,91.51674
261,91.77941
262,91.42647
263,91.15656
264,91.04412
265,91.07670
266,91.21312
267,90.70995
268,90.91448
269,91.27262
270,91.07874
271,91.27602
272,91.17194
273,91.09322
274,90.87987
275,90.82285
276,90.66901
277,91.64344
278,90.99095
279,91.07715
280,90.91109
281,91.08280
282,90.93507
283,91.43597
284,90.74321
285,91.46810
286,91.82783
287,91.29321
288,91.48914
289,91.17126
290,91.35837
291,91.35634
292,90.91991
293,90.93597
294,91.19366
295,91.42941
296,91.47353
297,90.96426
298,91.11697
299,91.38711
300,91.29797
301,90.94887
302,91.27964
303,90.98145
304,91.22556
305,91.07195
306,91.31697
307,91.11335
308,91.44887
309,90.82421
310,91.45498
311,91.51018
312,90.78892
313,90.77670
314,91.27579
315,90.95973
316,91.10860
317,91.39548
318,91.20679
319,92.01991
320,92.64502
321,92.92873
322,92.63484
323,92.36335
324,92.08348
325,91.36199
326,91.64185
327,91.21629
328,91.99751
329,91.67760
330,91.81697
331,91.14661
332,91.27557
333,91.58303
334,91.46018
335,91.23552
336,90.89231
337,91.56493
338,91.68620
339,90.93303
340,91.72941
341,91.47873
342,91.74548
343,90.98824
344,91.62919
345,91.87195
346,91.83348
347,92.27647
348,91.75815
349,91.71539
350,91.99819
351,91.88326
352,91.22308
353,91.08530
354,91.68575
355,91.44978
356,91.42693
357,91.93755
358,92.29412
359,91.28190
360,91.39909
361,91.62987
362,91.77398
363,91.43167
364,91.84728
365,91.11765
366,91.68710
367,91.79230
368,91.83982
369,91.63439
370,91.76335
371,91.24525
372,91.33077
373,91.57150
374,91.59344
375,91.04774
376,91.49117
377,91.72941
378,91.75996
379,90.94706
380,91.80000
381,91.47851
382,91.44434
383,91.94027
384,91.14616
385,91.18597
386,91.60136
387,91.69864
388,91.45452
389,91.74638
390,91.23552
391,91.75227
392,91.28506
393,91.70045
394,91.72285
395,91.29230
396,91.81561
397,91.41765
398,91.44638
399,91.70588
400,91.52964
401,91.87172
402,92.01289
403,91.93167
404,91.12308
405,91.26131
406,91.19141
407,91.33326
408,91.07262
409,91.49570
410,91.27670
411,91.43530
412,91.26471
413,91.84842
414,91.67964
415,91.61018
416,91.58099
417,91.59910
418,91.44932
419,91.68507
420,91.87534
421,92.04276
422,92.52873
423,92.02715
424,91.99163
425,93.25340
426,92.93281
427,91.88168
428,91.60656
429,91.65408
430,92.29955
431,91.77602
432,91.93213
433,92.05634
434,91.67059
435,91.55792
436,91.87172
437,91.69118
438,92.15068
439,91.78258
440,91.66335
441,91.81629
442,91.81358
443,91.63461
444,92.78846
445,92.43258
446,92.78960
447,92.59050
448,92.28326
449,91.59796
450,92.47082
