Slice,Mean
1,229.16978
2,227.57822
3,226.63997
4,226.20168
5,225.29103
6,224.78825
7,225.01105
8,224.05617
9,224.46593
10,224.85278
11,224.70647
12,224.13943
13,224.10922
14,223.72841
15,223.44032
16,224.43282
17,224.68848
18,224.36267
19,223.76804
20,223.45264
21,223.43921
22,223.08818
23,223.74768
24,223.39914
25,223.05194
26,223.93275
27,224.50493
28,223.51216
29,223.41066
30,223.80424
31,223.48700
32,223.62886
33,223.33383
34,223.71872
35,223.19992
36,223.62857
37,223.43735
38,224.19327
39,223.43893
40,223.30978
41,222.79147
42,222.89713
43,222.66629
44,223.33096
45,223.29594
46,223.34174
47,222.83496
48,223.41740
49,223.45274
50,223.41093
51,223.45132
52,222.94888
53,222.87877
54,223.08914
55,223.34734
56,223.42264
57,223.75665
58,223.26196
59,223.35411
60,222.78966
61,222.50252
62,221.96083
63,223.14403
64,222.56213
65,222.67845
66,223.15636
67,222.25162
68,222.70447
69,222.62518
70,222.68555
71,223.00897
72,223.36707
73,223.43964
74,222.70973
75,223.48276
76,222.72520
77,222.35643
78,223.33241
79,223.65692
80,224.03654
81,223.47345
82,223.69125
83,223.55612
84,223.14334
85,222.94165
86,222.82732
87,223.02211
88,223.30421
89,223.13374
90,223.65990
91,224.31715
92,224.88046
93,224.96176
94,224.26418
95,224.55286
96,223.37444
97,223.53839
98,223.43803
99,223.38620
100,222.98761
101,222.98062
102,223.65416
103,223.12514
104,223.78127
105,223.60304
106,223.90919
107,223.75258
108,223.51920
109,223.73682
110,224.05475
111,223.50777
112,223.77718
113,223.58920
114,223.65028
115,222.93643
116,224.00955
117,223.23372
118,223.55962
119,224.09904
120,224.84383
121,224.41309
122,224.22379
123,224.10391
124,223.20940
125,224.14244
126,223.70903
127,223.88979
128,224.39236
129,224.51324
130,224.57494
131,224.64603
132,224.31398
133,224.24870
134,225.07797
135,224.25078
136,224.00661
137,224.65346
138,224.60678
139,224.32069
140,224.64890
141,224.76793
142,223.89394
143,223.70187
144,224.13426
145,223.94443
146,224.79727
147,224.29135
148,224.42152
149,225.35039
150,225.54147
151,225.39166
152,225.18355
153,225.36153
154,225.15598
155,225.02252
156,224.67474
157,224.47139
158,223.42371
159,223.39005
160,225.18971
161,224.71460
162,225.31651
163,224.11555
164,224.37547
165,224.78105
166,224.77534
167,224.76697
168,224.71588
169,224.74301
170,224.97685
171,225.15437
172,224.97173
173,224.59532
174,224.31226
175,224.69846
176,224.89899
177,224.99011
178,225.45929
179,224.94162
180,225.94913
181,227.47643
182,226.38828
183,225.45735
184,225.88687
185,224.64612
186,225.55504
187,224.98750
188,224.60376
189,225.57068
190,225.37105
191,225.52518
192,225.47023
193,225.12099
194,225.32515
195,225.30502
196,225.57286
197,224.74109
198,225.73828
199,225.43143
200,225.12755
201,224.61345
202,224.87801
203,225.31792
204,225.38216
205,225.54265
206,225.32855
207,225.52698
208,225.39388
209,225.18011
210,224.44502
211,224.74911
