Slice,Mean
1,95.18167
2,95.31200
3,95.18443
4,95.05518
5,95.24989
6,95.16447
7,95.36133
8,95.22717
9,95.31810
10,95.27284
11,95.28618
12,95.26759
13,95.33423
14,95.26973
15,95.30055
16,95.33405
17,95.21944
18,95.17525
19,95.46164
20,95.14285
21,95.09970
22,95.09930
23,95.23747
24,95.18018
25,95.28673
26,95.36276
27,95.36818
28,95.22223
29,95.27652
30,95.33745
31,95.22296
32,95.01698
33,95.18584
34,95.10666
35,95.33806
36,95.27258
37,95.34799
38,95.27635
39,95.07651
40,95.20029
41,95.24763
42,95.44331
43,95.30531
44,95.50763
45,95.23470
46,95.25920
47,95.47098
48,95.59550
49,96.15364
50,97.53351
51,98.07732
52,97.01512
53,96.49275
54,95.90172
55,95.67648
56,95.20125
57,95.22864
58,95.46260
59,95.46100
60,95.80746
61,95.63234
62,95.38501
63,95.34290
64,95.38449
65,95.33142
66,95.30347
67,95.59892
68,95.55417
69,95.23807
70,93.95503
71,95.03831
72,95.33656
73,95.24739
74,95.19182
75,95.36499
76,95.20837
77,95.35985
78,95.45477
79,95.51949
80,95.70161
81,95.40430
82,95.21062
83,95.48878
84,95.44945
85,95.50024
86,95.57996
87,95.40898
88,95.35620
89,95.82771
90,96.50894
91,99.25931
92,100.96306
93,99.17500
94,97.95370
95,96.73085
96,96.19273
97,96.00430
98,95.52962
99,95.54089
100,95.51579
101,95.38144
102,95.36011
103,95.29433
104,95.55141
105,95.59698
106,95.66792
107,95.40398
108,95.32616
109,95.25316
110,95.35655
111,95.59114
112,95.50638
113,95.32063
114,95.32437
115,95.24886
116,95.44858
117,95.50883
118,95.53813
119,95.30606
120,95.49397
121,95.45235
122,95.44759
123,95.45464
124,95.42688
125,95.50691
126,95.53629
127,95.95869
128,96.36292
129,95.96404
130,95.72861
131,95.56157
132,95.46095
133,95.49242
134,95.66046
135,95.91794
136,95.82489
137,95.45581
138,95.59651
139,95.30200
140,95.35320
141,95.54971
142,95.54489
143,95.60579
144,95.41840
145,95.21010
146,95.45403
147,95.64265
148,95.68616
149,95.79062
150,95.83452
151,95.50285
152,95.26161
153,95.23445
154,95.48016
155,95.53868
156,95.69160
157,95.41115
158,95.56595
159,95.61952
160,95.47565
161,95.46449
162,95.55734
163,95.54295
164,95.49754
165,95.39478
166,95.46281
167,95.60324
168,95.58058
169,95.55899
170,95.45998
171,95.68526
172,95.67093
173,95.31525
174,95.41386
175,95.58426
176,95.73209
177,95.68633
178,95.87691
179,95.63696
180,95.96443
181,97.76273
182,100.47780
183,99.14362
184,98.43456
185,97.22124
186,96.47533
187,96.18384
188,96.00899
189,95.66864
190,95.74818
191,95.60402
192,95.95639
193,95.77751
194,95.53337
195,95.70055
196,95.46643
197,95.54700
198,95.77834
199,95.62682
200,95.56932
201,95.58504
202,95.76109
203,95.69669
204,95.52046
205,95.78958
206,95.74533
207,95.76700
208,95.59610
209,95.47365
210,95.41815
211,95.64609
212,95.86862
213,95.83063
214,95.70021
215,95.69487
216,95.59689
217,95.70578
218,95.70665
219,95.82700
220,95.88199
221,95.79893
222,95.57642
223,95.61455
224,95.69067
225,95.64639
226,95.72798
227,95.83853
228,95.78874
229,95.81100
230,95.76381
231,95.62993
232,95.91328
233,95.92543
234,95.56541
235,95.75865
236,95.92583
237,95.77832
238,95.68176
239,95.86649
240,95.90619
241,95.79068
242,95.88428
243,95.95401
244,95.47559
245,95.62221
246,95.50067
247,95.62460
248,95.76880
249,95.69084
250,95.66325
251,95.71803
252,95.48985
253,95.51636
254,95.66246
255,95.56711
256,95.61110
257,95.54352
258,95.54411
259,95.45427
260,95.71504
261,95.69231
262,95.82390
263,95.78271
264,95.62918
265,95.85667
266,95.56715
267,95.61971
268,95.67963
269,95.95457
270,97.92734
271,99.22856
272,98.54346
273,97.59666
274,96.87874
275,96.41879
276,96.12500
277,95.79547
278,95.82080
279,95.56560
280,95.56042
281,95.61035
282,95.64561
283,95.63200
284,95.73424
285,95.64246
286,95.43187
287,95.60303
288,95.56839
289,95.47034
290,95.74355
291,95.94151
292,95.81746
293,95.38867
294,95.66357
295,95.78867
296,96.05869
297,95.88901
298,96.01099
299,96.01910
300,95.99138
301,96.01814
302,96.07187
303,95.85565
304,95.77499
305,95.80754
306,95.84967
307,95.75005
308,95.89276
309,95.95416
310,95.92937
311,95.81174
312,96.08281
313,95.96095
314,95.80463
315,95.67418
316,95.80208
317,96.30911
318,96.18840
319,95.93144
320,95.79016
321,95.64934
322,95.63615
323,95.94954
324,95.87744
325,95.98004
326,96.19730
327,96.13879
328,96.23712
329,95.83699
330,95.84819
331,95.93915
332,96.12691
333,96.08704
334,96.05222
335,95.94574
336,95.96390
337,95.76866
338,95.92055
339,95.92993
340,95.92198
341,96.05585
342,96.04962
343,96.00432
344,95.82246
345,95.74181
346,95.73009
347,95.69925
348,95.93622
349,95.84540
350,95.71565
351,95.85429
352,96.17131
353,95.95973
354,95.66231
355,96.06487
356,96.21275
357,96.05754
358,96.23471
359,96.27647
360,96.32085
361,96.07117
362,95.83755
363,95.98979
364,96.00780
365,95.63535
366,95.76395
367,95.78792
368,95.84869
369,95.96394
370,96.02641
371,96.03476
372,96.02090
373,96.21857
374,96.05859
375,96.45959
376,96.48767
377,96.47607
378,96.12125
379,95.95563
380,96.08990
381,95.98544
382,96.06438
383,96.03073
384,96.06389
385,95.84264
386,95.72453
387,95.86943
388,95.67726
389,95.81093
390,95.81267
391,96.02231
392,96.07991
393,95.86755
394,95.90775
395,95.83734
396,95.87064
397,95.95992
398,95.94658
399,95.70261
400,95.61665
401,95.68080
402,95.62056
403,95.37512
404,95.73032
405,95.95808
406,95.77444
407,95.68520
408,95.76309
409,95.54604
410,95.63924
411,95.75377
412,95.65643
413,95.48096
414,95.67996
415,95.74991
416,95.64859
417,95.58804
418,95.74881
419,95.94971
420,97.90291
421,100.86722
422,101.30009
423,101.11000
424,100.41707
425,99.60635
426,99.07591
427,98.80257
428,98.82959
429,98.65585
430,98.66983
431,98.97832
432,98.99008
433,99.06410
434,99.12059
435,98.16389
436,98.43918
437,98.13611
438,97.97324
439,98.00513
440,97.91522
441,97.97134
442,97.93031
443,97.87903
444,97.79358
445,97.68628
446,96.79692
447,96.46909
448,96.16422
449,96.13029
450,96.53362
