Slice,Mean
1,208.7393
2,206.0289
3,203.4087
4,202.7318
5,201.0044
6,201.3618
7,201.8894
8,200.4932
9,201.5973
10,200.4941
11,199.8089
12,199.5287
13,199.8615
14,199.4568
15,199.5174
16,199.1586
17,199.8889
18,199.3127
19,199.2946
20,199.0027
21,198.9657
22,198.3517
23,199.4927
24,200.0858
25,199.5354
26,199.3151
27,199.0491
28,198.9941
29,198.8049
30,198.6395
31,197.9948
32,198.0766
33,198.7393
34,199.1895
35,198.3118
36,198.7234
37,198.5892
38,198.6293
39,198.2863
40,198.5660
41,198.5215
42,198.6353
43,197.4959
44,198.8224
45,197.9339
46,197.8891
47,198.1606
48,198.3057
49,198.7234
50,198.9869
51,197.6777
52,198.3605
53,197.8155
54,198.5408
55,197.7485
56,198.1765
57,197.7285
58,199.0896
59,197.6710
60,197.8584
61,198.7054
62,198.9660
63,198.8169
64,198.9419
65,198.5161
66,198.3583
67,198.6505
68,198.1965
69,198.7739
70,198.0654
71,199.1857
72,197.9037
73,198.8258
74,198.4347
75,198.8273
76,198.6843
77,198.4993
78,197.3894
79,198.4289
80,197.8078
81,198.4193
82,198.0289
83,198.2553
84,198.5836
85,198.0227
86,199.1503
87,198.8888
88,198.7145
89,199.0014
90,199.4270
91,201.0862
92,200.2900
93,199.5570
94,199.8067
95,199.1418
96,199.2912
97,198.9372
98,198.7785
99,198.9418
100,198.5218
101,199.0784
102,199.7460
103,199.2705
104,198.9483
105,199.0594
106,199.5325
107,199.1013
108,198.5475
109,199.2590
110,199.6073
111,199.2863
112,199.7887
113,199.1859
114,199.7377
115,199.6327
116,199.4542
117,199.0222
118,199.3490
119,198.3338
120,198.3101
121,199.0403
122,197.8576
123,198.5788
124,198.3544
125,198.5486
126,198.6286
127,198.4761
128,198.9212
129,198.9901
130,198.8460
131,199.2281
132,199.2844
133,199.3254
134,198.4562
135,199.1447
136,198.7140
137,198.2809
138,198.3002
139,198.6367
140,199.4266
141,199.1400
142,198.5014
143,198.6074
144,198.9756
145,198.3708
146,198.6826
147,198.4368
148,199.2270
149,199.2404
150,198.8728
151,199.5410
152,198.7284
153,198.1964
154,199.0889
155,198.8782
156,198.6423
157,199.5517
158,199.4500
159,198.5354
160,198.4714
161,198.8541
162,199.1690
163,199.0533
164,198.5368
165,199.3533
166,198.3994
167,199.6854
168,198.9997
169,198.6830
170,198.4769
171,199.1904
172,199.5397
173,199.2338
174,198.2448
175,198.4381
176,198.9766
177,198.6532
178,198.7143
179,198.6443
180,200.5049
181,202.3282
182,199.7077
183,199.4676
184,200.0040
185,200.4377
186,199.8306
187,200.3038
188,200.0396
189,200.2776
190,199.9996
191,200.6497
192,200.2982
193,200.7708
194,200.1873
195,200.4435
196,200.5199
197,200.1907
198,200.6055
199,200.6625
200,200.4279
201,199.7320
202,200.0643
203,199.3784
204,200.0612
205,199.9636
206,200.2468
207,199.9127
208,199.9665
209,199.0908
210,200.0237
211,199.5050
212,199.7077
213,199.8747
214,199.0332
215,200.0526
216,200.6317
217,201.0851
218,200.7634
219,200.5814
220,200.5139
221,199.7731
222,199.8347
223,200.1148
224,199.1757
225,199.2844
226,199.8281
227,199.8681
228,200.1508
229,199.9093
230,199.4534
231,200.1910
232,199.7734
233,200.4031
234,200.0170
235,199.8388
236,199.4399
237,199.2114
238,198.5455
239,199.3603
240,199.7256
241,199.2385
242,199.7707
243,198.9006
244,198.9974
245,199.6608
246,199.6533
247,199.9388
248,200.0068
249,199.8857
250,198.9763
251,199.2144
252,199.7921
253,200.0381
254,199.6147
255,200.0987
256,199.6337
257,198.9801
258,200.0233
259,199.4065
260,200.4275
261,200.1626
262,199.9955
263,199.9727
264,198.9807
265,199.3890
266,199.1319
267,200.2758
268,199.9044
269,202.2269
270,202.4612
271,201.2564
272,200.6831
273,200.2437
274,200.6262
275,201.3706
276,200.8528
277,200.7873
278,200.9749
279,200.9389
280,200.9673
281,200.7456
282,200.4763
283,200.2704
284,201.1646
285,200.9808
286,201.1161
287,199.9473
288,200.5931
289,200.7788
290,200.6402
291,200.0119
292,199.7833
293,200.3384
294,200.4231
295,200.8210
