Slice,Mean
1,91.02251
2,90.70445
3,90.66197
4,90.45950
5,90.29044
6,90.33824
7,90.12296
8,90.08835
9,90.36476
10,90.97726
11,91.95903
12,91.65131
13,90.91032
14,90.50308
15,90.35228
16,90.35683
17,90.51064
18,90.39885
19,90.54498
20,90.68245
21,90.52710
22,90.67854
23,90.66635
24,90.60313
25,90.39397
26,90.21887
27,90.47868
28,90.44298
29,90.58971
30,90.60672
31,90.69438
32,90.44775
33,90.39665
34,90.34029
35,90.32527
36,90.37143
37,90.38010
38,90.51393
39,90.59338
40,90.56358
41,90.38696
42,90.41386
43,90.05576
44,90.15591
45,90.24104
46,90.24446
47,90.30559
48,90.30760
49,90.37860
50,90.31650
51,90.42714
52,90.34497
53,90.51295
54,90.37668
55,90.51877
56,90.66539
57,90.38300
58,90.55190
59,90.57841
60,90.40463
61,90.40665
62,90.37460
63,90.48091
64,90.28798
65,90.51666
66,90.24565
67,90.56842
68,90.43657
69,90.45425
70,90.46817
71,90.38736
72,90.37418
73,90.21906
74,90.33376
75,90.69521
76,90.37582
77,90.41293
78,90.51865
79,90.53415
80,90.51938
81,90.48389
82,90.50928
83,90.32158
84,90.29590
85,90.40283
86,90.41495
87,90.48117
88,90.39706
89,90.61497
90,90.47830
91,90.73924
92,91.83110
93,95.22459
94,95.01521
95,93.80118
96,92.89590
97,92.10782
98,91.33099
99,91.05608
100,90.88025
101,90.58392
102,90.54628
103,90.55952
104,90.65784
105,90.78806
106,90.72691
107,90.55420
108,90.66808
109,90.60292
110,90.50714
111,90.52640
112,90.41748
113,90.38162
114,90.41888
115,90.49565
116,90.46988
117,90.41135
118,90.58334
119,90.62648
120,90.72266
121,90.69275
122,90.45206
123,90.43948
124,90.36783
125,90.22223
126,90.41406
127,90.51259
128,90.44955
129,90.53326
130,90.30406
131,90.42062
132,90.45607
133,90.45157
134,90.34793
135,90.13463
136,90.14383
137,90.18532
138,90.31314
139,90.39641
140,90.39531
141,90.41743
142,90.41164
143,90.25931
144,90.19751
145,90.22090
146,90.34126
147,90.21976
148,90.30299
149,90.19270
150,90.21797
151,90.03586
152,90.26674
153,90.41612
154,90.51923
155,90.39439
156,90.23230
157,90.29214
158,90.14862
159,90.37801
160,90.34236
161,90.30391
162,90.26378
163,90.09872
164,90.18700
165,90.21982
166,90.40724
167,90.08476
168,90.15282
169,90.36224
170,90.34312
171,90.93555
172,92.07790
173,92.78413
174,92.73482
175,91.86661
176,91.33827
177,90.92982
178,90.68469
179,90.64145
180,90.91786
181,91.90526
182,92.16226
183,91.40936
184,90.64305
185,90.57584
186,90.28777
187,90.20628
188,90.38103
189,90.36021
190,90.18535
191,90.19238
192,90.34694
193,90.08113
194,90.24634
195,90.48994
196,90.44998
197,90.37022
198,90.55302
199,90.51620
200,90.34944
201,90.27438
202,90.27992
203,90.25478
204,90.37291
205,90.48463
206,90.52271
207,90.35381
208,90.02475
209,90.17223
210,90.32629
211,90.20732
212,89.93597
213,90.06273
214,90.19160
215,90.56021
216,90.45903
217,90.32196
218,90.38947
219,90.34123
220,90.24129
221,90.37582
222,90.13823
223,90.24936
224,90.33606
225,90.17479
226,90.24028
227,90.34380
228,90.35332
229,90.36578
230,90.34085
231,90.29399
232,90.26901
233,90.35287
234,90.47200
235,90.45235
236,90.50803
237,90.32875
238,90.17227
239,90.16058
240,90.22282
241,90.27226
242,90.28053
243,90.40062
244,90.30949
245,90.33401
246,90.36375
247,90.43150
248,90.48213
249,90.34035
250,90.55812
251,90.52226
252,90.54404
253,90.54303
254,90.48216
255,90.67799
256,90.61507
257,90.92947
258,90.98137
259,90.70955
260,90.83800
261,90.72972
262,90.62973
263,90.61838
264,90.56712
265,90.54675
266,90.75385
267,90.69646
268,90.81523
269,91.38409
270,92.71770
271,94.69272
272,94.89203
273,94.08647
274,93.18230
275,92.25443
276,91.66554
277,91.26091
278,91.04568
279,90.95311
280,90.80086
281,90.92497
282,90.72488
283,90.80505
284,90.66533
285,90.31630
286,90.57747
