Slice,Mean
1,254.4851
2,251.9429
3,249.2489
4,247.7964
5,246.6092
6,245.7304
7,245.1055
8,244.1417
9,243.6352
10,243.3152
11,243.1824
12,243.4986
13,242.3586
14,241.0357
15,241.9494
16,241.4511
17,240.8162
18,240.6836
19,240.8450
20,240.5330
21,240.0306
22,240.6263
23,240.4308
24,240.3732
25,240.0270
26,240.1676
27,240.1911
28,240.8933
29,240.2491
30,240.8683
31,240.0959
32,239.9220
33,239.4827
34,240.2665
35,240.1981
36,239.9990
37,240.4398
38,240.5833
39,239.8851
40,239.3143
41,239.3256
42,239.2936
43,239.1803
44,238.9279
45,239.7560
46,239.4502
47,239.4390
48,239.0449
49,238.8651
50,239.2935
51,239.7097
52,239.6298
53,239.4277
54,239.0306
55,239.2984
56,239.1535
57,239.2886
58,239.7109
59,239.6541
60,239.3625
61,239.4314
62,239.1366
63,238.6448
64,238.5032
65,238.7915
66,238.3150
67,239.3754
68,238.7688
69,238.9200
70,239.2332
71,239.2113
72,238.9454
73,238.9300
74,238.7424
75,238.8657
76,238.5918
77,238.5739
78,238.9201
79,239.4944
80,238.1449
81,238.7858
82,238.6322
83,238.6375
84,237.8896
85,238.7576
86,238.9705
87,238.7921
88,239.6340
89,239.8710
90,238.7117
91,240.0996
92,241.1571
93,240.8403
94,240.4775
95,239.9271
96,240.4333
97,240.4274
98,239.8979
99,239.6356
100,240.0816
101,240.2655
102,240.4547
103,240.2440
104,239.6264
105,240.1935
106,239.6997
107,240.2921
108,239.9168
109,239.9174
110,240.1047
111,239.9898
112,239.3024
113,240.2424
114,239.8692
115,239.4760
116,239.1820
117,238.8798
118,239.3520
119,239.2973
120,239.7327
121,239.9906
122,239.4993
123,239.5783
124,238.7034
125,239.0723
126,239.0382
127,240.3484
128,240.1223
129,239.4538
130,239.2418
131,239.3336
132,238.9633
133,239.2813
134,239.9001
135,240.0596
136,239.6241
137,239.0338
138,239.3613
139,239.2095
140,239.3719
141,238.7639
142,239.7678
143,239.1342
144,238.9763
145,239.4108
146,239.0800
147,239.1083
148,239.2623
149,238.6117
150,238.9103
151,238.6393
152,239.3316
153,238.4497
154,238.8539
155,238.8902
156,238.8490
157,239.3400
158,238.9272
159,239.6271
160,239.1429
161,239.1566
162,239.2631
163,239.3217
164,239.6777
165,238.9672
166,239.1434
167,239.2784
168,238.6979
169,239.3612
170,238.6869
171,238.6816
172,238.5471
173,238.4334
174,238.6414
175,239.0466
176,239.7299
177,239.0276
178,239.3569
179,239.0241
180,240.1857
181,241.3845
182,241.0432
183,240.3788
184,240.3162
185,240.0388
186,239.0944
187,239.9406
188,240.0555
189,239.9210
190,239.2320
191,238.7608
192,238.9330
193,239.0991
194,239.4098
195,239.4227
196,238.7883
197,238.9172
198,238.4808
199,238.9762
200,239.2686
201,239.6682
202,239.5611
203,238.7995
204,238.5727
205,238.6397
206,238.6680
207,238.1354
208,238.8494
209,238.8703
210,238.9471
211,239.1471
212,235.6476
213,238.7830
214,238.6699
215,238.6848
216,238.9860
217,239.0648
218,238.8263
219,239.2054
220,238.3109
221,239.4108
222,238.7128
223,238.5143
224,239.0522
225,239.3374
226,239.1980
227,239.1431
228,238.6587
229,239.2594
230,239.0348
231,238.5559
232,238.4081
233,237.9391
234,237.9851
235,239.2308
236,238.7022
237,237.6050
238,238.5259
239,237.7070
240,238.2275
241,238.1882
242,238.1292
243,238.1634
244,238.6299
245,238.2014
246,239.0113
247,238.7065
248,238.8707
249,239.2849
250,238.9393
251,238.8366
252,238.6578
253,239.1551
254,239.0920
255,238.9781
256,238.9827
257,238.4013
258,239.0034
259,238.1994
260,238.7838
261,238.9996
262,239.0406
263,238.5906
264,238.5532
265,238.3167
266,238.9674
267,238.6607
268,238.3141
269,239.9976
270,241.5690
271,241.0418
272,240.2923
273,240.4007
274,241.0896
275,240.6369
276,240.3337
277,240.5181
278,241.0472
279,240.7110
280,240.0657
281,240.8776
282,240.9426
283,241.4941
284,240.9579
285,240.8960
286,241.1830
287,240.7162
288,241.2510
289,240.8060
290,240.5938
291,240.2890
292,240.7917
293,240.3849
294,240.1989
295,239.8130
296,239.8086
297,240.3232
298,240.3120
299,239.7948
300,239.7781
301,239.5773
302,239.4138
303,239.5076
304,239.7279
305,240.0733
306,240.0456
307,239.5394
308,239.9629
309,239.6735
310,240.0491
311,239.1698
312,239.6689
313,239.7722
314,239.5253
315,239.2603
316,239.1915
317,240.1900
318,239.3572
319,239.3709
320,240.0795
321,239.3628
322,239.4135
323,239.1653
324,239.4357
325,239.2086
326,239.5433
327,239.3369
328,240.0141
329,239.2725
330,238.6878
331,239.2222
332,239.5417
333,239.8078
334,239.3599
335,238.8923
336,239.1785
337,238.8992
338,239.1630
339,239.1860
340,239.0603
341,239.0038
342,239.0373
343,239.5851
344,239.8484
345,239.6976
346,239.4950
347,239.6729
348,239.7293
349,239.8309
350,240.1052
351,239.5556
352,240.1369
353,239.4363
354,238.8589
355,239.3883
356,239.1680
357,240.4852
358,242.0867
359,242.3408
360,242.8822
361,242.2645
362,242.7418
363,243.8842
364,243.7101
365,244.5869
366,245.6833
367,245.6409
368,246.1458
369,245.5667
370,246.8115
371,247.2511
372,247.6098
373,247.1917
374,247.2995
375,247.4728
376,247.2194
377,246.6343
378,247.1666
379,247.7156
380,247.9224
381,247.9130
382,248.0316
383,247.6512
384,248.0852
385,248.0040
386,248.2259
387,248.4777
388,247.7009
389,248.4127
390,248.3474
391,248.1411
392,247.4182
393,248.0492
394,248.7377
395,248.9700
396,248.7213
397,248.6244
398,248.4554
399,248.6535
400,247.3385
401,248.1567
402,247.0336
403,245.8402
404,245.6729
405,243.8452
406,243.2843
407,243.5454
408,242.4381
409,242.6644
410,242.8884
411,243.1631
412,243.1603
413,242.5799
414,242.2857
415,241.3667
416,241.2909
417,240.6620
418,241.3069
419,242.1425
420,241.4883
421,241.3698
422,241.5100
423,240.9012
424,241.0920
425,241.4585
426,241.3477
427,240.9948
428,241.5529
429,241.7401
430,241.4699
431,241.5971
432,241.2757
433,241.7547
434,241.7294
435,242.0864
436,241.4714
437,241.5481
438,241.5639
439,239.6495
440,241.5927
441,242.7257
442,242.7280
443,241.5866
444,240.7406
445,241.4817
446,240.7838
447,241.0259
448,242.0938
449,241.7254
450,241.5807
451,241.2927
452,241.5277
453,241.0468
454,240.4450
455,241.3755
456,241.0520
457,240.6109
458,240.3793
459,239.7788
460,240.2233
461,240.8010
462,241.0162
463,241.0140
464,240.4317
465,240.3181
466,240.6459
467,240.3989
468,240.9906
469,240.3754
470,239.9718
471,241.1266
472,241.1845
473,241.5112
474,241.0138
475,240.4116
476,239.6437
477,240.8634
478,240.5864
479,241.1944
480,241.0110
481,240.9578
482,240.6515
483,241.1115
484,241.6944
485,241.4905
486,240.9295
487,241.1234
488,240.7916
489,241.6458
490,240.3205
491,241.0957
492,240.6027
493,240.7752
494,240.4410
495,240.3797
496,241.0112
497,240.3246
498,241.4762
499,240.9879
500,239.9697
