Slice,Mean
1,89.34506
2,89.28641
3,89.39018
4,89.58279
5,89.47313
6,89.47627
7,89.26277
8,89.23521
9,89.15602
10,89.26633
11,89.33206
12,89.83606
13,89.57587
14,89.39168
15,89.33284
16,89.21411
17,89.17384
18,89.26933
19,89.53326
20,89.37238
21,89.35210
22,89.02214
23,89.21751
24,89.49054
25,89.41658
26,89.33708
27,89.47046
28,89.27834
29,89.35545
30,89.61815
31,89.78217
32,89.83659
33,89.52835
34,89.43034
35,89.21016
36,89.23914
37,89.16724
38,89.08412
39,88.98911
40,88.98608
41,89.22389
42,89.47879
43,89.31854
44,89.31265
45,89.47189
46,89.51830
47,89.33205
48,89.19183
49,89.14671
50,89.13928
51,89.28802
52,89.49550
53,89.24878
54,89.27234
55,89.22867
56,89.38625
57,89.33105
58,89.32315
59,89.35587
60,89.27026
61,89.19118
62,89.21950
63,89.18469
64,89.28668
65,89.21043
66,89.33731
67,89.46577
68,89.60556
69,89.41916
70,89.18941
71,89.19627
72,89.14064
73,89.05812
74,89.42355
75,90.09839
76,90.15654
77,89.98381
78,89.54756
79,89.44162
80,89.27858
81,89.17638
82,89.49622
83,89.72031
84,89.48936
85,89.35088
86,89.45436
87,89.58205
88,89.36861
89,89.28571
90,89.19220
91,89.09111
92,89.00719
93,88.97314
94,88.93845
95,88.91457
96,89.11279
97,89.06244
98,89.09387
99,89.04205
100,89.10942
101,89.07930
102,88.82730
103,88.92799
104,88.85413
105,89.04053
106,88.96809
107,88.97342
108,89.09425
109,88.92651
110,89.10628
111,89.06088
112,89.12083
113,89.16496
114,89.13292
115,89.19580
116,89.02112
117,88.95764
118,88.86540
119,88.90648
120,88.98901
121,89.31668
122,89.03047
123,89.03098
124,89.02336
125,89.05411
126,89.04585
127,88.95714
128,88.99992
129,89.03532
130,89.16270
131,89.08810
132,89.12749
133,89.06395
134,89.12326
135,89.25064
136,89.28592
137,89.09291
138,89.07953
139,89.09964
140,89.21120
141,89.24799
142,89.09076
143,89.17323
144,89.22900
145,89.08879
146,89.11238
147,89.03819
148,88.99669
149,89.14484
150,89.14677
151,88.98862
152,88.93170
153,89.05008
154,89.09026
155,89.51115
156,89.80167
157,89.75327
158,89.38539
159,89.09143
160,89.06853
161,89.12784
162,89.03992
163,88.94046
164,88.80849
165,88.98944
166,89.10239
167,89.14828
168,89.13303
169,89.03105
170,89.15215
171,89.01859
172,89.14677
173,89.03957
174,89.05743
175,89.04887
176,88.95200
177,88.85310
178,88.73788
179,88.94754
180,88.97816
181,88.90633
182,89.01419
183,88.95320
184,89.18254
185,89.26627
186,89.43167
