Slice,Mean
1,199.3935
2,197.0741
3,195.2028
4,194.6760
5,193.5444
6,193.3148
7,192.6947
8,192.2965
9,191.9812
10,191.6715
11,191.4720
12,191.6082
13,191.0000
14,190.4507
15,190.4973
16,190.1529
17,190.0314
18,189.6996
19,190.3488
20,189.7071
21,189.6162
22,189.5185
23,188.9906
24,189.1828
25,188.8057
26,188.7941
27,188.8292
28,188.6001
29,188.2499
30,188.9173
31,188.8944
32,188.8101
33,189.1663
34,188.8696
35,189.2097
36,188.8083
37,188.3184
38,188.2949
39,187.8493
40,188.2935
41,188.2219
42,187.7323
43,188.0463
44,187.9526
45,188.0816
46,188.0919
47,188.0374
48,187.6658
49,187.9733
50,187.9371
51,187.9484
52,188.0643
53,187.7217
54,187.8479
55,187.6695
56,187.9924
57,187.5249
58,187.6218
59,187.3753
60,187.2193
61,186.9955
62,187.2251
63,186.8687
64,187.1881
65,186.8728
66,186.7372
67,187.2121
68,187.5853
69,187.5527
70,186.6779
71,186.8512
72,187.0594
73,187.0162
74,187.3066
75,187.3680
76,187.2619
77,186.6589
78,186.3140
79,186.9284
80,187.6023
81,187.2074
82,187.3734
83,186.9011
84,187.0236
85,187.0801
86,187.4763
87,187.2212
88,187.3819
89,186.9296
90,186.7322
91,186.8967
92,187.2834
93,187.0999
94,186.9357
95,186.3635
96,186.1370
97,185.9847
98,186.1212
99,186.6485
100,186.3009
101,186.6628
102,187.0395
103,186.5856
104,186.6540
105,186.6453
106,186.8772
107,186.5547
108,186.1436
109,185.9035
110,186.0152
111,186.0522
112,186.0165
113,185.9566
114,185.5343
115,185.6170
116,185.7559
117,185.6093
118,185.7945
119,185.9740
120,185.6659
121,185.5494
122,185.5009
123,185.5954
124,185.5047
125,185.4244
126,185.5739
127,185.8365
128,186.0031
129,185.6752
130,185.5067
131,185.5520
132,185.6732
133,185.8673
134,185.7786
135,185.6013
136,185.7981
137,185.6978
138,185.1166
139,185.2574
140,185.3548
141,185.3590
142,184.9205
143,185.0811
144,184.4331
145,184.9577
146,185.3243
147,185.7013
148,185.1797
149,185.4050
150,185.1395
151,185.2646
152,185.7733
153,185.1231
154,184.9426
155,184.7180
156,184.6157
157,185.0789
158,185.0693
159,185.0740
160,185.3093
161,185.7717
162,185.6547
163,185.5246
164,185.1930
165,184.9159
166,184.8645
167,184.6791
168,184.9461
169,185.1947
170,185.0100
171,184.8194
172,185.0933
173,185.6600
174,185.4774
175,185.7987
176,185.7496
177,185.5170
178,185.4660
179,185.3733
180,185.2021
181,185.2589
182,185.0122
183,184.8885
184,185.1018
185,184.8696
186,184.8387
187,184.9885
188,184.6040
189,184.5977
190,184.5996
191,183.8322
192,184.5986
193,184.9551
194,184.8584
195,184.5670
196,184.5063
197,184.7463
198,184.2520
199,184.1872
200,184.2368
201,184.3085
202,183.9555
203,184.1276
204,184.3075
205,183.9354
206,184.2253
207,184.2657
208,183.6890
209,184.2432
210,184.2729
211,184.3763
212,184.4407
213,184.6193
214,184.3468
215,183.6407
216,184.0831
217,184.2117
218,184.3547
219,183.6217
220,183.9777
221,183.7842
222,183.9272
223,184.0081
224,183.5900
225,183.3716
226,183.8210
227,183.6363
228,183.7261
229,183.6254
230,183.6063
231,183.7635
232,183.7434
233,183.7330
234,183.6321
235,184.0582
236,184.0287
237,184.1073
238,183.8409
239,183.4931
240,183.3137
241,183.8933
242,183.8210
243,183.6992
244,183.8315
245,183.8139
246,184.2706
247,183.8079
248,183.2713
249,183.4981
250,183.9228
251,183.5816
252,183.2997
253,183.6797
254,183.9346
255,183.7601
256,183.6434
257,183.4896
258,183.3508
259,183.7077
260,183.7231
261,183.5200
262,183.4902
263,183.6558
264,183.4924
265,183.2989
266,183.8706
267,183.5969
268,183.5311
269,183.7512
270,183.7828
271,183.5680
272,183.6693
273,183.8314
274,183.7935
275,183.4656
276,183.1202
277,183.0188
278,182.6733
