Slice,Mean
1,90.39418
2,90.69947
3,90.64841
4,90.97143
5,90.96535
6,92.92461
7,93.91693
8,93.05212
9,91.84974
10,91.51031
11,91.32831
12,91.17513
13,90.90318
14,91.40265
15,91.04101
16,90.93916
17,91.08334
18,91.57937
19,90.91296
20,90.74391
21,91.01085
22,91.10529
23,90.83916
24,90.47910
25,91.15079
26,91.14127
27,91.02619
28,90.98122
29,90.50053
30,91.25741
31,91.22725
32,91.27037
33,91.02064
34,91.03783
35,91.41825
36,91.00291
37,91.01614
38,91.18121
39,91.28333
40,91.63148
41,91.18916
42,91.38412
43,92.25529
44,92.85555
45,92.78995
46,92.18307
47,91.29842
48,91.25661
49,91.22963
50,91.21640
51,91.55900
52,91.20899
53,91.39894
54,90.97963
55,90.90608
56,91.45264
57,90.80952
58,91.17910
59,91.13995
60,91.09074
61,91.37513
62,91.93201
63,90.82143
64,91.55159
65,91.63387
66,91.37143
67,90.97169
68,91.22514
69,90.99074
70,90.79894
71,90.68492
72,91.22698
73,91.29312
74,91.14365
75,90.92883
76,90.88095
77,91.42566
78,91.93598
79,91.54523
80,91.37698
81,91.38677
82,91.46164
83,90.85079
84,91.56958
85,91.39894
86,91.31084
87,91.13968
88,91.23201
89,91.21191
90,90.88545
91,91.15370
92,90.99735
93,91.42275
94,91.01534
95,91.09682
96,91.25582
97,91.43016
98,91.69471
99,91.04101
100,91.16376
101,90.90952
102,90.99921
103,90.73889
104,91.17831
105,91.36005
106,91.54815
107,91.09894
108,91.19868
109,91.31164
110,91.39921
111,91.37090
112,93.89629
113,93.41190
114,93.06746
115,91.44233
116,92.05106
117,91.55688
118,91.41296
119,91.85450
120,91.64709
121,91.27010
122,91.40900
123,90.82328
124,91.35609
125,91.34259
126,91.03545
127,90.91799
128,91.02619
129,91.47408
130,91.40794
131,91.45767
132,91.67619
133,91.49947
134,91.17857
135,91.55159
136,91.55132
137,91.55238
138,91.64259
139,90.60688
140,91.35423
141,91.38625
142,91.73016
143,91.39391
144,91.45635
145,91.13254
146,91.51826
147,90.74418
148,91.15026
149,91.37804
150,91.38122
151,91.86455
152,91.44365
153,90.99894
154,90.83889
155,91.16482
156,91.07487
157,91.52460
158,91.33386
159,90.91693
160,91.73889
161,91.37513
162,91.99815
163,91.57751
164,91.30926
165,91.79577
166,91.37143
167,91.47090
168,91.49445
169,91.07196
170,91.79656
171,91.58069
172,90.62936
173,91.00503
174,91.53995
175,91.43042
176,91.40265
177,91.62116
178,91.49947
179,91.06376
180,91.41455
181,91.79339
182,93.30900
183,92.30635
184,91.75053
185,91.79047
186,90.97037
187,91.40714
188,91.50449
189,91.42249
190,91.41428
191,91.81059
192,91.33148
193,91.64312
194,91.11032
195,91.85317
196,93.95132
197,93.98466
198,93.43413
199,92.84233
200,92.57143
201,91.76588
202,91.87646
203,91.62936
204,91.14656
205,90.83995
206,91.06297
207,91.29498
208,91.43862
209,91.58280
210,91.35899
211,91.42963
212,91.49762
213,91.22936
214,91.45502
215,91.57249
216,91.67672
217,91.75609
218,91.36640
219,91.46243
220,91.00900
221,91.35238
222,91.88889
223,91.52805
224,91.59074
225,91.41164
226,91.27222
227,91.61746
228,91.81059
229,91.50185
230,91.61191
231,91.59365
232,91.30873
233,91.82063
234,91.08783
235,90.91376
236,91.13625
237,91.44974
238,91.45661
239,91.41482
240,91.44709
241,91.20926
242,91.36984
243,90.93836
244,91.57011
245,91.77989
246,91.73651
247,91.75503
248,91.41138
249,91.20000
250,91.44868
251,91.00979
252,91.17223
253,91.27302
254,91.55397
255,91.59868
256,92.05344
257,91.64339
258,91.55053
259,91.35371
260,91.47725
261,91.72725
262,91.47011
263,91.42063
264,91.92117
265,91.12592
266,91.54153
267,91.37592
268,92.98545
269,94.15000
270,95.21402
271,94.67804
272,94.09180
273,92.99630
274,92.71085
275,92.28598
276,92.01667
277,91.77064
278,91.91746
279,91.68121
280,91.72169
281,92.07301
282,92.07063
283,91.45688
284,91.66244
285,91.36270
286,91.72990
287,91.25106
288,91.93281
289,91.36799
290,91.80132
291,91.81349
292,91.19312
293,91.25714
294,91.28968
295,90.99445
296,91.20477
297,91.25449
298,91.63360
299,91.71931
300,91.23756
301,91.38889
302,91.57460
303,90.87989
304,91.27407
305,91.54047
306,91.54550
307,91.29259
308,91.36217
309,91.05820
310,91.74524
311,91.24471
312,91.58783
313,91.84100
314,92.12064
315,91.46323
316,91.41244
317,91.43413
318,91.80529
319,91.73862
320,91.39973
321,91.95344
322,91.53016
323,91.62090
324,91.87672
325,91.83096
326,91.28863
327,91.77381
328,91.33889
329,91.41138
330,91.73386
331,91.65291
332,91.33069
333,91.70212
334,91.32937
335,91.31693
336,91.26482
337,91.09762
338,91.34154
339,91.28360
340,91.63439
341,91.76190
342,91.42328
343,91.99074
344,92.01296
345,91.38439
346,91.29682
347,91.76878
348,93.42169
349,93.75238
350,93.40370
351,92.69656
352,92.02619
353,91.64471
354,91.30370
355,91.24259
356,91.11481
357,91.45502
358,91.78043
359,91.44048
360,92.21137
361,91.83334
362,92.73201
363,92.46878
364,92.49312
365,92.95502
366,93.03968
367,93.33175
368,93.72143
369,92.62354
370,92.52248
371,92.77010
372,92.75000
373,92.27407
374,92.36508
375,91.97222
376,92.68439
377,92.26428
378,92.12963
379,92.25449
380,92.21535
381,91.61481
382,92.34735
383,91.67804
384,91.92355
385,91.52460
386,91.70079
387,91.66746
388,91.58704
389,91.47672
390,91.46111
391,91.63254
392,92.14286
393,91.46137
394,91.49471
395,91.03227
396,91.38412
397,91.62592
398,93.20899
399,94.39683
400,94.48969
401,93.56032
402,92.38625
403,92.68095
404,92.01720
405,92.12592
406,91.85529
407,91.70185
408,91.74312
409,91.52116
410,91.20291
411,91.48942
412,91.31984
413,91.27143
414,91.51693
415,91.92090
416,91.78492
417,91.39577
418,91.31587
419,91.34312
420,91.48280
421,91.84338
422,91.48016
423,91.74551
424,91.40397
425,91.79762
426,91.31640
427,91.62011
428,91.70688
429,91.37143
430,92.02169
431,91.58704
432,91.55238
433,91.51905
434,90.80582
435,91.40238
436,91.73386
437,91.74153
438,91.49127
439,91.19762
440,91.57011
441,91.73280
442,91.80476
443,91.29391
444,91.77646
445,91.59868
446,91.18201
447,91.13519
448,91.22275
449,91.54603
450,91.43598
