Slice,Mean
1,116.53907
2,116.04443
3,116.02335
4,116.65110
5,116.36133
6,116.12032
7,116.23009
8,115.92223
9,115.89342
10,115.95180
11,115.58049
12,115.61062
13,116.19337
14,115.66936
15,115.69874
16,115.47768
17,116.06081
18,115.74995
19,115.93297
20,115.86839
21,115.67953
22,115.63886
23,115.75052
24,115.63660
25,115.48221
26,115.18452
27,115.19676
28,115.72002
29,115.63453
30,115.39088
31,115.31256
32,115.08755
33,115.01525
34,115.43137
35,115.26022
36,115.16663
37,115.53078
38,115.06797
39,115.14950
40,115.17078
41,115.19412
42,114.88288
43,115.17247
44,114.79363
45,114.89060
46,114.47618
47,114.60346
48,114.35680
49,114.94238
50,114.30408
51,114.31387
52,114.79307
53,114.46828
54,114.95029
55,115.10563
56,115.28337
57,114.68142
58,114.76709
59,114.60101
60,114.67652
61,114.80644
62,114.77029
63,114.80022
64,114.64997
65,114.76803
66,114.65581
67,114.66146
68,114.63453
69,114.35323
70,114.57372
71,114.94257
72,114.53851
73,114.76182
74,114.44587
75,114.77462
76,114.44229
77,114.30616
78,114.59254
79,113.88947
80,114.04726
81,114.06252
82,114.22105
83,114.10337
84,114.59612
85,114.63867
86,114.58576
87,114.33817
88,114.08153
89,114.21653
90,114.43589
91,114.10413
92,113.97213
93,113.84222
94,113.92374
95,113.98042
96,114.17021
97,114.27283
98,114.10243
99,114.02241
100,113.85163
101,113.37808
102,113.76426
103,113.81755
104,113.87309
105,113.96516
106,114.08906
107,113.99981
108,114.16325
109,114.21465
110,113.74487
111,114.16400
112,114.00056
113,114.10526
114,114.36170
115,114.01562
116,114.19469
117,113.85577
118,114.09377
119,113.75861
120,113.56750
121,114.27189
122,114.17605
123,113.64545
124,113.59424
125,114.03314
126,113.97044
127,113.56091
128,113.63491
129,113.36377
130,114.03239
131,114.03333
132,113.98983
133,113.64413
134,113.80775
135,113.86594
136,113.41537
137,113.40256
138,113.60309
139,113.36434
140,113.23611
141,113.54604
142,113.61439
143,113.47298
144,113.50989
145,113.26247
146,113.59085
147,113.42666
148,113.48993
149,113.29580
150,113.57033
151,113.48277
