Slice,Mean
1,92.46340
2,92.56767
3,92.81580
4,92.43782
5,92.68655
6,92.70737
7,92.63927
8,92.64404
9,92.81864
10,92.91180
11,92.85825
12,92.66803
13,92.44846
14,93.00900
15,92.77554
16,92.44641
17,92.58115
18,92.87709
19,92.55213
20,92.63306
21,92.70605
22,92.78116
23,92.41064
24,92.73633
25,92.94757
26,93.16906
27,92.83339
28,92.96370
29,92.51788
30,92.31769
31,92.56317
32,92.48125
33,92.34790
34,92.67140
35,92.33144
36,92.51537
37,92.33237
38,92.45382
39,92.63438
40,92.71028
41,92.64027
42,93.05434
43,92.54962
44,92.86757
45,92.75629
46,92.66876
47,92.47240
48,92.61567
49,92.65567
50,93.10208
51,92.71901
52,92.74089
53,92.80926
54,92.80549
55,92.84734
56,92.79068
57,92.87280
58,92.81335
59,92.87365
60,93.10810
61,92.92357
62,92.81626
63,92.61937
64,92.68906
65,92.35154
66,92.36185
67,92.85680
68,93.34612
69,94.13785
70,93.41402
71,92.90149
72,93.36952
73,92.80423
74,92.71048
75,92.93554
76,92.69845
77,92.68132
78,92.38433
79,92.39398
80,92.36906
81,92.84787
82,92.59637
83,92.68509
84,92.73395
85,92.63114
86,92.72820
87,93.06010
88,92.66446
89,92.68285
90,92.72813
91,93.47762
92,94.49058
93,96.09990
94,95.25639
95,94.01937
96,93.72079
97,93.22737
98,93.17732
99,92.86082
100,92.98837
101,92.87074
102,93.08383
103,92.70135
104,93.04139
105,93.08066
106,92.92813
107,92.67941
108,92.92496
109,92.96238
110,92.57329
111,92.41441
112,92.66222
113,92.73792
114,92.63491
115,92.98889
116,92.89561
117,92.69349
118,92.88535
119,92.95874
120,92.74109
121,92.55451
122,92.58638
123,92.74182
124,92.73660
125,92.78069
126,92.17521
127,92.38235
128,92.08496
129,92.24906
130,92.38976
131,92.55008
132,92.46982
133,92.13184
134,92.19656
135,92.24721
136,92.25210
137,92.32516
138,92.45461
139,92.43272
140,92.45052
141,92.45990
142,92.29329
143,92.30274
144,92.77514
145,92.91788
146,92.81871
147,92.54082
148,92.62750
149,92.65825
150,92.72291
151,92.24866
152,92.62896
153,92.46268
154,92.78717
155,92.66579
156,92.92390
157,92.40720
158,92.51306
159,92.44767
160,92.57758
161,92.39471
162,92.58155
163,92.80338
164,92.20595
165,92.26155
166,92.13117
167,92.32000
168,92.52991
169,92.36503
170,92.62750
171,92.45587
172,92.54472
173,92.65223
174,92.22195
175,92.32384
176,92.33580
177,92.22360
178,92.35114
179,92.31160
180,93.74942
181,96.32330
182,95.68489
183,94.54962
184,93.50426
185,93.57408
186,93.34182
187,92.90373
188,92.53580
189,92.49335
190,92.56297
191,92.55947
192,92.52000
193,92.81296
194,92.43629
195,92.46764
196,92.41845
197,92.49640
198,92.51868
199,92.56860
200,92.59161
201,92.73798
202,92.43867
203,92.39815
204,92.47153
205,92.51583
206,92.56747
207,92.51577
208,92.28013
209,92.27035
210,92.63715
211,92.50109
212,92.29382
213,92.16522
214,92.40218
215,92.57560
216,92.50116
217,92.12357
218,92.23716
219,92.18890
220,92.24007
221,92.25864
222,92.61461
223,92.23762
224,92.59808
225,92.75861
226,92.56450
227,92.69904
228,92.25428
229,92.35313
230,92.12522
231,92.32608
232,92.47253
233,92.42248
234,92.36192
235,92.76720
236,92.47451
237,92.56396
238,92.58678
239,92.40846
240,92.46235
241,92.38109
242,92.37580
243,92.58717
244,92.29798
245,92.23385
246,92.10863
247,92.52787
248,92.13269
249,92.25388
250,92.50334
251,92.60813
252,92.41508
253,92.53428
254,92.23451
255,92.32000
256,92.42843
257,92.26982
258,92.50585
259,92.48238
260,92.55305
261,92.44363
262,92.18810
263,92.49355
264,92.58155
265,92.75954
266,93.01031
267,92.69474
268,92.47511
269,92.94486
270,93.78962
271,94.84113
272,93.82578
273,93.42387
274,92.95498
275,93.23101
276,92.57514
277,92.38876
278,92.63107
279,92.35544
280,92.33937
281,92.23524
282,92.69322
283,92.41389
284,92.47815
285,92.38691
286,92.38029
287,92.45230
288,92.28873
289,92.29203
290,92.27888
291,92.21481
292,92.17725
293,92.07445
294,92.28324
295,92.13719
296,92.39220
297,92.20668
298,91.93217
299,92.11094
300,92.01560
301,92.17646
302,92.44833
303,92.49388
304,92.16985
305,92.65633
306,92.70889
307,92.72794
308,92.57877
309,92.58512
310,92.18466
311,92.34433
312,92.28059
313,92.42493
314,92.49983
315,92.16827
316,92.14320
317,92.23888
318,92.23464
319,92.28317
320,92.03180
321,92.11088
322,92.02016
323,92.21130
324,92.25157
325,92.28509
326,92.47068
327,92.49918
328,92.44337
329,92.21111
330,92.15379
331,92.53283
332,92.41871
333,93.12536
334,92.87464
335,92.67048
336,92.41071
337,92.48417
338,92.26770
339,92.11808
340,92.20139
341,92.44608
342,92.66929
343,92.80516
344,92.74023
345,92.53402
346,92.28800
347,92.11227
348,92.13838
349,92.14830
350,92.32211
351,92.04482
352,92.10056
353,91.89514
354,92.16311
355,92.56873
356,92.36278
357,93.15802
358,94.45157
359,95.66730
360,94.46069
361,93.59399
362,93.07901
363,92.80840
364,92.68575
365,92.69428
366,92.29699
367,92.44635
368,92.40615
369,92.32694
370,92.26393
371,92.30717
372,92.59696
373,92.28568
374,92.15636
375,92.16859
376,92.24039
377,92.13851
378,92.46902
379,92.45395
380,92.10479
381,92.27365
382,92.35187
383,92.15041
384,92.00311
385,91.85673
386,92.26909
387,92.07385
388,92.43795
389,91.84218
390,91.86433
391,92.29792
392,92.16396
393,91.90440
394,92.20039
395,92.09660
396,92.09091
397,92.23134
398,92.11749
399,92.09554
400,91.93289
401,92.05389
402,91.98750
403,91.92126
404,92.20753
405,92.27280
406,92.00588
407,91.99273
408,92.09528
409,92.17633
410,92.22050
411,92.43272
412,92.35392
413,92.14612
414,92.19518
415,92.14975
416,91.96873
417,91.92555
418,92.07253
419,92.37230
420,92.21844
421,92.42208
422,92.17825
423,92.33785
424,92.53336
425,92.14275
426,91.96661
427,92.14843
428,92.71127
429,92.74969
430,92.78506
431,92.80278
432,92.55927
433,92.64397
434,92.05177
435,92.10242
436,92.18665
437,92.26671
438,92.32880
439,92.50658
440,92.28397
441,92.17931
442,92.21197
443,91.98988
444,92.27141
445,91.97639
446,92.71643
447,93.94724
448,95.02023
449,93.83550
450,92.96661
