Slice,Mean
1,264.31384
2,263.15295
3,261.73828
4,261.85889
5,261.85696
6,260.87729
7,260.74664
8,260.49240
9,260.70963
10,260.16730
11,259.96869
12,259.96045
13,259.73898
14,259.82980
15,258.99533
16,258.90689
17,258.66418
18,258.70206
19,258.15042
20,258.24283
21,257.89029
22,258.31351
23,258.19534
24,258.11990
25,258.05960
26,258.33054
27,257.00552
28,257.52133
29,257.69574
30,258.08905
31,257.01010
32,257.37003
33,257.22031
34,257.85889
35,257.21469
36,256.81985
37,256.50848
38,256.80502
39,256.57126
40,256.90408
41,257.14066
42,257.06918
43,256.72546
44,256.33530
45,256.53247
46,256.60114
47,256.56845
48,256.77045
49,256.80362
50,255.66559
51,256.25082
52,255.72598
53,256.82489
54,255.93047
55,256.71738
56,256.74393
57,256.50937
58,255.88316
59,256.36441
60,255.74840
61,256.75772
62,256.37900
63,256.07834
64,255.91139
65,255.67719
66,256.35703
67,255.32387
68,255.97011
69,255.43411
70,255.88457
71,255.53583
72,256.20432
73,256.19992
74,255.69037
75,255.68431
76,256.23068
77,256.57669
78,256.28546
79,256.19684
80,256.62460
81,255.79437
82,256.11746
83,255.94760
84,256.27631
85,256.65036
86,255.83296
87,256.52484
88,256.32104
89,256.60254
90,255.92343
91,256.14841
92,256.36554
93,257.32333
94,257.68423
95,257.27878
96,257.29294
97,256.22208
98,256.25757
99,256.63208
100,256.42691
101,255.92430
102,256.57733
103,256.35974
104,256.63553
105,256.15833
106,256.45688
107,257.26620
108,255.50119
109,255.85907
110,255.27437
111,256.28500
112,256.17828
113,255.83076
114,255.97328
115,255.77257
116,255.31938
117,255.03174
118,255.76677
119,256.41748
120,255.67886
121,255.65767
122,256.19806
123,256.11087
124,255.55077
125,256.81177
126,256.02136
127,256.14786
128,256.30524
129,256.22208
130,255.92168
131,256.53873
132,256.20905
133,256.61072
134,256.82129
135,256.31613
136,256.82190
137,256.17450
138,254.66277
139,256.23587
140,256.55902
141,255.60475
142,256.04599
143,255.88036
144,255.69214
145,255.36430
146,255.76184
147,255.46004
148,255.57829
149,255.72783
150,255.29266
151,255.98549
152,256.05847
153,255.89433
154,256.16010
155,255.70743
156,256.59366
157,255.82822
158,255.92783
159,255.85680
160,255.77654
161,255.77829
162,256.07040
163,255.74373
164,255.28458
165,255.73723
166,255.84203
167,255.95473
168,255.55429
169,255.39693
170,255.29802
171,255.74057
172,255.19798
173,256.48492
174,255.98514
175,256.82690
176,255.01363
177,255.97618
178,256.04773
179,256.45239
180,256.34830
181,257.26981
182,255.77925
183,256.82733
184,256.74136
185,255.58954
186,256.31543
187,256.60403
188,256.60950
189,257.02356
190,256.32889
191,256.04025
192,256.08975
193,256.28192
194,255.91675
195,255.53854
196,255.48439
197,255.74998
198,255.00755
199,255.70734
200,256.09546
201,256.25644
202,255.41292
203,255.76897
204,255.40546
205,255.58145
206,255.98734
207,255.27675
208,255.14972
209,255.63271
210,255.90866
211,255.66382
212,255.75674
213,255.20175
214,255.20343
215,255.60641
216,255.59956
217,255.18646
218,255.37160
219,255.09961
220,255.06717
221,255.40237
222,255.39120
223,254.72360
224,254.72458
225,254.72643
226,255.55850
227,255.85468
228,255.33644
229,255.03929
230,255.96291
231,255.31718
232,255.49072
233,255.68228
234,255.27261
235,255.47429
236,255.27156
237,254.54541
238,255.88765
239,255.27614
240,255.94531
241,255.66162
242,255.92114
243,256.37610
244,255.52272
245,255.29196
246,255.35059
247,255.73943
248,255.37416
249,255.71278
250,255.89952
251,256.35623
252,255.73029
253,256.75623
254,255.60555
255,255.95772
256,255.32361
257,256.86627
258,256.70892
259,255.93091
260,255.76413
261,256.71210
262,255.65643
263,256.28439
264,256.30109
265,255.92923
266,256.35114
267,255.43103
268,255.39665
269,256.15735
270,256.29089
271,257.17361
272,256.32730
273,256.57364
274,256.67471
275,256.52344
276,256.50296
277,255.94814
278,256.58981
279,256.73267
280,256.74005
281,255.94206
282,257.23279
283,255.90752
284,256.03192
285,256.18427
286,255.94550
287,256.10321
288,254.95358
289,254.87587
290,255.87622
291,255.45486
292,256.28122
293,255.98154
294,255.12343
295,255.15746
296,254.96985
297,255.50865
298,256.38770
299,255.53494
300,256.38672
301,255.45644
302,255.81592
303,256.30206
304,255.36755
305,255.52071
306,255.21680
307,255.72264
308,255.60036
309,255.87050
310,255.73706
311,255.04773
312,254.91719
313,255.54901
314,255.73494
315,255.63367
316,256.40106
317,256.46188
318,255.40149
319,255.99191
320,255.02330
321,255.76659
322,255.96317
323,255.50998
324,255.54066
325,255.38268
326,256.13458
327,255.14224
328,255.16272
329,255.39050
330,255.84035
331,255.93011
332,255.06313
333,255.55684
334,255.70198
335,255.70435
336,255.44061
337,254.89204
338,255.40598
339,254.83728
340,255.23947
341,255.18813
342,255.67297
343,255.59367
344,255.25854
345,254.98242
346,255.20184
347,255.54857
348,254.46576
349,255.17538
350,255.53477
351,255.45749
352,255.70462
353,255.58496
354,255.13890
355,255.09344
356,255.16466
357,255.43297
358,255.71561
359,256.07077
360,257.30356
361,256.72467
362,256.34375
363,256.16800
364,255.98198
365,256.63489
366,257.01266
367,256.26822
368,257.06119
369,256.60483
370,256.25461
371,256.19464
372,257.24078
373,257.48904
374,255.73010
375,256.04034
376,255.56282
377,255.36044
378,255.83983
379,255.25969
380,255.47920
381,254.94321
382,255.47974
383,255.63622
384,255.25090
385,255.51376
386,256.07324
387,255.17996
388,255.53539
389,255.44739
390,256.08765
391,254.95297
392,255.36554
393,255.26436
394,256.12000
395,254.37662
396,255.10153
397,255.37344
398,255.64061
399,256.26251
400,256.77618
401,256.21390
402,256.00552
403,254.88800
404,255.25221
405,255.91200
406,256.28098
407,255.92018
408,255.62102
409,255.38057
410,255.57785
411,255.99904
412,255.54796
413,255.05705
414,255.48888
415,256.23068
416,255.91728
417,255.52940
418,254.67560
419,254.51147
420,254.75368
421,255.43860
422,255.64194
423,255.30215
424,255.83806
425,256.14136
426,255.56430
427,255.20255
428,256.05899
429,255.37108
430,254.99947
431,255.64290
432,255.34584
433,255.10962
434,255.67938
435,255.76958
436,255.42839
437,255.14568
438,256.14700
