Slice,Mean
1,90.31750
2,90.11800
3,90.04686
4,90.09985
5,90.22859
6,90.34744
7,90.30872
8,90.34079
9,90.38760
10,90.36889
11,90.48028
12,90.31842
13,90.48549
14,90.47551
15,90.26656
16,90.29766
17,90.31040
18,90.22306
19,90.17902
20,90.34364
21,90.21036
22,90.20531
23,90.10045
24,90.57251
25,91.59235
26,91.73232
27,90.86592
28,90.66410
29,90.52846
30,90.56397
31,90.47430
32,90.46989
33,90.57215
34,90.32548
35,90.17789
36,90.34444
37,90.38360
38,90.45555
39,90.38837
40,90.11155
41,90.17593
42,89.96532
43,90.30219
44,90.07011
45,90.50653
46,90.28491
47,90.28491
48,90.27020
49,90.25048
50,90.22864
51,90.25449
52,90.29870
53,90.30339
54,90.45458
55,90.34043
56,90.32816
57,90.39089
58,90.15092
59,90.28816
60,90.18370
61,90.28495
62,90.26948
63,90.39254
64,90.18443
65,90.26652
66,89.99014
67,90.02769
68,90.30768
69,90.32407
70,90.32624
71,90.30122
72,90.20274
73,90.21333
74,90.30051
75,90.25870
76,90.21388
77,90.10991
78,89.82507
79,90.17637
80,90.50565
81,90.29221
82,90.30019
83,90.35799
84,90.01768
85,90.10329
86,90.30087
87,90.18562
88,90.22627
89,90.23737
90,90.01387
91,90.53924
92,93.42440
93,93.38271
94,92.10406
95,91.80090
96,91.36208
97,91.11308
98,90.67180
99,90.53752
100,90.29578
101,90.06995
102,90.24030
103,90.37554
104,89.90320
105,89.97102
106,90.29934
107,90.10009
108,90.06947
109,90.13877
110,90.24223
111,90.16278
112,90.07034
113,89.90784
114,90.37173
115,90.36444
116,90.50188
117,90.38977
118,90.48044
119,90.34624
120,90.39098
121,90.31509
122,90.35237
123,90.43916
124,90.08510
125,90.18743
126,90.45182
127,90.23778
128,90.21677
129,90.16090
130,90.35650
131,90.31497
132,90.31570
133,90.03864
134,90.14198
135,90.16675
136,90.33426
137,90.12354
138,90.03539
139,90.31650
140,90.31522
141,90.24603
142,90.22603
143,90.12065
144,90.06309
145,90.32568
146,90.13095
147,90.27453
148,90.30375
149,90.19200
150,90.59700
151,90.38416
152,90.15252
153,90.19613
154,90.22443
155,90.14438
156,90.31694
157,90.55956
158,90.24607
159,90.39125
160,90.48853
161,90.27325
162,90.30752
163,90.18903
164,90.27549
165,90.28639
166,90.14214
167,90.17240
168,90.04998
169,90.19849
170,90.26158
171,90.47803
172,90.27253
173,90.26968
174,90.35783
175,90.19324
176,90.01227
177,89.87173
178,90.15496
179,89.94028
180,90.70310
181,93.12406
182,93.14518
183,91.91302
184,91.46697
185,91.10349
186,90.60943
187,90.41017
188,90.50457
189,90.34997
190,90.37426
191,90.35025
192,90.34640
193,90.48750
194,90.29565
195,90.40308
196,89.94188
197,90.07295
198,90.09656
199,90.15592
200,90.35217
201,90.26110
202,90.64185
203,90.30379
204,90.33293
205,90.31906
206,90.37562
207,90.50068
208,90.44737
209,90.26796
210,90.27421
211,90.03836
212,90.21721
213,90.07388
214,90.00509
215,89.99371
216,89.88929
217,90.08510
218,90.36015
219,90.17312
220,90.26211
221,90.52634
222,90.54173
223,90.30579
224,90.26067
225,90.09307
226,90.22234
227,90.34680
228,90.35682
229,90.20527
230,90.65645
231,90.33903
232,90.52618
233,90.55103
234,90.53635
235,90.58919
236,90.34853
237,90.36099
238,90.64667
239,90.58930
240,90.60406
241,90.49182
242,90.29774
243,90.36176
244,90.29205
245,90.21409
246,90.36440
247,90.06193
248,90.11428
249,90.12670
250,90.29253
251,90.42605
252,90.27718
253,90.36540
254,90.25253
255,90.23040
256,90.48305
257,90.15356
258,90.44865
259,90.41158
260,90.54546
261,90.36388
262,90.28407
263,90.49908
264,90.27065
265,90.24976
266,90.47475
267,90.37514
268,90.55195
269,91.17600
270,93.08241
271,93.74924
272,93.14362
273,92.10726
274,91.70783
275,91.30519
276,91.23232
277,91.00108
278,90.77377
279,90.58105
280,90.54153
281,90.72218
282,90.53516
283,90.51163
284,90.72944
285,90.82523
286,90.93374
287,90.77962
288,90.51495
289,90.62830
290,90.67036
291,90.61552
292,90.79205
293,90.52854
294,90.31842
295,90.42336
296,90.51852
297,90.53471
298,90.70383
299,90.49831
300,90.52257
301,90.36788
302,90.62634
303,90.41771
304,90.32247
305,90.41891
306,90.40837
307,90.32039
308,90.82263
309,90.46212
310,90.50517
311,90.48549
312,90.48974
313,90.44389
314,90.63664
315,90.48874
316,90.34223
317,90.56081
318,90.59844
319,90.38268
320,90.46617
