Slice,Mean
1,169.11038
2,168.34589
3,167.73726
4,167.74310
5,167.37546
6,167.28519
7,166.66182
8,167.27252
9,166.55403
10,166.61632
11,166.83421
12,166.81738
13,166.63617
14,166.79301
15,166.50510
16,166.29156
17,166.00685
18,166.02786
19,165.95602
20,165.93402
21,165.89037
22,166.17877
23,166.43402
24,165.98726
25,166.00224
26,166.11716
27,166.03592
28,166.55656
29,166.17200
30,165.85089
31,165.77786
32,165.84003
33,166.21011
34,166.29282
35,165.99254
36,166.49431
37,166.06041
38,165.70370
39,166.28908
40,166.04878
41,166.19878
42,166.13600
43,166.10570
44,166.01952
45,165.78915
46,165.54755
47,165.77129
48,165.40384
49,165.95570
50,165.31120
51,165.50037
52,165.15273
53,165.40733
54,165.46873
55,165.49808
56,165.34219
57,165.20102
58,165.52333
59,165.44469
60,165.35959
61,165.35887
62,165.03314
63,165.30495
64,165.40416
65,165.43486
66,165.39771
67,165.29526
68,165.38051
69,165.50449
70,165.00020
71,165.10222
72,165.18732
73,165.00690
74,165.22699
75,164.97423
76,164.44676
77,164.86023
78,164.79686
79,164.62173
80,164.35136
81,164.96797
82,164.94713
83,164.95612
84,165.04681
85,164.97041
86,164.97607
87,164.99763
88,165.39034
89,164.85417
90,164.76784
91,164.97748
92,165.64165
93,165.24660
94,165.14474
95,165.50256
96,165.26360
97,165.32692
98,165.34732
99,165.47980
100,165.21890
101,165.08224
102,164.92560
103,165.00337
104,164.80115
105,164.74855
106,164.57773
107,164.78848
108,164.98726
109,164.79662
110,164.50520
111,165.14290
112,164.78957
113,164.43752
114,164.60706
115,164.58621
116,164.78346
117,164.57460
118,164.93759
119,164.81926
120,164.67409
121,164.50525
122,164.40379
123,164.69525
124,164.68779
125,164.31450
126,164.88255
127,164.72029
128,164.69489
129,164.81657
130,164.54250
131,164.52991
132,164.30142
133,164.07195
134,164.30043
135,164.14635
136,164.21132
137,164.14815
138,164.21553
139,164.43951
140,164.52385
141,164.30881
142,164.76932
143,164.35670
144,164.31871
145,164.17035
146,164.66443
147,164.29250
148,164.66603
149,164.61191
150,164.38176
151,164.37430
152,164.28198
153,164.31514
154,164.53772
155,164.74359
156,164.55684
157,164.62851
158,164.35974
159,164.33009
160,164.51427
161,164.20987
162,164.55836
163,164.61183
164,164.79602
165,164.63985
166,164.55519
167,164.26631
168,164.32680
169,164.41522
170,164.66229
171,164.76552
172,164.68414
173,164.75136
174,164.42537
175,165.27898
176,165.00618
177,164.66222
178,164.56322
179,164.31750
180,164.49239
181,165.02910
182,164.91002
183,164.70856
184,164.74680
185,165.20631
186,165.16125
187,164.76395
188,165.09705
189,165.04910
190,164.95358
191,165.25092
192,165.34416
193,165.16586
194,165.37558
195,165.17757
196,165.23665
197,164.57559
198,164.60126
199,164.92204
200,164.97696
201,165.05075
202,164.56004
203,164.75345
204,164.95363
205,164.47598
206,164.52986
207,164.66389
208,164.67889
209,164.79124
210,164.66798
211,163.99355
212,164.36905
213,164.55194
214,164.30708
215,164.64026
216,164.36395
217,164.36147
218,164.46420
219,164.49113
220,164.62265
221,164.65852
222,164.43382
223,164.89386
224,164.90179
225,164.72115
226,164.33653
227,164.62402
228,164.55957
229,164.72470
230,164.67685
231,164.59621
232,164.37927
233,164.43355
234,164.47105
235,164.73817
236,164.57063
237,164.66571
238,164.59981
239,164.41266
240,164.48164
241,164.46974
242,164.38144
243,164.74251
244,164.57332
245,164.36501
246,164.62851
247,165.07712
248,164.75778
249,164.61227
250,164.70439
251,164.64194
252,164.38467
253,164.55055
254,164.39346
255,164.30908
256,164.22034
257,163.98938
258,163.96140
259,164.22940
260,164.28888
261,164.67793
262,164.22739
263,164.10538
264,164.48409
265,163.85762
266,164.33321
267,164.29506
268,164.71516
269,164.85277
270,164.27573
271,164.68503
272,164.88448
273,164.90071
274,164.78888
275,165.32066
276,165.06874
277,165.34375
278,165.23473
279,165.04622
280,165.01483
281,164.97987
282,165.09227
283,164.97566
284,164.73080
285,165.08975
286,164.91534
287,164.92320
288,164.72226
289,164.95979
290,164.76552
291,164.70427
