Slice,Mean
1,89.99104
2,89.94159
3,90.07430
4,89.91718
5,89.87115
6,89.93248
7,90.02423
8,90.17712
9,90.06384
10,90.04298
11,89.94012
12,89.95438
13,90.05840
14,90.10155
15,90.81389
16,90.48526
17,90.22987
18,90.00302
19,90.14153
20,90.08873
21,89.95836
22,89.95422
23,89.98384
24,89.80490
25,90.10483
26,90.02493
27,90.12706
28,90.03970
29,89.97290
30,89.98058
31,90.11469
32,90.06064
33,90.03171
34,90.11218
35,90.05794
36,89.82573
37,89.92271
38,90.07259
39,90.12985
40,90.04547
41,89.93266
42,90.07692
43,89.96173
44,90.03165
45,90.00383
46,90.00870
47,90.17812
48,89.94597
49,89.77005
50,89.58792
51,89.73878
52,89.77971
53,89.95163
54,89.88214
55,89.99229
56,90.08163
57,90.02135
58,90.06432
59,90.01868
60,89.85095
61,89.88712
62,90.11848
63,90.04515
64,89.88350
65,89.95049
66,89.80109
67,89.89572
68,89.98369
69,90.16246
70,90.01894
71,89.98788
72,90.04973
73,89.94144
74,90.01207
75,90.05081
76,89.98895
77,89.90962
78,89.87715
79,89.80759
80,90.02528
81,90.08586
82,89.99800
83,90.07361
84,89.87401
85,89.91930
86,89.83429
87,89.99638
88,89.92445
89,89.85539
90,89.74200
91,89.86693
92,89.96320
93,89.95773
94,89.76299
95,90.04378
96,90.25394
97,90.11761
98,89.95187
99,90.07750
100,90.02988
101,90.05061
102,89.91212
103,89.87929
104,90.07164
105,90.06502
106,90.05994
107,90.10030
108,89.90283
109,89.96222
110,90.05263
111,90.00896
112,90.04330
113,90.17360
114,90.07147
115,90.02742
116,90.08307
117,90.08919
118,90.59489
119,90.52266
120,90.14052
121,90.08466
122,90.21434
123,90.12309
124,90.19147
125,90.25943
126,90.05667
127,90.00706
128,90.26433
129,90.39757
130,90.25429
131,90.29764
132,90.40218
133,90.36682
134,90.25600
135,90.27055
136,90.17168
137,90.14694
138,90.17290
139,90.17621
140,89.97435
141,90.14508
142,90.28745
143,90.20053
144,90.31195
145,90.29402
146,90.45166
147,90.44405
148,90.45012
149,90.27835
150,90.22179
151,90.36890
152,90.24992
153,90.08070
154,90.01538
155,90.11160
156,90.20372
157,90.21219
158,90.31897
159,90.46814
160,90.44058
161,90.14879
162,90.22980
163,90.24667
164,90.08220
165,90.16060
166,90.13844
167,90.32097
168,90.36562
169,90.41145
170,90.38046
171,90.37131
172,90.48096
173,90.43408
174,90.25952
175,90.22476
176,90.14642
177,90.10223
178,90.01062
179,90.14417
180,90.19611
181,90.42854
182,90.29982
183,90.21057
184,90.32542
185,90.09523
186,90.27238
187,90.29181
188,90.14323
189,90.20145
190,90.22302
191,90.25243
192,90.09526
193,90.05592
194,90.11902
195,90.16399
196,90.21634
197,90.33977
198,90.25687
199,90.31230
200,90.42134
201,90.29005
202,90.30298
203,90.35359
204,90.46893
205,90.35828
206,90.24127
207,90.41312
208,90.38536
209,90.41196
210,90.35623
211,90.51949
212,90.43190
213,90.41473
214,90.29044
215,90.31152
216,90.39453
217,90.40361
218,90.44643
219,90.54269
220,90.66895
221,90.27266
222,90.33542
223,90.47325
224,90.50127
225,90.45850
226,90.27574
227,90.23193
228,90.35194
229,90.33656
230,90.40422
231,90.34291
232,90.68614
233,91.06302
234,91.17645
235,90.78770
236,90.57338
237,90.76649
238,90.64359
239,90.34950
240,90.44017
241,90.56989
242,90.47966
243,90.57065
244,90.50478
245,90.60706
246,90.73924
247,90.64073
248,90.65448
249,90.70609
250,90.65872
251,90.57356
252,90.40727
253,90.39551
254,90.51219
255,90.68069
256,90.66776
257,90.53279
258,90.18398
259,90.42497
260,90.56581
261,90.72864
262,90.54956
263,90.39870
264,90.33015
265,90.49629
266,90.71712
267,90.74896
268,90.80586
269,90.72726
270,90.62883
271,90.72679
272,90.77757
273,90.65224
274,90.35086
275,90.54306
276,90.44441
277,90.42422
278,90.38266
279,90.50246
280,90.52405
281,90.46133
282,90.60983
283,90.56294
284,90.57681
285,90.57384
286,90.70412
287,90.54428
288,90.65593
289,90.66936
290,90.71820
291,90.72478
292,90.75334
293,90.81094
294,90.82855
295,90.64726
296,90.60600
297,90.72258
298,90.48907
299,90.48352
300,90.48033
301,90.57079
302,90.73401
303,90.60094
304,90.81093
305,90.82625
306,90.79651
307,90.58952
308,90.66203
309,90.55470
310,90.41916
311,90.67513
312,90.75224
313,90.83356
314,90.64879
315,90.62236
316,90.50008
317,90.40680
318,90.65733
319,90.68086
320,90.88821
321,90.83319
322,90.85229
323,90.91455
324,90.74788
325,90.85603
326,90.81180
327,90.74666
328,90.74228
329,90.66235
330,90.62708
331,90.77495
332,90.72717
