Slice,Mean
1,123.78914
2,123.55360
3,123.39081
4,123.07532
5,122.98674
6,122.98151
7,122.77888
8,122.85080
9,122.89011
10,122.75253
11,122.61395
12,122.43254
13,122.16260
14,122.24774
15,122.35391
16,122.35440
17,122.37132
18,122.34949
19,122.62494
20,122.15742
21,122.07458
22,121.90973
23,122.10228
24,121.82809
25,121.88687
26,121.93040
27,121.99768
28,121.98880
29,122.28508
30,122.02650
31,121.83945
32,121.50494
33,121.85258
34,121.86597
35,121.92744
36,122.12354
37,121.81468
38,121.97614
39,122.00900
40,122.09088
41,121.89442
42,121.66589
43,121.65379
44,121.85098
45,121.58710
46,121.63049
47,121.56126
48,121.71602
49,121.71617
50,121.75836
51,121.49261
52,121.14282
53,121.37805
54,121.41913
55,121.53943
56,121.44662
57,121.54630
58,121.49182
59,121.31929
60,120.94734
61,121.04626
62,121.06274
63,121.01555
64,121.23933
65,121.11284
66,121.28691
67,121.50610
68,121.36346
69,121.37013
70,121.38263
71,121.33855
72,121.36470
73,121.17819
74,121.06029
75,120.88977
76,121.07735
77,120.99451
78,120.99440
79,121.16490
80,121.00520
81,121.08331
82,120.91965
83,121.05891
84,120.88997
85,120.96832
86,120.89090
87,120.88831
88,121.01454
89,120.83801
90,120.77022
91,120.81129
92,120.83568
93,120.58026
94,120.67146
95,120.55836
96,120.76898
97,120.71594
98,120.77795
99,120.95625
100,120.90005
101,120.90210
102,120.81497
103,120.85440
104,120.72394
105,120.76840
106,121.11707
107,121.01674
108,120.91513
109,120.63127
110,120.81427
111,121.02145
112,120.81659
113,120.86110
114,120.80560
115,120.63086
116,120.81908
117,120.77995
118,120.68994
119,120.56277
120,120.58963
121,120.44716
122,120.78761
123,120.80582
124,120.81328
125,120.74229
126,120.47704
127,120.63837
128,120.35226
129,120.46429
130,120.60265
131,120.57932
132,120.71014
133,120.87857
134,120.68289
135,120.61064
136,120.64496
137,120.69305
138,120.82333
139,120.71519
140,120.58986
141,120.68852
142,120.88760
143,120.58910
144,120.58981
145,120.43253
146,120.51823
147,120.57983
148,120.76031
149,120.75046
150,120.67188
151,120.68346
152,120.72870
153,120.67870
154,120.95583
155,120.77484
156,120.84789
157,120.61836
158,120.55003
159,120.73921
160,120.76564
161,120.62981
162,120.52548
163,120.54541
164,120.33730
165,120.09502
166,120.12991
167,120.36343
168,120.75000
169,120.67577
170,120.64206
171,120.68126
172,120.67584
173,120.57159
174,120.37830
175,120.47101
176,120.35361
177,120.44786
178,120.45432
179,120.23671
180,120.47615
181,120.72311
182,120.71742
183,120.85149
184,120.55775
185,120.32484
186,120.34312
187,120.20340
188,120.48509
189,120.40733
190,120.59830
191,120.67479
192,120.47487
193,120.46671
194,120.43509
195,120.21519
196,120.37582
197,120.35773
198,120.36290
199,120.18732
200,120.25237
201,120.19795
202,120.28511
203,120.18556
204,119.89949
205,119.94206
206,120.05077
207,119.99203
208,120.11836
209,120.05725
210,120.23471
211,120.04262
212,120.21301
213,120.26297
214,119.93953
215,120.37906
216,120.17072
217,120.10648
218,120.08920
219,120.16949
220,120.11816
221,120.13417
222,119.91461
223,120.28986
224,120.41882
225,120.07741
226,119.80580
227,120.05476
228,120.17656
229,120.31184
230,120.52562
231,120.38205
232,120.13057
233,120.06366
234,120.16542
235,120.31917
236,120.31873
237,120.29582
238,120.34924
239,120.25261
240,120.07468
241,119.97093
242,120.03973
243,120.07059
244,120.05112
245,120.13197
246,120.10930
247,120.24651
248,120.51428
249,120.29634
250,120.39467
251,120.28899
252,120.21426
253,120.18817
254,120.09514
255,120.15607
256,120.02798
257,119.99794
258,120.24364
259,119.92450
260,120.03412
261,120.21516
262,120.19356
263,120.23730
264,120.00978
265,119.84348
266,119.66954
267,119.93506
268,120.09343
269,120.16011
270,120.34279
271,120.14207
272,120.03448
273,120.07274
274,120.08524
275,120.11809
