Slice,Mean
1,58.6804
2,67.0837
3,63.4188
4,68.9864
5,68.6554
6,66.9585
7,68.8568
8,69.1320
9,63.5642
10,72.0744
11,68.2112
12,75.2289
13,69.1897
14,74.7511
15,67.1679
16,63.4632
17,66.2337
18,69.4142
19,64.6667
20,66.8745
21,59.7582
22,69.7682
23,64.7094
24,65.9632
25,63.0104
26,66.4946
27,70.2114
28,69.3546
29,70.3920
30,70.4349
31,69.4943
32,69.8850
33,66.1395
34,67.9301
35,64.2384
36,67.6636
37,77.8471
38,70.1506
39,70.6869
40,66.2035
41,64.2461
42,63.3113
43,67.8269
44,65.8596
45,74.0767
46,70.8571
47,67.9900
48,70.5379
49,68.2523
50,70.6665
51,69.0025
52,68.5386
53,65.8063
54,71.2849
55,72.1726
56,86.9682
57,111.1733
58,108.4297
59,103.9385
60,92.1173
61,84.7890
62,80.6513
63,74.4397
64,76.9406
65,75.9927
66,67.3031
67,66.4208
68,69.8344
69,69.3358
70,76.6019
71,65.2645
72,70.0681
73,66.1833
74,66.7076
75,70.8035
76,70.8752
77,66.0320
78,61.9843
79,65.7974
80,63.7017
81,69.7250
82,66.3897
83,70.8101
84,66.2053
85,69.8559
86,68.4635
87,62.8167
88,67.9426
89,65.5928
90,68.0397
91,65.5946
92,69.5640
93,65.4528
94,65.6141
95,67.0887
96,68.7305
97,69.4301
98,69.2153
99,69.0617
100,67.7221
101,71.8587
102,70.4136
103,67.2886
104,69.1549
105,68.9503
106,72.6209
107,62.4190
108,65.0399
109,64.2924
110,64.6141
111,70.8702
112,66.8426
113,61.7992
114,69.9394
115,66.5569
116,65.0941
117,71.1640
118,73.3482
119,69.1123
120,69.3235
121,70.0755
122,75.5474
123,91.1470
124,100.4691
125,91.3183
126,85.8351
127,75.4943
128,68.8001
129,74.7718
130,69.5540
131,64.8505
132,68.3319
133,68.5835
134,67.0374
135,70.8085
136,69.7629
137,70.2856
138,68.8519
139,70.3099
140,71.4549
141,70.7677
142,66.3546
143,68.0957
144,61.8628
145,68.6048
146,62.3056
147,69.5250
148,64.7212
149,70.4086
150,63.2974
151,65.1826
152,67.9608
153,69.5728
154,68.4571
155,66.9145
156,66.2459
157,63.4279
158,69.5172
159,59.6556
160,70.5372
161,67.7600
162,68.9133
163,63.4646
164,67.9496
165,63.2579
166,62.7003
167,67.3485
168,66.0658
169,64.2926
170,68.9025
171,69.9986
172,73.7559
173,72.6981
174,69.3196
175,70.0032
176,63.0885
177,72.3428
178,69.0585
179,70.5123
180,66.5912
181,80.1103
182,76.6289
183,68.0045
184,68.7945
185,65.6862
186,66.1790
187,66.6239
188,72.8475
189,70.4319
190,66.6318
191,65.9422
192,66.9288
193,71.3711
194,67.6611
195,67.1933
196,67.1574
197,67.4664
198,67.5615
199,98.2396
200,113.3117
201,114.0247
202,105.8296
203,93.9351
204,79.6025
205,75.6039
206,75.8954
207,72.5368
208,69.9750
209,69.0876
210,72.9283
211,68.8714
212,74.1220
213,74.7189
214,69.4943
215,66.8056
216,67.7377
217,68.3652
218,70.8730
219,68.9174
220,64.8546
221,70.4276
222,69.0810
223,66.1005
224,68.1922
225,70.2348
226,71.8521
227,69.6994
228,72.7473
229,71.6733
230,66.9349
231,66.6502
232,72.5932
233,68.3773
234,74.4576
235,75.8496
236,63.9551
237,71.0848
238,68.9077
239,62.3335
240,64.9916
241,70.4297
242,68.2230
243,69.4283
244,70.8292
245,70.3178
246,69.9855
247,67.3562
248,74.2089
249,77.5917
250,78.1888
251,76.9279
252,72.7176
253,77.5681
254,71.5923
255,65.5588
256,71.4875
257,70.1838
258,68.5420
259,75.7389
260,70.9605
261,71.4038
262,69.0581
263,71.4412
264,68.3253
265,73.5921
266,66.4481
267,67.5075
268,66.7926
269,72.2346
270,72.0656
271,75.8149
272,70.6098
273,75.2564
274,69.9696
275,72.1307
276,63.3128
277,69.8702
278,68.3287
279,69.4422
280,64.3430
281,68.4176
282,66.5284
283,65.5721
284,65.9043
285,74.2371
286,65.6790
287,62.5041
288,67.5572
289,69.5429
290,71.7312
291,71.2289
292,66.3480
293,69.4453
294,70.3623
295,62.0449
296,67.4004
297,69.5320
298,70.5506
299,71.4880
300,72.3777
301,70.4104
302,68.3258
303,65.8283
304,64.6722
305,66.0799
306,68.5082
307,69.0706
308,63.2979
309,68.4882
310,71.5935
311,67.9065
312,65.2189
313,72.9671
314,70.7661
315,68.4476
316,70.8283
317,72.3627
318,73.1518
319,69.5127
320,64.6849
321,71.1531
322,71.7754
323,71.4553
324,69.0542
325,66.0923
326,68.6243
327,71.2775
328,68.5871
329,71.2974
330,67.3185
331,68.7278
332,71.8378
333,70.6180
334,65.4308
335,64.4306
336,65.7078
337,71.2929
338,67.9335
339,71.4142
340,70.4108
341,70.4669
342,65.7080
343,68.6962
344,72.3276
345,73.9510
346,70.8287
347,64.8532
348,71.2028
349,86.9725
350,102.3017
351,98.5508
352,93.2309
353,77.1676
354,72.9456
355,73.2064
356,71.8941
357,73.8251
358,76.4959
359,69.6214
360,74.2738
361,71.9515
362,73.5758
363,67.4446
364,64.7609
365,70.2425
366,69.8503
367,66.1232
368,69.6618
369,66.3702
370,72.8074
371,68.4161
372,67.6028
373,72.4419
374,68.8587
375,64.0669
376,69.3752
377,71.5440
378,70.0519
379,68.6810
380,69.0089
381,67.2076
382,67.2346
383,67.7409
384,68.0774
385,72.3680
386,68.4095
387,73.0465
388,67.6500
389,63.1622
390,62.0910
391,71.7282
392,68.5218
393,70.3739
394,68.7967
395,61.1581
396,66.8503
397,70.7539
398,64.3235
399,71.5687
400,77.4784
401,85.9775
402,91.8110
403,85.7250
404,72.8371
405,71.7384
406,77.4576
407,73.0177
408,70.7650
409,69.9839
410,66.5079
411,72.8407
412,69.6146
413,69.4846
414,70.5091
415,77.7534
416,72.1865
417,66.1447
418,75.7244
419,65.3777
420,73.0910
421,70.6216
422,71.5354
423,71.3548
424,68.5343
425,64.8539
426,74.5392
427,73.3895
428,74.0200
429,66.2589
430,69.9433
431,74.9365
432,69.5379
433,72.4220
434,71.7745
435,68.4027
436,68.4122
437,74.3993
438,68.9769
439,72.9567
440,65.9190
441,74.1402
442,73.7570
443,66.8432
444,70.6098
445,65.4843
446,70.4755
447,66.9313
448,67.0413
449,66.9617
450,72.3439
