Slice,Mean
1,211.5769
2,213.5457
3,211.0488
4,212.5499
5,212.4122
6,213.5215
7,214.2255
8,213.1455
9,210.1701
10,213.3268
11,213.5681
12,212.9115
13,214.0778
14,214.2776
15,213.7076
16,212.3289
17,213.0565
18,212.5115
19,214.4256
20,213.2722
21,213.7081
22,214.4395
23,212.4075
24,213.6405
25,212.0222
26,214.9350
27,213.3585
28,216.9425
29,215.0838
30,212.5480
31,214.7791
32,213.8608
33,215.0690
34,214.7144
35,216.3607
36,220.6932
37,253.7901
38,265.7774
39,237.3121
40,224.6028
41,220.4437
42,221.0673
43,218.4860
44,217.7321
45,215.3419
46,216.1734
47,212.4674
48,213.9710
49,215.8685
50,217.0888
51,215.2425
52,215.8370
53,213.6075
54,214.6017
55,217.9870
56,219.0139
57,214.4167
58,215.1656
59,215.1812
60,213.9346
61,211.9372
62,213.0515
63,215.2458
64,217.1992
65,216.2696
66,215.0456
67,216.0822
68,218.3990
69,215.2153
70,215.7306
71,214.0039
72,218.3089
73,227.9349
74,265.3240
75,260.3774
76,241.9450
77,228.5230
78,220.9040
79,219.6920
80,220.0869
81,220.0521
82,220.1563
83,216.1641
84,213.2927
85,213.7887
86,212.1411
87,214.3672
88,211.3182
89,212.6837
90,212.9866
91,210.3453
92,211.6865
93,212.3193
94,213.1696
95,213.5036
96,211.7737
97,209.2584
98,212.0639
99,213.5110
100,212.6725
101,212.6888
102,213.6474
103,214.6077
104,214.7218
105,213.9726
106,210.6868
107,213.1622
108,212.4538
109,213.0672
110,213.2341
111,212.4881
112,212.1903
113,214.5198
114,212.7359
115,214.7525
116,211.6668
117,210.6253
118,212.3892
119,211.4978
120,212.5987
121,213.3704
122,214.2191
123,213.7892
124,214.2589
125,211.5357
126,219.2953
127,216.1474
128,214.7051
129,218.8427
130,219.2260
131,214.8532
132,216.0513
133,215.1240
134,213.1809
135,214.3699
136,215.5884
137,214.4169
138,214.7033
139,214.4061
140,215.7234
141,212.8844
142,214.9106
143,211.8586
144,211.6661
145,216.8311
146,217.9175
147,213.1939
148,217.7790
149,215.4889
150,214.3324
151,213.3432
152,213.4391
153,211.6180
154,215.7995
155,216.5385
156,214.6982
157,217.8476
158,216.6537
159,215.9722
160,216.0339
161,213.2662
162,217.7376
163,213.4603
164,213.7607
165,212.2407
166,214.2802
167,217.4214
168,215.8633
169,214.2027
170,213.9920
171,215.1925
172,216.6430
173,212.1943
174,214.9826
175,215.5293
176,214.1129
177,212.8999
178,213.6476
179,215.4470
180,211.5797
181,218.9741
182,211.2413
183,212.9452
184,215.0415
185,214.7052
186,213.6489
187,214.5728
188,214.5216
189,215.8808
190,215.3327
191,214.8985
192,213.6184
193,216.4352
194,213.9314
195,213.7850
196,213.2230
197,216.0001
198,212.7859
199,214.8062
200,214.7783
201,214.1698
202,215.2238
203,217.8274
204,216.6598
205,213.4037
206,217.5670
207,214.7697
208,215.5446
209,216.6597
210,213.6145
211,215.9870
212,218.7476
213,216.7114
214,217.8532
215,218.0898
216,215.1549
217,216.5724
218,216.4233
219,216.2877
220,215.5837
221,214.0420
222,215.0912
223,215.6508
224,216.8877
225,215.6438
226,216.2280
227,217.2896
228,216.2207
229,215.1198
230,216.8624
231,214.9388
232,216.5159
233,217.2286
234,218.8131
235,213.8674
236,214.4113
237,213.9207
238,216.0298
239,216.5823
240,217.2786
241,216.9085
242,216.7151
243,217.1931
244,214.6063
245,217.3109
246,216.8298
247,218.3612
248,217.2225
249,217.2660
250,217.5853
251,216.4245
252,217.5259
253,218.6755
254,217.3327
255,215.9431
256,217.6222
257,223.6716
258,218.0758
259,218.0068
260,216.9728
261,219.3306
262,220.1640
263,217.5141
264,217.4985
265,216.8901
266,216.2620
267,218.0572
268,216.5030
269,217.0927
270,215.7613
271,218.8825
272,217.3345
273,214.8686
274,217.3721
275,217.8975
276,215.6692
277,218.5955
278,217.2873
279,217.4986
280,216.3394
281,214.5111
282,216.9428
283,214.8201
284,216.8081
285,214.8833
286,216.6913
287,217.4524
288,215.8552
289,216.6692
290,215.5535
291,215.8684
292,215.2459
293,217.1545
294,218.9227
295,218.3457
296,216.2784
297,215.8154
298,214.0388
299,218.1169
300,215.2227
301,213.5263
302,216.7270
303,212.9655
304,214.3107
305,216.1528
306,216.2696
307,215.8032
308,217.9550
309,215.1488
310,213.8618
311,216.8026
312,215.3567
313,214.4905
314,220.4322
315,220.0211
316,215.1616
317,215.5173
318,216.5742
319,218.7827
320,216.5350
321,218.4852
322,216.7398
323,216.3408
324,219.5110
325,214.7915
326,216.7401
327,214.9047
328,211.3526
329,213.9242
330,212.2205
331,216.8036
332,215.0565
333,215.7890
334,217.1205
335,212.5141
336,215.3624
337,216.7207
338,215.0215
339,215.0932
340,214.4654
341,215.7902
342,217.7740
343,217.7403
344,213.2169
345,214.5074
346,216.3907
347,214.5923
348,213.4960
349,212.9719
350,214.6872
351,217.1217
352,215.6625
353,212.2558
354,214.2823
355,214.5989
356,213.9109
357,214.2328
358,213.6894
359,213.5722
360,214.1925
361,211.7657
362,211.5009
363,212.4965
364,213.2697
365,212.7649
366,210.1604
367,213.1952
368,213.1937
369,211.7262
370,209.9627
371,213.0525
372,215.1303
373,213.9665
374,213.4919
375,213.1307
376,214.9583
377,212.9205
378,212.2648
379,210.3291
380,214.7556
381,212.3826
382,213.4288
383,214.4194
384,212.4719
385,211.1161
386,212.1162
387,212.7334
388,212.7962
389,211.7513
390,212.3081
391,215.0339
392,210.3856
393,210.7584
394,214.0425
395,211.6959
396,208.4527
397,212.4614
398,212.9711
399,212.6543
400,210.0953
401,211.0184
402,208.5256
403,213.8267
404,211.9113
405,214.1358
406,211.0749
407,209.7157
408,212.5989
409,211.3486
410,212.0202
411,210.0202
412,210.8620
413,212.9517
414,210.6179
415,211.3243
416,212.3540
417,210.2411
418,212.1765
419,210.7380
420,209.7676
421,212.1046
422,207.9500
423,211.4668
424,214.0549
425,218.2531
426,214.8504
427,211.9949
428,210.0009
429,208.8127
430,211.4899
431,209.1414
432,210.7217
433,210.3785
434,209.9776
435,210.1785
436,211.1262
437,211.9624
438,208.8037
439,211.1219
440,211.6084
441,209.3306
442,208.2637
443,211.5484
444,211.8147
445,210.7490
446,209.4599
447,209.3086
448,210.3699
449,209.6414
450,210.8747
