Slice,Mean
1,1046.198
2,1027.157
3,1015.564
4,1015.941
5,1005.435
6,1011.614
7,1004.516
8,1010.588
9,1007.447
10,997.031
11,994.634
12,996.784
13,993.110
14,989.425
15,997.137
16,993.018
17,985.095
18,991.996
19,983.317
20,992.709
21,988.334
22,986.925
23,988.207
24,987.349
25,979.152
26,981.038
27,982.069
28,987.513
29,981.105
30,985.240
31,991.389
32,987.879
33,984.046
34,978.549
35,981.471
36,983.606
37,983.392
38,978.422
39,979.533
40,985.258
41,981.644
42,986.407
43,987.964
44,982.875
45,983.512
46,978.451
47,987.608
48,982.486
49,981.851
50,988.274
51,986.631
52,983.092
53,981.430
54,984.528
55,983.866
56,991.124
57,982.300
58,984.022
59,975.540
60,980.515
61,980.561
62,982.117
63,983.773
64,982.229
65,979.182
66,987.325
67,987.208
68,986.707
69,985.136
70,982.295
71,981.420
72,980.401
73,986.442
74,986.180
75,984.343
76,989.427
77,984.464
78,984.889
79,983.930
80,990.733
81,987.795
82,983.133
83,983.602
84,986.312
85,985.670
86,984.590
87,986.550
88,988.796
89,991.064
90,985.037
91,987.460
92,984.800
93,986.727
94,990.771
95,984.360
96,990.643
97,983.341
98,990.158
99,989.888
100,987.873
101,995.243
102,995.874
103,989.073
104,982.648
105,988.664
106,983.023
107,992.700
108,991.399
109,993.673
110,995.157
111,997.553
112,997.319
113,997.358
114,986.625
115,991.008
116,991.227
117,987.712
118,984.733
119,992.553
120,978.506
121,995.971
122,983.034
123,983.802
124,984.992
125,992.768
126,982.548
127,992.226
128,986.644
129,986.271
130,985.683
131,978.067
132,984.366
133,984.832
134,986.561
135,981.570
136,985.075
137,986.612
138,994.091
139,977.299
140,988.623
141,983.243
142,985.748
143,986.031
144,982.876
145,975.829
146,983.300
147,976.924
148,983.423
149,988.286
150,979.736
151,981.720
152,974.408
153,980.205
154,979.387
155,983.899
156,986.154
157,978.899
158,975.964
159,977.156
160,973.292
161,982.339
162,980.492
163,987.783
164,975.298
165,978.932
166,976.938
167,981.187
168,980.454
169,978.307
170,989.551
171,974.304
172,978.545
173,970.385
174,987.128
175,975.646
176,973.268
177,965.739
178,976.801
179,978.100
180,969.172
181,977.638
182,979.337
183,972.713
184,972.332
185,967.967
186,970.031
187,970.601
188,967.086
189,964.794
190,967.402
191,964.628
192,964.556
193,965.288
194,961.444
195,964.368
196,960.898
197,965.394
198,960.977
199,970.498
200,958.865
201,960.881
202,957.079
203,961.938
204,958.024
205,950.616
206,960.552
207,961.325
208,954.272
209,962.201
210,960.628
211,954.509
212,957.132
213,958.296
214,960.136
215,957.604
216,955.231
217,951.630
218,949.333
219,954.297
220,947.925
221,947.337
222,946.290
223,950.870
224,950.763
225,946.956
226,946.191
227,953.826
228,946.367
229,946.265
230,947.245
231,951.543
232,954.081
233,946.001
234,939.478
235,945.149
236,951.315
237,942.239
238,941.377
239,942.551
240,934.417
241,950.068
242,946.884
243,942.722
244,939.272
245,939.076
246,946.090
247,943.782
248,948.097
249,945.838
250,950.728
251,943.636
252,936.439
253,943.517
254,940.451
255,945.625
256,943.085
257,942.804
258,931.428
259,938.578
260,932.906
261,941.366
262,933.725
263,938.145
264,934.017
265,932.518
266,936.175
267,930.061
268,928.762
269,939.243
270,945.247
271,934.961
272,935.079
273,936.364
274,928.158
275,924.360
276,927.680
277,929.243
278,937.864
279,926.297
280,930.967
281,933.878
282,928.616
283,924.009
284,933.830
285,922.261
286,923.690
287,931.259
288,925.921
289,925.601
290,925.470
291,924.040
292,928.336
293,927.888
294,923.319
295,923.992
296,929.155
297,925.601
298,927.404
299,921.431
300,917.923
301,917.491
302,919.933
303,919.094
304,919.071
305,914.575
306,912.669
307,924.170
308,923.756
309,919.021
310,916.763
311,921.531
312,925.825
313,913.635
314,920.757
315,918.205
316,918.675
317,914.450
318,913.640
319,917.195
320,912.110
321,914.163
322,915.317
323,907.989
324,920.221
325,916.613
326,915.460
327,914.661
328,910.618
329,909.784
330,915.489
331,912.503
332,911.291
333,907.426
334,906.860
335,909.828
336,908.103
337,902.423
338,903.357
339,906.618
340,905.225
341,905.215
342,909.084
343,912.311
344,910.078
345,909.943
346,901.987
347,903.024
348,906.562
349,905.148
350,899.995
351,898.955
352,904.575
353,898.005
354,901.402
355,893.214
356,899.837
357,902.461
358,912.297
359,905.538
360,899.822
361,898.794
362,902.823
363,906.186
364,900.432
365,893.695
366,899.435
367,897.163
368,894.764
369,896.288
370,897.935
371,900.847
372,900.367
373,894.467
374,889.110
375,895.932
376,897.652
377,894.006
378,891.716
379,892.272
380,890.277
381,896.365
382,888.198
383,892.380
384,890.251
385,880.517
386,893.717
387,889.933
388,901.426
389,890.813
390,893.755
391,892.395
392,886.055
393,890.558
394,887.105
395,890.614
396,883.393
397,881.203
398,891.156
399,882.313
400,883.225
401,884.425
402,881.827
403,884.239
404,883.967
405,880.933
406,879.428
407,884.727
408,875.186
409,884.685
410,889.028
411,885.305
412,885.138
413,882.136
414,879.832
415,882.527
416,875.724
417,885.898
418,873.822
419,882.889
420,877.609
421,874.905
422,877.872
423,871.398
424,876.207
425,880.024
426,878.684
427,874.757
428,872.667
429,875.559
430,879.129
431,878.304
432,877.825
433,873.425
434,889.121
435,870.219
436,879.615
437,876.332
438,874.751
439,873.785
440,872.276
441,877.115
442,879.891
443,867.588
444,872.793
445,869.347
446,872.773
447,879.871
448,874.558
449,879.476
450,873.232
