Slice,Mean
1,130.279
2,168.525
3,154.949
4,169.894
5,225.935
6,320.670
7,309.642
8,234.649
9,217.144
10,170.216
11,170.456
12,187.169
13,170.818
14,159.837
15,189.204
16,156.167
17,185.690
18,166.385
19,164.173
20,171.160
21,162.931
22,160.706
23,168.240
24,174.867
25,152.208
26,164.671
27,159.143
28,163.535
29,182.076
30,185.858
31,164.799
32,157.807
33,158.120
34,157.080
35,160.766
36,172.709
37,168.835
38,165.111
39,181.351
40,165.483
41,154.418
42,185.568
43,193.606
44,149.629
45,158.153
46,179.746
47,182.016
48,145.699
49,168.487
50,171.019
51,165.430
52,176.154
53,174.740
54,163.847
55,165.908
56,174.984
57,174.058
58,163.359
59,173.160
60,168.238
61,181.363
62,230.356
63,284.290
64,311.538
65,255.081
66,223.788
67,180.656
68,192.433
69,177.838
70,171.321
71,171.300
72,177.247
73,183.346
74,156.927
75,165.082
76,163.375
77,177.637
78,157.610
79,174.540
80,176.438
81,184.636
82,183.014
83,181.895
84,179.384
85,173.535
86,175.163
87,184.733
88,179.785
89,164.102
90,171.798
91,155.840
92,158.675
93,191.483
94,150.582
95,181.341
96,193.861
97,166.794
98,190.589
99,178.611
100,171.941
101,173.636
102,168.246
103,188.351
104,171.222
105,159.042
106,171.093
107,185.285
108,174.645
109,173.695
110,169.335
111,153.036
112,164.736
113,189.998
114,170.084
115,194.025
116,154.239
117,174.032
118,181.504
119,184.409
120,191.786
121,195.374
122,180.042
123,152.323
124,163.576
125,181.482
126,189.929
127,150.796
128,183.012
129,221.957
130,204.678
131,189.464
132,186.025
133,171.205
134,183.791
135,187.407
136,185.242
137,184.593
138,183.498
139,187.086
140,174.616
141,186.039
142,166.453
143,181.578
144,173.411
145,172.343
146,177.151
147,182.982
148,159.852
149,185.247
150,176.040
151,170.926
152,181.466
153,165.410
154,191.894
155,159.046
156,172.320
157,173.281
158,161.664
159,193.933
160,183.419
161,187.444
162,170.139
163,155.655
164,163.158
165,176.316
166,164.920
167,170.355
168,172.727
169,165.770
170,166.504
171,176.922
172,185.649
173,167.596
174,173.176
175,184.696
176,176.496
177,165.044
178,187.057
179,157.405
180,201.233
181,214.385
182,343.730
183,403.592
184,409.647
185,335.193
186,270.353
187,222.660
188,222.611
189,194.820
190,203.633
191,183.565
192,201.935
193,205.707
194,178.181
195,175.217
196,191.900
197,186.231
198,166.391
199,198.206
200,174.875
201,174.843
202,172.627
203,197.300
204,171.978
205,195.327
206,190.073
207,190.315
208,166.375
209,182.370
210,149.622
211,176.878
212,172.534
213,180.333
214,163.589
215,168.540
216,164.732
217,181.807
218,186.930
219,209.204
220,179.702
221,211.063
222,185.359
223,162.249
224,164.750
225,194.165
226,191.100
227,188.232
228,189.061
229,169.116
230,166.529
231,182.101
232,212.244
233,206.818
234,222.381
235,332.494
236,312.854
237,278.478
238,244.128
239,244.792
240,225.144
241,226.476
242,215.005
243,192.912
244,196.970
245,210.916
246,191.745
247,191.300
248,196.602
249,186.333
250,176.505
251,193.212
252,186.678
253,201.771
254,206.716
255,204.714
256,175.000
257,225.027
258,197.026
259,206.524
260,170.046
261,166.049
262,188.047
263,180.911
264,185.235
265,193.488
266,165.433
267,181.436
268,194.208
269,214.931
270,214.115
271,251.327
272,330.973
273,283.327
274,261.389
275,248.764
276,248.216
277,216.863
278,217.235
279,194.311
280,198.767
281,185.777
282,170.597
283,195.507
284,180.109
285,179.819
286,184.825
287,204.511
288,179.376
289,199.904
290,189.345
291,202.016
292,183.999
293,180.697
294,205.434
295,187.435
296,208.729
297,192.071
298,194.067
299,222.916
300,189.418
301,197.299
302,203.936
303,222.681
304,188.322
305,185.711
306,194.262
307,200.194
308,199.041
309,202.367
310,192.585
311,245.086
312,315.628
313,346.299
314,310.487
315,231.007
316,225.282
317,232.527
318,242.270
319,203.450
320,205.792
321,209.649
322,206.772
323,208.650
324,183.767
325,217.287
326,199.277
327,217.512
328,219.033
329,195.155
330,220.123
331,208.380
332,197.629
333,199.740
334,184.672
335,197.920
336,201.657
337,184.539
338,199.524
339,192.732
340,196.440
341,228.614
342,222.355
343,205.470
344,232.387
345,190.384
346,173.141
347,213.345
348,242.826
349,224.926
350,206.882
351,213.586
352,222.577
353,218.550
354,233.549
355,196.211
356,174.389
357,231.990
358,256.277
359,279.712
360,425.593
361,433.651
362,386.965
363,296.753
364,322.582
365,289.153
366,274.525
367,235.132
368,246.057
369,236.345
370,208.683
371,219.627
372,201.730
373,243.910
374,207.544
375,227.730
376,231.590
377,190.141
378,218.051
379,206.504
380,189.782
381,212.556
382,229.416
383,217.847
384,223.032
385,230.718
386,223.383
387,232.604
388,211.700
389,228.506
390,199.584
391,208.623
392,202.004
393,230.680
394,197.864
395,235.898
396,219.378
397,221.257
398,218.889
399,240.305
400,209.249
401,210.366
402,213.325
403,234.865
404,203.352
405,225.244
406,217.644
407,224.931
408,204.707
409,232.898
410,204.611
411,207.685
412,221.615
413,228.076
414,230.322
415,217.536
416,190.205
417,212.752
418,230.264
419,210.041
420,275.713
421,351.767
422,365.937
423,339.509
424,264.123
425,256.120
426,231.332
427,220.934
428,230.357
429,225.558
430,228.168
431,226.006
432,207.363
433,220.774
434,242.611
435,218.755
436,240.647
437,199.271
438,212.056
439,219.980
440,206.999
441,229.925
442,211.945
443,231.236
444,211.731
445,224.620
446,213.911
447,201.785
448,204.392
449,202.271
450,219.327
