Slice,Mean
1,792.598
2,790.014
3,778.642
4,778.016
5,767.742
6,773.754
7,779.377
8,757.959
9,772.448
10,767.402
11,755.501
12,761.093
13,768.114
14,764.402
15,761.703
16,761.634
17,755.790
18,764.978
19,752.382
20,764.304
21,757.647
22,764.133
23,757.136
24,763.978
25,756.601
26,756.131
27,761.364
28,766.158
29,745.336
30,761.186
31,758.007
32,757.178
33,762.770
34,766.246
35,759.236
36,766.166
37,752.435
38,758.975
39,756.414
40,759.362
41,762.250
42,750.451
43,759.334
44,755.039
45,755.451
46,762.500
47,766.194
48,763.310
49,752.364
50,762.003
51,760.042
52,760.949
53,759.063
54,756.491
55,763.033
56,763.783
57,748.227
58,754.393
59,760.208
60,756.026
61,763.783
62,767.952
63,761.603
64,758.274
65,759.129
66,755.962
67,763.830
68,771.915
69,767.493
70,763.297
71,771.209
72,765.705
73,766.482
74,761.046
75,751.956
76,760.387
77,760.200
78,764.655
79,757.751
80,762.696
81,759.367
82,754.538
83,755.760
84,760.003
85,771.217
86,767.986
87,761.298
88,770.404
89,755.660
90,753.850
91,755.711
92,755.566
93,752.936
94,771.318
95,762.067
96,757.634
97,763.507
98,764.729
99,754.457
100,758.994
101,765.487
102,762.769
103,756.315
104,763.139
105,752.521
106,754.013
107,771.310
108,765.001
109,761.558
110,761.224
111,756.610
112,759.323
113,766.320
114,762.312
115,764.224
116,762.498
117,753.109
118,755.792
119,763.606
120,749.011
121,760.067
122,765.020
123,753.297
124,768.198
125,769.906
126,749.567
127,762.286
128,761.362
129,760.934
130,756.153
131,755.933
132,758.733
133,763.492
134,762.497
135,761.432
136,767.090
137,756.165
138,767.930
139,770.747
140,756.342
141,757.420
142,764.902
143,764.835
144,765.691
145,749.349
146,757.276
147,759.079
148,760.412
149,758.343
150,747.834
151,760.906
152,757.994
153,757.205
154,752.551
155,772.474
156,759.073
157,766.286
158,759.570
159,758.503
160,760.115
161,757.285
162,759.562
163,749.254
164,761.749
165,762.884
166,760.456
167,755.664
168,759.627
169,764.557
170,759.082
171,760.477
172,763.969
173,752.652
174,762.566
175,762.807
176,768.008
177,759.740
178,764.645
179,753.763
180,770.452
181,748.457
182,745.047
183,737.771
184,745.098
185,746.420
186,754.073
187,764.803
188,756.013
189,769.021
190,772.888
191,788.585
192,787.897
193,791.048
194,784.131
195,789.562
196,787.085
197,791.921
198,798.611
199,803.965
200,803.562
201,804.630
202,801.024
203,811.825
204,805.785
205,798.091
206,818.468
207,822.861
208,809.608
209,811.760
210,818.645
211,835.520
212,817.626
213,815.851
214,808.355
215,824.479
216,818.974
217,827.685
218,818.620
219,836.724
220,826.379
221,824.739
222,816.051
223,824.505
224,812.763
225,823.797
226,823.646
227,816.285
228,812.977
229,816.261
230,817.695
231,813.061
232,817.830
233,808.037
234,805.292
235,806.331
236,801.854
237,795.187
238,799.094
239,799.492
240,797.775
241,793.194
242,801.247
243,795.750
244,811.548
245,804.533
246,789.881
247,788.615
248,802.753
249,778.898
250,795.102
251,796.028
252,781.283
253,784.861
254,778.851
255,785.962
256,797.003
257,785.037
258,789.530
259,787.725
260,783.764
261,801.052
262,783.355
263,779.403
264,782.191
265,781.949
266,782.656
267,781.079
268,780.068
269,781.383
270,767.420
271,777.363
272,758.618
273,750.900
274,758.022
275,762.183
276,751.407
277,766.506
278,773.462
279,779.921
280,796.834
281,796.313
282,796.402
283,797.283
284,809.128
285,813.824
286,817.287
287,818.930
288,824.620
289,822.249
290,830.717
291,828.073
292,832.048
293,847.776
294,834.595
295,858.589
296,850.213
297,834.624
298,846.159
299,850.268
300,851.156
301,859.311
302,851.461
303,862.849
304,869.000
305,867.517
306,855.661
307,853.773
308,860.422
309,861.211
310,869.586
311,857.413
312,861.630
313,865.790
314,850.427
315,867.364
316,861.355
317,857.159
318,865.508
319,862.390
320,854.275
321,844.192
322,850.375
323,846.445
324,853.411
325,848.900
326,848.001
327,839.341
328,835.510
329,848.382
330,840.763
331,840.507
332,837.377
333,836.022
334,842.675
335,840.612
336,822.222
337,830.403
338,828.621
339,825.806
340,830.689
341,815.900
342,827.569
343,810.874
344,826.501
345,816.873
346,812.696
347,817.417
348,814.453
349,819.745
350,805.078
351,818.393
352,814.730
353,819.042
354,808.947
355,824.471
356,810.515
357,799.914
358,799.151
359,787.919
360,784.847
361,778.417
362,781.180
363,778.817
364,794.354
365,804.731
366,800.660
367,809.277
368,804.052
369,814.858
370,819.060
371,825.987
372,817.801
373,825.985
374,823.834
375,829.321
376,822.180
377,837.957
378,846.526
379,849.126
380,851.323
381,846.291
382,847.855
383,846.948
384,853.702
385,854.025
386,860.705
387,857.412
388,859.324
389,849.494
390,866.614
391,874.098
392,858.846
393,854.707
394,863.666
395,866.222
396,863.396
397,864.795
398,856.541
399,868.461
400,867.144
401,866.405
402,860.045
403,858.707
404,864.059
405,867.524
406,869.826
407,868.332
408,855.274
409,857.163
410,856.373
411,862.082
412,858.499
413,861.087
414,857.801
415,849.011
416,856.265
417,843.131
418,848.632
419,850.120
420,855.764
421,854.577
422,839.793
423,851.784
424,841.061
425,850.133
426,851.057
427,843.820
428,853.911
429,855.059
430,846.241
431,842.842
432,841.189
433,848.666
434,835.873
435,835.531
436,838.058
437,842.404
438,837.749
439,849.197
440,835.054
441,839.964
442,841.801
443,823.253
444,835.274
445,831.437
446,825.926
447,831.734
448,825.877
449,832.675
450,829.762
