Slice,Mean
1,12.1273
2,11.3636
3,9.3818
4,10.5182
5,10.8909
6,58.0909
7,44.3000
8,31.0273
9,18.4636
10,15.4091
11,15.7909
12,9.6818
13,9.2182
14,10.2091
15,6.0455
16,10.1273
17,10.5818
18,9.6091
19,11.5818
20,6.9545
21,10.6455
22,13.9727
23,29.5727
24,34.4091
25,16.8273
26,15.3818
27,15.2727
28,6.5818
29,19.5545
30,13.4545
31,12.6909
32,14.5636
33,9.4818
34,10.5182
35,8.3364
36,9.7455
37,15.7364
38,8.6909
39,12.1273
40,13.7182
41,11.6000
42,8.8000
43,11.3455
44,13.1909
45,15.5909
46,13.2273
47,10.0273
48,8.2000
49,13.0727
50,11.8909
51,11.5000
52,11.7545
53,13.2909
54,11.6182
55,11.6091
56,11.3455
57,8.5182
58,10.2000
59,10.3273
60,9.9455
61,10.7909
62,10.0000
63,12.4545
64,10.8273
65,13.6727
66,14.4818
67,8.8727
68,13.5182
69,13.0273
70,10.7818
71,13.5455
72,39.5000
73,14.8000
74,14.4455
75,14.1545
76,15.2182
77,14.6000
78,12.6727
79,15.8000
80,7.9727
81,9.5182
82,11.1273
83,14.1091
84,9.0000
85,10.3455
86,13.2818
87,40.4636
88,40.1091
89,17.3727
90,13.7364
91,15.2273
92,15.8091
93,11.3545
94,13.8909
95,8.7909
96,9.9636
97,11.8545
98,11.1364
99,11.8000
100,9.9545
101,14.0182
102,13.1818
103,11.4818
104,11.7636
105,11.0636
106,12.3091
107,11.0636
108,15.0636
109,12.8091
110,13.3000
111,14.2545
112,12.4273
113,39.7273
114,49.4364
115,23.6909
116,13.9727
117,16.2273
118,13.0818
119,10.6545
120,13.1727
121,13.2818
122,15.5091
123,13.6545
124,12.6727
125,14.1727
126,11.2091
127,11.9000
128,11.5818
129,11.1818
130,15.0091
131,63.4273
132,54.0545
133,34.9182
134,20.3636
135,20.8909
136,16.2727
137,13.8273
138,15.0636
139,12.3364
140,8.3273
141,12.3182
142,15.3091
143,10.8273
144,8.8818
145,12.8818
146,18.6273
147,9.9182
148,14.8182
149,14.2636
150,10.8273
151,11.5364
152,13.9727
153,8.6273
154,12.1182
155,10.9818
156,12.3545
157,14.2545
158,12.9727
159,15.6364
160,13.5727
161,12.2727
162,11.6545
163,11.0818
164,10.9636
165,17.2727
166,12.3727
167,8.2273
168,10.0636
169,9.4545
170,14.8455
171,12.1182
172,12.3091
173,12.6000
174,14.3364
175,13.2636
176,11.2545
177,12.4545
178,8.2818
179,8.7727
180,13.0909
181,8.6273
182,49.0818
183,33.5727
184,12.5455
185,19.0000
186,11.5545
187,13.1818
188,10.7364
189,10.4364
190,27.4364
191,15.4455
192,14.9636
193,10.1182
194,13.7909
195,10.7909
196,8.3909
197,4.8727
198,8.2545
199,14.1364
200,10.0545
201,11.1455
202,13.9636
203,13.9000
204,13.7091
205,11.3455
206,11.9273
207,14.9636
208,10.1364
209,12.0000
210,14.7091
211,12.5545
212,11.1091
213,9.0636
214,15.2000
215,13.4818
216,11.6727
217,12.8545
218,10.7000
219,14.0818
220,8.8364
221,10.1364
222,11.3000
223,13.2545
224,12.8909
225,12.5727
226,15.1000
227,8.0091
228,9.2545
229,12.0182
230,13.6273
231,10.2091
232,11.1182
233,12.4818
234,15.3000
235,12.2091
236,8.1091
237,8.4273
238,8.7455
239,8.8273
240,11.9636
241,12.6364
242,13.5455
243,11.2818
244,10.3545
245,13.8091
246,16.1182
247,8.0727
248,12.1091
249,12.6909
250,11.4818
251,10.0727
252,11.4818
253,13.8636
254,12.5455
255,10.8909
256,10.8545
257,12.7091
258,8.9273
259,13.6091
260,7.6273
261,11.2455
262,7.8636
263,10.5182
264,10.8727
265,11.5364
266,22.3273
267,51.4455
268,33.9455
269,22.2636
270,20.4727
271,16.0545
272,13.2182
273,11.8727
274,11.4364
275,10.8364
276,9.2091
277,13.7727
278,11.4545
279,15.9727
280,10.5455
281,10.4455
282,15.2182
283,10.1727
284,15.5091
285,11.5364
286,12.1091
287,14.5545
288,15.2909
289,11.9000
290,11.2818
291,11.9364
292,12.7364
293,15.3909
294,14.5636
295,12.3455
296,13.6364
297,15.9000
298,13.1455
299,7.5727
300,12.3364
301,12.7636
302,9.8636
303,12.9273
304,11.3636
305,16.2636
306,12.8455
307,10.8455
308,7.3727
309,11.5818
310,10.3818
311,12.4182
312,11.9182
313,15.9636
314,12.8636
315,9.5909
316,15.4545
317,8.8818
318,13.5364
319,14.8636
320,11.3000
321,11.1364
322,15.5636
323,17.3273
324,16.2636
325,11.6545
326,12.4545
327,11.2182
328,10.6091
329,15.3273
330,12.5818
331,12.0455
332,15.2091
333,14.1818
334,14.6545
335,12.0273
336,12.5000
337,11.7727
338,16.6364
339,13.0364
340,19.2000
341,10.8273
342,14.8091
343,11.3273
344,12.1182
345,15.3455
346,11.0000
347,11.2364
348,9.4636
349,12.3000
350,13.3727
351,9.0182
352,10.2273
353,14.3273
354,15.4636
355,11.0545
356,11.3364
357,14.0273
358,16.0364
359,15.4818
360,18.6273
361,10.7545
362,13.4182
363,15.1909
364,9.5364
365,10.6636
366,14.1182
367,12.8727
368,14.9636
369,41.8818
370,41.1091
371,19.0091
372,15.3636
373,13.3182
374,14.7455
375,12.9182
376,15.8818
377,11.5091
378,13.1636
379,9.3909
380,12.1727
381,11.8636
382,11.1818
383,16.1091
384,14.4909
385,14.3364
386,11.3818
387,15.2000
388,10.6000
389,11.5727
390,16.6273
391,13.1545
392,12.1909
393,15.8182
394,16.4636
395,16.2818
396,13.4727
397,11.8727
398,15.2636
399,14.3455
400,12.8545
401,12.8636
402,11.1000
403,11.5636
404,13.0636
405,14.8182
406,12.6636
407,13.9182
408,13.3455
409,10.2727
410,11.4909
411,13.0455
412,16.0727
413,12.5000
414,11.2727
415,13.8727
416,11.2455
417,16.3818
418,10.5545
419,12.4364
420,9.7455
421,12.2273
422,17.1909
423,12.4727
424,10.6909
425,9.9545
426,9.6727
427,12.9455
428,13.1182
429,14.5273
430,16.1909
431,10.3909
432,11.0818
433,10.5364
434,12.1091
435,7.8909
436,16.0818
437,10.6091
438,16.2727
439,12.8727
440,13.0000
441,20.4364
442,10.9364
443,15.3364
444,9.4364
445,12.6091
446,12.8000
447,11.0909
448,11.8636
449,13.2636
450,8.3818
