Slice,Mean
1,114.4119
2,112.7363
3,112.5501
4,113.5360
5,112.2230
6,112.4035
7,110.8848
8,111.9101
9,111.1468
10,113.3595
11,112.1238
12,111.3463
13,111.8026
14,111.4413
15,110.6031
16,110.5814
17,110.7350
18,110.1290
19,111.2930
20,111.4647
21,111.0479
22,110.2768
23,109.0131
24,111.4965
25,110.4116
26,110.2605
27,109.5295
28,109.8172
29,108.4452
30,109.5261
31,109.3702
32,109.5201
33,108.6555
34,109.7572
35,110.0164
36,109.0463
37,108.2851
38,108.8980
39,108.2063
40,109.1207
41,108.2161
42,110.0056
43,109.1449
44,109.1747
45,108.9666
46,108.7313
47,109.7774
48,108.8872
49,106.8165
50,107.0596
51,106.2749
52,106.4658
53,108.0112
54,108.0095
55,107.0536
56,108.2649
57,108.2101
58,107.0856
59,107.7079
60,106.4456
61,107.2672
62,106.3030
63,105.9962
64,107.6579
65,106.8920
66,107.3241
67,107.5060
68,106.1645
69,105.9682
70,106.1041
71,107.4469
72,106.5792
73,106.5389
74,107.2332
75,106.9086
76,105.3694
77,105.9784
78,107.0666
79,105.6549
80,106.5813
81,106.2970
82,106.1419
83,105.8735
84,105.1171
85,105.7643
86,106.5390
87,105.0184
88,106.3852
89,106.1962
90,105.1813
91,105.4885
92,106.1900
93,105.8066
94,106.2703
95,105.4188
96,105.1992
97,105.3598
98,105.3538
99,104.9668
100,105.5809
101,105.3722
102,105.1583
103,105.5377
104,105.5760
105,105.0133
106,105.5822
107,104.7357
108,105.3444
109,105.6347
110,105.4922
111,105.9195
112,105.8962
113,105.1374
114,103.7563
115,104.4245
116,105.2250
117,106.6389
118,104.7772
119,103.9696
120,105.6938
121,103.5340
122,104.6706
123,105.4194
124,103.4200
125,104.4609
126,104.1686
127,103.8732
128,103.7109
129,104.9681
130,103.7346
131,103.4447
132,103.5421
133,103.4416
134,103.2419
135,103.2172
136,103.0873
137,103.9579
138,104.0158
139,102.4340
140,104.3461
141,103.1779
142,104.0562
143,103.6228
144,103.5468
145,102.8000
146,103.9198
147,103.2288
148,103.5080
149,102.1524
150,103.2781
151,102.4586
152,102.5585
153,102.5852
154,103.4021
155,103.1535
156,103.3977
157,103.5923
158,102.3287
159,103.5277
160,102.6553
161,102.5817
162,103.3538
163,102.3596
164,102.2690
165,101.0150
166,102.4254
167,102.2988
168,102.6589
169,101.5194
170,101.6895
171,103.5871
172,102.9999
173,102.6295
174,102.7176
175,101.9020
176,102.3746
177,102.2751
178,102.4734
179,102.8386
180,102.0541
181,102.5515
182,102.3255
183,101.8783
184,99.8443
185,102.6440
186,100.4454
187,101.3413
188,102.5382
189,102.0859
190,101.4957
191,102.0335
192,101.3492
193,102.6256
194,101.7208
195,101.4046
196,100.9850
197,102.2211
198,100.4078
199,100.8468
200,101.1173
201,101.2239
202,101.5871
203,101.7664
204,101.8546
205,101.3929
206,102.2650
207,102.4677
208,101.9987
209,101.5753
210,101.0600
211,100.8569
212,102.3082
213,102.3197
214,100.6512
215,99.7725
216,101.6057
217,100.9750
218,101.4537
219,101.3056
220,101.9912
221,100.9412
222,100.7975
223,101.2354
224,100.7705
225,99.4945
226,101.2382
227,100.4511
228,101.4726
229,100.8925
230,100.7475
231,100.2244
232,100.5711
233,100.3907
234,100.5846
235,100.0992
236,100.2370
237,100.5965
238,101.2815
239,101.1966
240,101.4627
241,100.7719
242,99.7980
243,101.0759
244,100.2654
245,99.2683
246,101.1013
247,100.7885
248,99.5670
249,100.8096
250,100.7661
251,99.8716
252,99.7098
253,99.4353
254,99.4292
255,100.5995
256,99.1196
257,100.5775
258,100.2277
259,99.4021
260,99.9500
261,99.7963
262,99.4819
263,99.1202
264,100.0704
265,99.8299
266,100.5478
267,98.9129
268,100.0702
269,100.8143
270,100.3839
271,99.8358
272,100.8006
273,99.6161
274,99.7665
275,99.7017
276,99.4043
277,99.6524
278,99.7921
279,97.9985
280,98.3314
281,100.8796
282,99.9115
283,99.8406
284,99.6818
285,98.4522
286,97.8332
287,101.1297
288,99.7229
289,100.0681
290,99.7816
291,99.6400
292,99.6494
293,100.5254
294,100.0473
295,99.5184
296,100.0437
297,98.9208
298,99.1522
299,99.8835
300,99.5568
301,98.4098
302,99.3586
303,99.4187
304,99.0924
305,98.7781
306,99.0798
307,98.7165
308,101.0478
309,100.8275
310,99.5682
311,98.7708
312,100.6538
313,98.7421
314,101.0852
315,100.6903
316,99.9339
317,100.0628
318,99.1998
319,98.9448
320,100.0211
321,98.4516
322,99.9893
323,101.6172
324,99.9427
325,100.5180
326,99.7181
327,100.2494
328,99.7127
329,99.7080
330,99.5868
331,99.2107
332,99.1856
333,99.8106
334,98.7625
335,99.7826
336,98.4183
337,99.2171
338,99.6252
339,99.0255
340,99.7757
341,98.2321
342,98.4467
343,98.4881
344,98.2097
345,100.3911
346,97.8139
347,100.0445
348,97.8014
349,99.9157
350,98.8437
351,99.7996
352,99.6897
353,99.1603
354,98.9010
355,98.7835
356,99.8026
357,100.1448
358,100.2033
359,99.4397
360,99.6993
361,99.0449
362,98.7367
363,100.1670
364,99.3423
365,99.0569
366,99.1042
367,98.4905
368,99.3561
369,99.4395
370,99.5527
371,99.8698
372,98.6645
373,99.4637
374,98.2378
375,99.4732
376,99.1953
377,99.4021
378,100.5850
379,99.5666
380,99.5704
381,99.3671
382,98.4679
383,99.0230
384,98.5397
385,99.4158
386,99.4408
387,100.2542
388,98.9407
389,98.3801
390,98.2183
391,99.4578
392,98.5139
393,98.5187
394,98.3783
395,98.3053
396,99.0221
397,97.8447
398,99.7556
399,100.2228
400,98.5113
401,99.3211
402,99.3621
403,98.4157
404,98.9128
405,97.2027
406,100.1128
407,99.5802
408,99.7925
409,98.9662
410,99.6774
411,98.9791
412,98.6241
413,98.3592
414,100.1402
415,99.1002
416,98.8694
417,100.7426
418,98.6081
419,98.0763
420,98.3265
421,100.2378
422,99.0924
423,99.1803
424,99.9905
425,98.1342
426,99.2647
427,98.6941
428,99.9300
429,98.4998
430,98.1650
431,98.7012
432,98.3728
433,99.3611
434,99.4078
435,98.2809
436,98.1845
437,100.5948
438,99.9402
439,98.5584
440,98.6445
441,99.1501
442,98.6868
443,98.4392
444,98.8937
445,98.4468
446,100.3977
447,98.5763
448,98.6061
449,98.9937
450,99.2644
