Slice,Mean
1,335.6104
2,331.1971
3,326.9428
4,324.2245
5,325.7311
6,325.5494
7,325.2407
8,323.0161
9,319.3795
10,322.4854
11,318.5809
12,319.4253
13,316.7440
14,316.6732
15,318.1055
16,316.7092
17,317.8188
18,314.8852
19,317.4855
20,314.5927
21,315.3275
22,318.3267
23,316.1816
24,313.2483
25,315.6555
26,315.3629
27,314.1065
28,314.8950
29,310.8497
30,311.4912
31,311.8260
32,310.2914
33,312.2134
34,312.3183
35,312.6131
36,312.6104
37,314.4121
38,310.8983
39,312.6748
40,310.1959
41,309.2442
42,312.3611
43,312.1862
44,311.2286
45,311.6358
46,311.1710
47,312.2914
48,310.3215
49,311.7133
50,311.5701
51,309.5213
52,311.3474
53,311.4229
54,311.1745
55,308.1947
56,312.1026
57,312.1457
58,315.0397
59,310.9939
60,309.9429
61,309.8697
62,309.3337
63,310.5727
64,310.7392
65,312.9193
66,311.2988
67,312.9648
68,311.3746
69,313.3539
70,314.1138
71,311.3733
72,310.4337
73,310.4023
74,309.8128
75,311.3174
76,309.7429
77,313.5082
78,313.2964
79,311.7695
80,310.7203
81,307.8801
82,310.3955
83,309.4655
84,312.3880
85,310.5814
86,310.2087
87,309.8226
88,309.5708
89,308.6377
90,310.1541
91,309.4680
92,309.9837
93,308.5879
94,310.6650
95,308.2047
96,308.2966
97,311.1187
98,310.8418
99,309.1250
100,311.8627
101,307.1186
102,307.6996
103,307.7897
104,310.2955
105,306.9681
106,310.5955
107,305.7607
108,309.0109
109,305.4048
110,307.7314
111,308.3513
112,305.5961
113,307.0855
114,307.3729
115,305.6974
116,308.0529
117,306.0688
118,305.3866
119,304.9413
120,304.4479
121,307.7630
122,303.1389
123,306.9222
124,303.7757
125,304.4845
126,304.8632
127,304.5807
128,300.4302
129,304.7447
130,307.4098
131,304.1218
132,304.8205
133,302.0067
134,303.0186
135,303.5919
136,302.7834
137,305.5078
138,301.6200
139,303.3512
140,302.1582
141,301.2082
142,302.9031
143,300.3644
144,300.2146
145,299.5860
146,300.9352
147,302.0897
148,301.6588
149,301.1554
150,301.3267
151,299.1410
152,298.7747
153,300.1094
154,298.6204
155,298.6904
156,299.7788
157,299.0877
158,300.3445
159,299.6337
160,297.5765
161,300.0377
162,299.1469
163,299.7448
164,296.3271
165,299.1277
166,298.5310
167,299.4477
168,296.9850
169,296.5093
170,296.9936
171,298.1689
172,295.3222
173,294.4149
174,297.9397
175,295.5879
176,296.9407
177,296.5997
178,295.8314
179,297.8268
180,296.5247
181,294.8263
182,291.5412
183,292.8276
184,293.7033
185,293.8625
186,295.3895
187,293.6615
188,293.0293
189,293.0297
190,295.7306
191,296.0226
192,291.9749
193,292.5517
194,294.4690
195,296.2971
196,295.2513
197,293.6667
198,293.6278
199,292.2628
200,292.3546
201,293.6093
