Slice,Mean
1,3.81128
2,3.89363
3,3.94252
4,4.01106
5,3.96326
6,3.87842
7,3.99181
8,4.00986
9,4.09340
10,3.92188
11,3.99002
12,4.01100
13,4.03802
14,3.99017
15,3.96758
16,3.94591
17,3.89648
18,3.96741
19,3.93700
20,3.88365
21,3.87758
22,4.02180
23,3.85983
24,3.78598
25,3.97386
26,3.93886
27,3.87796
28,4.03232
29,4.00154
30,3.87582
31,3.99701
32,3.86694
33,3.97092
34,3.97621
35,3.92256
36,3.95239
37,3.95659
38,3.98839
39,3.88745
40,3.97905
41,3.94170
42,3.96002
43,3.94939
44,4.05208
45,3.82053
46,3.93489
47,3.99995
48,4.35710
49,4.53821
50,4.67284
51,5.01276
52,4.49815
53,4.11151
54,4.07039
55,4.02293
56,3.90184
57,4.08211
58,3.97348
59,4.11407
60,4.08647
61,3.98048
62,4.01749
63,4.06187
64,4.03539
65,4.19356
66,5.52753
67,7.95847
68,5.96736
69,4.80478
70,4.36029
71,4.26189
72,4.16637
73,4.10648
74,4.07727
75,4.04457
76,4.16129
77,4.07846
78,4.19060
79,4.26749
80,4.31749
81,4.18423
82,4.14240
83,3.97456
84,4.04189
85,4.07321
86,4.02614
87,4.00415
88,4.01312
89,4.13234
90,4.03625
91,4.07013
92,4.08868
93,4.08487
94,4.10234
95,4.07930
96,4.12422
97,4.04205
98,3.98201
99,4.09190
100,4.09781
101,4.06010
102,3.99133
103,4.00836
104,4.23358
105,4.06598
106,4.05302
107,4.02069
108,3.97345
109,4.12135
110,4.17966
111,3.89737
112,3.89890
113,3.93437
114,4.07394
115,3.98483
116,3.98494
117,3.98538
118,3.95047
119,3.94060
120,3.93932
121,4.10362
122,4.06744
123,4.05458
124,4.14813
125,4.03055
126,3.99901
127,3.98953
128,3.95491
129,3.99103
130,4.02060
131,4.06378
132,3.98854
133,4.06123
134,5.61424
135,9.22099
136,7.85632
137,5.59874
138,4.91507
139,4.51613
140,4.44595
141,4.28741
142,4.28587
143,4.29460
144,4.28815
145,4.18713
146,4.19957
147,4.22163
148,4.23856
149,4.32149
150,4.29636
151,4.34021
152,4.35196
153,4.33537
154,4.30034
155,4.16389
156,4.14867
157,4.01219
158,4.03795
159,4.13145
160,4.17949
161,4.15280
162,4.04910
163,4.14464
164,4.13457
165,4.12692
166,4.19446
167,4.17738
168,4.18771
169,4.16841
170,4.08090
171,4.02286
172,4.10724
173,4.15288
174,4.09811
175,4.12392
176,4.09599
177,4.11682
178,4.14833
179,4.16338
180,4.10065
181,4.45911
182,4.26718
183,4.13171
184,4.14684
185,4.09923
186,4.15526
187,4.11629
188,4.13524
189,4.07022
190,4.07098
191,4.15756
192,4.08401
193,3.97720
194,4.20612
195,4.17213
196,4.09241
197,4.11290
198,4.21254
199,4.13025
200,4.06169
201,4.25037
202,4.08531
203,4.11548
204,4.12245
205,4.07378
206,4.08844
207,4.09538
208,4.07266
209,4.09267
210,4.06949
211,4.08994
212,4.02548
213,3.94966
214,3.96701
215,4.05472
216,4.07890
217,4.13734
218,4.04132
219,3.96068
220,3.99081
221,4.14554
222,4.00934
223,4.13152
224,3.96255
225,4.06883
226,3.99846
227,4.02670
228,4.05923
229,4.11243
230,4.20160
231,4.12436
232,4.23720
233,4.14619
234,4.08156
235,4.15053
236,4.02383
237,4.08342
238,4.11964
239,4.05133
240,4.16377
241,4.06372
242,4.01012
243,4.00586
244,3.92075
245,4.15126
246,4.01877
247,3.97131
248,4.10660
249,4.08990
250,4.06343
251,3.97757
252,4.14369
253,4.00446
254,4.00865
255,4.05838
256,4.11406
257,4.10402
258,4.29799
259,4.07460
260,4.22621
261,4.10933
262,4.16422
263,4.18103
264,4.94405
265,9.28471
266,9.39456
267,6.18230
268,5.21342
269,4.75027
270,4.52527
271,4.36575
272,4.25098
273,4.29744
274,4.25742
275,4.15363
276,4.07422
277,4.14455
278,4.17523
279,4.12230
280,4.12090
281,4.07594
282,4.21777
283,4.07993
