Slice,Mean
1,55.648
2,50.048
3,55.382
4,53.279
5,59.042
6,58.358
7,60.861
8,55.545
9,50.042
10,53.879
11,47.230
12,52.291
13,52.382
14,47.945
15,51.370
16,47.042
17,49.709
18,43.745
19,53.067
20,44.897
21,48.945
22,49.533
23,48.315
24,51.267
25,51.721
26,54.303
27,45.624
28,46.745
29,52.830
30,53.158
31,57.291
32,57.436
33,51.952
34,49.406
35,54.248
36,54.752
37,54.909
38,49.182
39,47.848
40,48.079
41,44.685
42,47.091
43,45.218
44,48.976
45,51.558
46,49.303
47,44.636
48,52.261
49,46.382
50,48.758
51,79.091
52,66.673
53,65.048
54,48.970
55,48.242
56,50.988
57,45.861
58,41.430
59,51.376
60,52.018
61,52.182
62,52.824
63,53.497
64,51.315
65,54.836
66,51.315
67,48.715
68,50.891
69,51.018
70,52.091
71,50.903
72,58.545
73,43.842
74,51.321
75,54.570
76,50.733
77,58.406
78,51.715
79,48.467
80,51.412
81,45.745
82,45.121
83,47.558
84,46.764
85,53.836
86,50.424
87,43.921
88,51.739
89,57.273
90,46.952
91,49.455
92,50.873
93,49.527
94,47.545
95,47.770
96,46.691
97,46.436
98,56.345
99,47.733
100,53.242
101,47.327
102,51.176
103,46.206
104,51.921
105,47.539
106,49.139
107,53.539
108,56.691
109,50.673
110,46.485
111,45.855
112,49.473
113,42.733
114,44.909
115,47.539
116,44.800
117,47.133
118,48.570
119,42.739
120,55.412
121,41.606
122,86.533
123,60.630
124,67.279
125,50.733
126,50.642
127,56.933
128,51.097
129,47.182
130,45.594
131,43.527
132,48.242
133,48.248
134,48.242
135,44.648
136,40.491
137,43.509
138,47.097
139,48.170
140,46.000
141,47.624
142,45.103
143,43.230
144,45.812
145,43.491
146,42.412
147,50.794
148,44.545
149,41.073
150,40.418
151,37.818
152,50.794
153,43.939
154,48.315
155,47.315
156,38.612
157,47.618
158,48.267
159,46.788
160,44.661
161,39.600
162,51.515
163,43.988
164,41.891
165,45.970
166,52.339
167,46.727
168,45.497
169,50.188
170,48.079
171,50.055
172,48.497
173,48.485
174,47.691
175,47.230
176,57.218
177,46.745
178,48.976
179,47.152
180,50.333
181,52.158
182,53.079
183,40.727
184,55.139
185,48.709
186,48.012
187,53.782
188,51.515
189,48.691
190,52.509
191,43.127
192,52.648
193,59.661
194,49.727
195,56.673
196,44.188
197,57.994
198,47.739
199,57.721
200,54.212
201,61.121
202,46.618
203,46.630
204,57.721
205,48.982
206,54.582
207,57.800
208,48.691
209,47.842
210,55.545
211,47.612
212,53.309
213,51.327
214,58.497
215,49.848
216,44.642
217,48.479
218,54.230
219,48.521
220,50.806
221,51.855
222,55.709
223,59.897
224,98.200
225,73.400
226,69.818
227,59.048
228,61.067
229,54.339
230,62.921
231,55.509
232,60.758
233,67.491
234,54.376
235,56.158
236,53.461
237,58.212
238,57.182
239,46.848
240,61.152
241,56.582
242,51.752
243,51.139
244,52.333
245,56.976
246,56.491
247,45.206
248,59.655
249,52.127
250,56.648
251,51.267
252,50.109
253,122.891
254,156.055
255,133.115
256,97.436
257,77.594
258,64.091
259,53.115
260,58.248
261,57.709
262,55.830
263,58.000
264,50.770
265,47.273
266,47.509
267,42.436
268,50.848
269,48.491
270,57.909
271,49.739
272,51.679
273,47.976
274,51.042
275,42.418
276,44.182
277,53.927
278,46.358
279,50.382
280,53.279
281,49.933
282,53.552
283,47.879
284,49.552
285,52.594
286,52.515
287,62.067
288,57.018
289,58.315
290,46.588
291,52.230
292,49.994
293,49.933
294,46.703
295,48.370
296,43.042
297,46.418
298,47.558
299,45.685
300,46.921
301,52.321
302,57.709
303,49.945
304,55.812
305,50.739
306,49.170
307,51.248
308,50.036
309,55.091
310,50.176
311,48.818
312,61.145
313,46.188
314,57.964
315,46.030
316,51.576
317,48.012
318,53.394
319,57.491
320,59.158
321,52.127
322,45.909
323,51.345
