Slice,Mean
1,138.9151
2,143.5576
3,139.5515
4,135.6364
5,137.7151
6,134.3697
7,136.2000
8,137.3879
9,135.5455
10,133.8606
11,139.5576
12,141.2303
13,137.9515
14,138.7879
15,139.2970
16,138.7636
17,134.6848
18,134.0909
19,135.3091
20,140.6242
21,137.3515
22,140.5939
23,134.8364
24,141.0424
25,134.7394
26,134.5939
27,138.9515
28,136.0727
29,137.1879
30,136.4424
31,135.3333
32,136.0303
33,135.5879
34,134.9818
35,133.6667
36,134.3697
37,138.1091
38,139.4424
39,134.3636
40,132.4364
41,136.3636
42,133.1636
43,140.0667
44,135.9151
45,141.7818
46,136.9394
47,137.6424
48,134.9515
49,137.1636
50,142.6667
51,137.8667
52,137.7091
53,136.2727
54,145.4606
55,144.8303
56,137.0061
57,135.5879
58,140.2849
59,140.8788
60,136.2606
61,138.1576
62,141.3758
63,137.9879
64,136.4545
65,133.9151
66,135.7151
67,139.8788
68,137.6000
69,137.8970
70,138.8242
71,131.9333
72,135.8121
73,136.4909
74,138.0121
75,137.2303
76,137.8485
77,132.3879
78,133.1636
79,137.0000
80,131.3818
81,134.0970
82,141.5212
83,139.6424
84,136.7333
85,133.8303
86,137.9273
87,136.1879
88,136.6485
89,139.6182
90,135.9030
91,137.3333
92,133.9818
93,138.3030
94,131.3818
95,140.1152
96,138.6606
97,134.1818
98,142.2303
99,131.7333
100,137.9818
101,139.0546
102,137.6848
103,133.7030
104,134.7030
105,138.1758
106,135.2667
107,140.7273
108,139.7333
109,134.7394
110,135.0121
111,134.2182
112,133.1152
113,137.7212
114,134.3879
115,142.1273
116,137.5455
117,134.3455
118,138.8606
119,132.5333
120,132.6424
121,136.2727
122,133.7697
123,139.0364
124,132.0182
125,135.4545
126,131.4061
127,140.0727
128,134.7333
129,140.1758
130,134.4364
131,138.1818
132,139.4485
133,136.3394
134,137.3576
135,134.5515
136,134.1939
137,136.5212
138,136.5273
139,134.9939
140,133.6242
141,138.9515
142,132.8000
143,135.0727
144,135.5576
145,136.2182
146,138.0424
147,139.6424
148,135.4909
149,135.8485
150,131.7636
151,138.1818
152,139.4909
153,139.0242
154,135.2364
155,136.2727
156,132.6303
157,138.3636
158,138.5212
159,141.6364
160,134.4000
161,139.8727
162,136.0364
163,132.9758
164,144.9576
165,136.5091
166,131.3273
167,135.1152
168,134.3515
169,139.1273
170,142.7212
171,137.5152
172,131.4909
173,138.6848
174,127.9636
175,139.8303
176,141.2970
177,133.3818
178,134.9758
179,137.2788
180,137.3879
181,132.7333
182,135.8424
183,139.0546
184,140.4545
185,139.2788
186,134.4000
187,138.2242
188,135.1758
189,137.2667
190,134.7758
191,138.3515
192,138.9091
193,140.0000
194,136.6303
195,135.6667
196,135.0000
197,133.6727
198,132.8970
199,133.3636
200,132.4121
201,131.2667
202,134.4485
203,135.4182
204,137.1333
205,136.8121
206,130.4788
207,132.6485
208,133.5212
209,136.6061
210,137.7939
211,137.0121
212,136.4242
213,135.3455
214,129.3212
215,134.8788
216,131.7333
217,132.9151
218,137.6909
219,134.3333
220,134.5758
221,138.4667
222,135.5152
223,131.1212
224,132.5818
225,133.9697
226,138.0000
227,137.4364
228,136.6182
229,134.6485
230,134.8242
231,131.8000
232,133.2970
233,136.0727
234,135.4242
235,134.7091
236,133.0606
237,132.6182
238,132.6727
239,133.9273
240,133.9818
241,136.3394
242,134.3818
243,133.7455
244,132.2909
245,134.2242
246,137.2061
247,130.2909
248,140.8545
249,136.2727
250,133.4545
251,131.8364
252,131.7212
253,139.8788
254,130.6121
255,134.0546
256,135.2970
257,130.8061
258,134.0485
259,136.7394
260,129.7212
261,128.0606
262,134.8727
263,137.4606
264,129.8788
265,133.4121
266,132.8970
267,132.0121
268,129.0242
269,130.6061
270,129.9879
271,136.1939
272,134.0606
273,130.8970
274,130.1091
275,135.9758
276,132.4061
277,131.7455
278,136.0364
279,129.6606
280,128.1333
281,132.2545
282,131.9394
283,134.8000
284,131.6424
285,137.1333
286,134.1333
287,129.2667
288,132.2000
289,136.8364
290,134.4970
291,131.3939
292,129.2485
293,134.9394
294,128.4545
295,129.7273
296,130.5758
297,132.1697
298,131.7030
299,127.3030
300,134.5030
301,130.5636
302,135.6667
303,131.0000
304,136.3879
305,134.3030
306,132.7394
307,129.6485
308,132.0606
309,128.7515
310,134.1273
311,133.3273
312,135.3394
313,133.3333
314,133.8242
315,130.2485
316,134.8000
317,133.8121
318,134.4727
319,135.3576
320,128.7697
321,131.7091
322,131.2970
323,129.9091
