Slice,Mean
1,93.3531
2,93.4541
3,93.1832
4,93.1865
5,93.2387
6,93.0263
7,93.1192
8,93.1214
9,93.3712
10,93.1019
11,93.2295
12,93.2422
13,92.9533
14,92.8075
15,93.1166
16,93.1390
17,93.2985
18,93.1963
19,93.1217
20,93.2070
21,92.9347
22,93.0598
23,93.1485
24,93.1308
25,93.0441
26,93.0045
27,93.2182
28,92.9814
29,92.9613
30,93.0789
31,93.0244
32,93.0792
33,93.0908
34,93.2155
35,92.9493
36,93.2578
37,93.4058
38,93.1036
39,93.1431
40,93.1433
41,93.2040
42,92.9151
43,93.2044
44,93.1060
45,93.1232
46,93.2971
47,93.2576
48,93.1872
49,93.1318
50,93.2055
51,93.1370
52,93.3031
53,93.3057
54,93.4795
55,93.3091
56,93.3055
57,93.2022
58,92.9116
59,92.8225
60,92.7658
61,92.8818
62,93.0014
63,92.8180
64,93.1251
65,92.9941
66,92.9121
67,92.9302
68,92.9303
69,92.5557
70,92.5370
71,92.8446
72,92.6035
73,92.7241
74,92.9271
75,92.8770
76,92.6846
77,92.6602
78,92.9184
79,92.6243
80,93.0028
81,94.7363
82,99.8828
83,102.2901
84,99.4184
85,96.0591
86,94.7949
87,94.2385
88,93.7692
89,93.4656
90,93.2348
91,93.2642
92,93.0972
93,92.9262
94,93.0663
95,93.0811
96,93.1367
97,93.2373
98,93.1741
99,93.2032
100,93.0245
101,93.1451
102,93.2095
103,93.2182
104,93.2773
105,93.1201
106,93.0061
107,93.3003
108,93.1245
109,93.0310
110,93.2988
111,93.2023
112,93.2400
113,93.1094
114,92.9455
115,92.8936
116,93.0574
117,93.0445
118,92.7534
119,92.6994
120,92.8913
121,92.7801
122,92.8873
123,92.8788
124,92.8950
125,93.2553
126,92.9526
127,92.8183
128,92.8767
129,92.9798
130,92.8045
131,92.7768
132,92.8753
133,92.8009
134,92.8900
135,93.0065
136,92.8899
137,92.8895
138,92.7673
139,92.9202
140,92.8528
141,92.9926
142,93.1709
143,93.2746
144,93.0926
145,92.8624
146,92.7987
147,92.8204
148,92.8618
149,92.6974
150,92.9340
151,92.9755
152,92.8747
153,92.8492
154,92.9696
155,93.0082
156,92.8357
157,92.7665
158,93.0064
159,92.6611
160,92.7447
161,92.6683
162,92.6629
163,92.6886
164,92.8143
165,92.8564
166,92.8907
167,92.9406
168,92.8200
169,92.6705
170,92.9338
171,92.9675
172,92.8656
173,92.7596
174,92.8305
175,92.8262
176,92.9286
177,95.3098
178,100.8651
179,102.8519
180,98.3099
181,95.6421
182,94.6441
183,93.9595
184,93.4772
185,93.1450
186,93.1765
187,93.0496
188,93.0668
189,92.8296
190,92.6772
191,92.7376
192,92.9041
193,92.8434
194,92.9093
195,92.9259
196,92.9188
197,92.7675
198,92.6494
199,92.7577
200,92.9010
201,93.1307
202,92.9186
