Slice,Mean
1,253.7080
2,249.2857
3,247.0382
4,244.6716
5,242.8450
6,242.0317
7,241.4859
8,240.6660
9,239.5936
10,238.8593
11,238.6686
12,238.7144
13,237.5000
14,237.1114
15,237.1500
16,236.7593
17,236.0999
18,235.9391
19,235.6084
20,234.7398
21,234.7367
22,234.8599
23,233.7451
24,234.8060
25,233.5957
26,234.5110
27,233.9626
28,233.2012
29,233.3383
30,233.7545
31,233.3601
32,232.8855
33,232.9628
34,232.9483
35,232.3220
36,232.9023
37,232.3931
38,231.8161
39,231.8865
40,232.2888
41,232.0690
42,232.1581
43,232.1358
44,231.9923
45,231.5424
46,232.0106
47,232.2576
48,231.6345
49,231.9762
50,231.3562
51,231.0509
52,231.4088
53,231.5627
54,232.0523
55,230.9150
56,231.7222
57,230.9951
58,231.3020
59,230.9640
60,231.1693
61,231.3456
62,231.0961
63,231.8133
64,231.3036
65,232.1899
66,230.8290
67,231.1785
68,230.4487
69,229.9429
70,229.8911
71,230.7979
72,230.2874
73,231.1011
74,230.9964
75,230.4806
76,230.4527
77,230.8296
78,230.6513
79,230.6876
80,230.6754
81,230.5061
82,230.2727
83,230.4547
84,230.4765
85,230.4984
86,230.8706
87,230.8714
88,231.0483
89,231.7512
90,230.7939
91,231.1387
92,230.9523
93,230.3658
94,231.0051
95,230.7927
96,230.8225
97,229.9464
98,230.6845
99,230.5355
100,230.7918
101,229.8959
102,230.4059
103,231.3524
104,231.0858
105,230.6499
106,230.5325
107,230.3593
108,230.7482
109,230.2380
110,230.3184
111,230.4082
112,230.2940
113,230.3211
114,230.2709
115,229.8536
116,230.2894
117,229.7024
118,229.7899
119,230.3568
120,230.1638
121,230.1733
122,230.0890
123,230.4253
124,230.1737
125,230.3532
126,230.5705
127,230.0200
128,229.5597
129,230.7939
130,230.6471
131,230.2469
132,229.8449
133,229.7802
134,230.0139
135,229.0087
136,229.9398
137,229.5809
138,229.1728
139,229.5624
140,229.8077
141,229.1280
142,229.8205
143,230.1999
144,230.3741
145,229.4186
146,229.6100
147,229.8163
148,229.4435
149,228.6489
150,229.2029
151,228.6831
152,228.3802
153,229.3795
154,229.2197
155,228.7366
156,228.7918
157,229.3763
158,229.4531
159,228.7509
160,228.6583
161,228.8581
162,228.4901
163,228.9236
164,229.3311
165,229.0984
166,228.3129
167,228.9825
168,229.2019
169,228.6078
170,228.4201
171,229.2391
172,229.1033
173,228.7312
174,228.7156
175,229.0667
