Slice,Mean
1,89.90852
2,90.00124
3,90.04967
4,90.16068
5,90.11766
6,89.87016
7,90.05557
8,89.95454
9,89.98077
10,90.14811
11,90.07610
12,90.28716
13,90.25053
14,90.19495
15,90.40108
16,90.06540
17,90.03107
18,90.35481
19,90.42516
20,90.49889
21,90.28280
22,90.35932
23,90.17050
24,90.27042
25,90.30855
26,90.33559
27,90.18973
28,90.40986
29,90.20454
30,90.40569
31,90.34949
32,90.26180
33,90.19999
34,90.42995
35,90.14240
36,90.45915
37,90.29708
38,90.27829
39,90.27560
40,89.99271
41,91.42275
42,93.77369
43,93.52997
44,92.67602
45,91.34105
46,90.85989
47,90.35534
48,90.36915
49,90.50619
50,90.48428
51,90.27934
52,90.35937
53,89.97910
54,90.07432
55,90.17146
56,90.19793
57,90.25249
58,90.10141
59,90.18388
60,90.26414
61,90.31770
62,90.15300
63,90.29449
64,90.39298
65,90.44170
66,89.99353
67,90.18647
68,90.08223
69,89.84335
70,90.42597
71,90.08540
72,90.23254
73,90.34551
74,90.21308
75,90.23164
76,90.19405
77,90.16844
78,90.46217
79,90.39380
80,90.30102
81,90.17275
82,89.99775
83,89.98965
84,90.27527
85,90.20311
86,90.14006
87,90.26998
88,90.31713
89,90.38361
90,90.70736
91,91.04556
92,91.05880
93,90.61566
94,90.76007
95,90.36071
96,90.40018
97,90.32960
98,90.34617
99,90.41579
100,90.28689
101,90.46889
102,90.46739
103,90.40245
104,90.47270
105,90.28718
106,90.38999
107,90.39101
108,90.28964
109,90.28457
110,90.35124
111,90.11054
112,90.24316
113,90.16726
114,90.19756
115,90.04459
116,90.37965
117,90.10721
118,90.37173
119,90.22191
120,90.49816
121,90.42072
122,90.48328
123,90.71011
124,90.42540
125,90.34032
126,90.26920
127,90.12103
128,89.98884
129,90.35211
130,90.22272
131,90.07977
132,90.23074
133,90.16968
134,90.25369
135,90.18731
136,89.80520
137,90.08329
138,90.21355
139,90.25891
140,90.31090
141,90.17770
142,90.01928
143,90.34646
144,90.19176
145,90.01261
146,90.32568
147,90.35844
148,90.06918
149,90.18673
150,90.13509
151,90.26022
152,90.46995
153,90.22471
154,90.33573
155,90.28302
156,90.32568
157,90.09658
158,90.19519
159,91.60624
160,93.71388
161,93.75350
162,92.51169
163,91.59783
164,90.79588
165,90.45400
166,90.35636
167,90.12421
168,90.20837
169,90.32090
170,90.56522
171,90.36226
172,90.27554
173,90.24621
174,90.54121
175,90.23205
176,90.15292
177,90.28157
178,90.30766
179,90.25640
180,90.59074
181,89.92825
182,90.32858
183,90.14851
184,90.33911
185,90.54542
186,90.46667
187,90.31834
188,90.35617
189,90.42154
190,90.26679
191,90.32457
192,90.22896
193,90.63078
194,90.43492
195,90.39661
196,90.17581
197,90.02411
198,90.13098
199,90.15470
200,90.18857
201,90.29235
202,90.44927
203,90.44927
204,90.07320
205,90.15895
206,90.04136
207,90.17480
208,90.43502
209,90.43250
210,90.18480
211,90.06001
212,90.29090
213,90.08266
214,90.41714
215,90.37357
216,90.18639
217,90.19944
218,90.25012
219,90.23447
220,90.44961
221,90.43497
222,90.32926
223,90.25041
224,90.23524
225,90.10170
226,90.26911
227,90.24814
228,90.44343
229,90.76723
230,90.44193
231,90.27206
232,90.28510
233,90.34737
234,90.22871
235,90.44362
236,90.44173
237,90.36728
238,90.24959
239,90.43511
240,90.28896
241,90.35526
242,90.16325
243,90.41671
244,90.19896
245,90.23138
246,90.29114
247,90.38801
248,90.19157
249,90.45004
250,90.24422
251,90.46048
252,90.42525
253,90.34737
254,90.65489
255,90.54687
256,90.58958
257,90.52020
258,90.24254
259,90.23244
260,90.33235
261,91.68929
262,92.35288
263,91.96642
264,91.57697
265,90.94768
266,90.58001
267,90.68499
268,90.57861
269,90.62431
270,90.60262
271,90.73930
272,90.72485
273,90.52705
274,90.18374
275,90.29747
276,90.41173
277,90.34786
278,90.31940
279,90.42835
280,90.56967
281,90.36554
282,90.53449
283,90.19852
284,90.39424
285,90.07465
286,90.42937
287,90.48324
288,90.51676
289,90.37525
290,90.37796
291,90.27365
292,90.66002
293,90.58068
294,90.35559
295,90.39603
296,90.24486
297,90.46551
298,90.51203
299,90.79433
300,90.56802
301,90.26790
302,90.47797
303,90.52870
304,90.54585
305,90.51299
306,90.30776
307,90.24364
308,90.26940
309,90.20219
310,90.20563
311,90.30733
312,90.42149
313,90.27326
314,90.42323
315,90.48560
316,90.33974
317,90.46280
318,90.30032
319,90.35540
320,90.50744
321,90.35269
322,90.57518
323,90.22529
324,90.48720
325,90.76418
326,90.61566
327,90.42019
328,90.04464
329,90.37380
330,90.23268
331,90.42183
332,90.44526
333,90.70881
334,90.66581
335,90.36187
336,90.47840
337,90.36651
338,90.41545
339,90.45628
340,90.46348
341,90.54455
342,90.57262
343,90.50976
344,90.51976
345,90.65451
346,90.55116
347,90.74867
348,90.41666
349,90.41908
350,90.57677
351,90.87245
352,90.81336
353,90.60441
354,91.08546
355,93.79602
356,93.54305
357,92.32863
358,91.50232
359,91.03918
360,90.53831
361,90.52266
362,90.54184
363,90.34631
364,90.46941
365,90.30201
366,90.18615
367,90.55914
368,90.43613
369,90.26582
370,90.24689
371,90.52995
372,90.37545
373,90.33196
374,90.44569
375,90.47217
376,90.82100
377,90.36554
378,90.48024
379,90.42299
380,90.70311
381,90.66166
382,90.40613
383,90.63977
384,90.59455
385,90.65151
386,90.50478
387,90.81168
388,90.36684
389,90.47782
