Slice,Mean
1,235.83231
2,233.68593
3,232.55199
4,231.66046
5,232.15326
6,231.08963
7,231.14500
8,230.37764
9,229.76630
10,230.46883
11,229.91098
12,229.61479
13,229.67281
14,229.41057
15,228.98174
16,228.84428
17,229.06703
18,229.37192
19,229.54175
20,229.48898
21,229.23247
22,229.28128
23,229.51781
24,229.12991
25,228.77777
26,228.84631
27,228.84511
28,228.96872
29,228.62137
30,229.19385
31,229.00090
32,228.55473
33,228.58888
34,228.06360
35,227.97430
36,229.05519
37,227.91188
38,228.15526
39,228.07903
40,227.31369
41,227.83234
42,228.39375
43,228.69968
44,228.41797
45,228.88493
46,228.42462
47,228.37129
48,227.76888
49,228.45839
50,228.22585
51,227.88756
52,227.94991
53,227.40244
54,228.34157
55,227.94347
56,228.76093
57,228.60876
58,228.59573
59,228.88263
60,227.97803
61,228.79155
62,228.36674
63,228.31198
64,228.50740
65,228.96896
66,228.26967
67,228.51430
68,228.34839
69,227.84209
70,227.99236
71,228.13214
72,228.20766
73,228.31439
74,228.06459
75,228.40202
76,228.21809
77,228.32985
78,228.54030
79,228.35204
80,228.37206
81,228.41560
82,227.93658
83,228.12691
84,228.40396
85,228.44568
86,228.22672
87,228.39224
88,228.59669
89,228.27191
90,228.37950
91,228.40048
92,229.23288
93,228.73787
94,228.79675
95,228.59319
96,228.27928
97,228.54698
98,228.57776
99,228.75082
100,229.48112
101,228.70505
102,228.74425
103,228.82269
104,229.27931
105,228.67549
106,229.13879
107,229.30270
108,228.95604
109,228.79144
110,229.14500
111,228.86224
112,228.84956
113,229.38074
114,229.16914
115,229.53993
116,228.40271
117,228.84546
118,228.92818
119,228.91547
120,228.82724
121,228.82234
122,228.89835
123,228.93138
124,229.22633
125,228.44136
126,229.12712
127,229.35231
128,229.47664
129,229.37625
130,229.11238
131,229.33571
132,228.86674
133,228.61589
134,228.73119
135,229.27197
136,228.67566
137,228.71138
138,228.90517
139,229.32864
140,229.66599
141,229.45329
142,229.13298
143,228.74039
144,228.89334
145,228.60252
146,228.74731
147,229.24844
148,229.54892
149,229.43007
150,229.82762
151,229.53197
152,229.83475
153,229.34219
154,229.71159
155,229.90117
156,229.87843
157,229.67818
158,229.88263
159,229.76602
160,230.14803
161,230.62115
162,230.29416
163,230.57706
164,230.53448
165,231.00148
166,231.00824
167,230.53682
168,230.29561
169,230.67786
170,231.48581
171,231.33858
172,230.87912
173,231.00485
174,231.12526
175,231.25620
176,230.78703
177,231.48987
178,231.42053
179,230.59132
180,230.72971
181,230.89110
182,230.33798
183,230.82259
184,230.79465
185,231.07521
186,230.67180
187,231.41129
188,232.05495
189,231.36299
190,230.83954
191,231.11034
192,230.98726
193,231.82259
194,231.49129
195,231.82568
196,230.70032
197,230.89438
198,231.38622
199,230.81494
200,231.19423
