Slice,Mean
1,89.56240
2,89.50970
3,89.42107
4,89.53082
5,89.62227
6,89.45993
7,89.49667
8,89.67137
9,89.52512
10,89.46646
11,89.34325
12,89.58247
13,89.59530
14,89.68198
15,89.63938
16,89.73235
17,89.81563
18,89.54782
19,89.52034
20,89.49532
21,89.46568
22,89.51324
23,89.56695
24,89.81102
25,89.86550
26,89.52341
27,89.73232
28,89.66615
29,89.65830
30,89.67504
31,89.66821
32,89.74148
33,89.30145
34,89.48447
35,89.37884
36,89.39611
37,89.49394
38,89.57162
39,89.35833
40,89.48400
41,89.81240
42,89.73969
43,89.81078
44,89.54142
45,89.59277
46,89.29132
47,89.52549
48,89.50246
49,89.75862
50,89.33890
51,89.46451
52,89.55943
53,89.48363
54,89.48623
55,89.60651
56,89.46094
57,89.81674
58,89.96899
59,89.88298
60,89.72734
61,89.58637
62,89.65308
63,89.66547
64,89.61641
65,89.54863
66,89.56438
67,89.65501
68,89.66359
69,89.67507
70,89.40019
71,89.50027
72,89.68262
73,89.65167
74,89.58910
75,89.77606
76,89.53701
77,89.50996
78,89.51987
79,89.30438
80,89.45350
81,89.64629
82,89.63103
83,89.83149
84,89.71498
85,89.68787
86,89.48882
87,89.28482
88,89.31422
89,89.32162
90,89.45191
91,89.50057
92,89.73724
93,89.57648
94,89.82758
95,89.48444
96,89.18390
97,89.28873
98,89.32961
99,89.60261
100,89.58860
101,89.43397
102,89.36156
103,89.41403
104,89.85594
105,89.57217
106,89.53085
107,89.40699
108,89.43178
109,89.57998
110,89.67191
111,89.47242
112,89.30657
113,89.40901
114,89.65396
115,90.30654
116,90.92164
117,90.42397
118,89.90961
119,89.81462
120,89.62012
121,89.47198
122,89.30338
123,89.45787
124,89.59601
125,89.64834
126,89.39726
127,89.36911
128,89.39648
129,89.50724
130,89.40191
131,89.63261
132,89.54765
133,89.66454
134,89.25687
135,89.41029
136,89.60863
137,89.31974
138,89.65484
139,89.71437
140,89.69174
141,89.42918
142,89.46080
143,89.25262
144,89.31977
145,89.42403
146,89.44067
147,89.27203
148,89.37302
149,89.69124
150,90.54668
151,90.34113
152,90.16777
153,89.88824
154,89.59425
155,89.78880
156,89.72366
157,89.51155
158,89.76427
159,89.65703
160,89.60964
161,89.59075
162,89.67423
163,89.72175
164,89.56226
165,89.64227
166,89.70703
167,89.65453
168,89.49084
169,89.69700
170,89.73573
171,89.56078
172,89.56207
173,89.54556
174,89.60621
175,89.93851
176,89.61887
177,89.36719
178,89.57018
179,89.64999
180,89.53017
181,89.49754
182,89.31267
183,89.21198
184,89.50064
185,89.54425
186,89.60008
187,89.53654
188,89.42908
189,89.54842
190,89.39817
191,89.58520
192,89.60200
193,89.61278
194,89.85025
195,89.64053
196,89.32472
197,89.22596
198,89.17052
199,89.61843
200,89.18710
201,89.33045
202,89.33096
203,89.42635
204,89.31028
205,89.69003
206,89.41457
207,90.01946
208,91.09964
209,90.41363
210,90.18996
211,89.89618
212,89.62510
213,89.55917
214,89.55678
215,89.59763
216,89.53327
217,89.61136
218,89.40520
219,89.29809
220,89.43867
221,89.36055
222,89.64436
223,89.58839
224,89.38931
225,89.30644
226,89.44932
227,89.47239
228,89.44403
229,89.58220
230,89.37941
231,89.42474
232,89.37955
233,89.53785
234,89.56210
235,89.40379
236,89.49067
237,89.39002
238,89.48566
239,89.56698
240,89.53623
241,89.76772
242,89.65508
243,89.57324
244,89.41299
245,89.29351
246,89.29697
247,89.23475
248,89.42609
249,89.29489
250,89.53580
251,89.35325
252,89.45413
253,89.66144
254,89.66289
255,89.60325
256,89.43821
257,89.70023
258,89.56213
259,89.74384
260,89.49471
261,89.69431
