Slice,Mean
1,170.0670
2,169.0681
3,168.4189
4,169.0254
5,168.2019
6,167.5862
7,167.6481
8,166.9646
9,166.7728
10,166.9047
11,166.6639
12,165.9077
13,166.7909
14,166.3934
15,166.4256
16,165.5774
17,165.7498
18,165.8917
19,165.5913
20,165.3825
21,165.4295
22,165.6126
23,165.6247
24,165.5172
25,165.1095
26,164.7014
27,164.7339
28,164.9289
29,164.8650
30,164.7416
31,164.7438
32,164.8508
33,164.3832
34,164.4223
35,164.3667
36,164.3806
37,164.6026
38,164.7377
39,164.0828
40,164.2814
41,164.4620
42,164.1845
43,164.2817
44,163.5705
45,164.4188
46,164.3795
47,163.9652
48,163.7767
49,164.1127
50,163.9188
51,163.6712
52,163.7897
53,163.5562
54,163.6651
55,163.7211
56,163.4899
57,163.9297
58,163.5069
59,163.1809
60,163.3642
61,163.4620
62,163.8459
63,163.7601
64,163.8329
65,163.7710
66,163.7291
67,163.4892
68,163.3839
69,163.0150
70,163.3880
71,163.4909
72,163.6155
73,163.5031
74,163.2627
75,163.5325
76,163.0160
77,162.6344
78,162.7942
79,163.1779
80,163.3540
81,163.3911
82,162.7639
83,163.0565
84,163.1367
85,163.3280
86,163.1746
87,163.2241
88,162.9500
89,163.3936
90,163.3640
91,163.4419
92,163.4203
93,162.8437
94,163.5176
95,163.0922
96,163.3091
97,162.9935
98,163.3045
99,163.4153
100,163.0419
101,163.1671
102,163.7728
103,163.6347
104,163.6829
105,163.7502
106,162.6872
107,163.4555
108,163.6630
109,163.0329
110,163.1030
111,162.8634
112,163.4976
113,163.2511
114,163.5744
115,163.5850
116,163.4536
117,163.5918
118,163.2891
119,163.5918
120,163.8706
121,164.1241
122,163.0770
123,163.7005
124,163.5648
125,163.7228
126,163.5710
127,163.2146
128,163.5097
129,163.1859
130,163.2408
131,163.3674
132,163.4601
133,163.0466
134,162.8235
135,163.2534
136,163.2657
137,163.3210
138,163.6907
139,162.6994
140,162.6657
141,163.3508
142,163.1801
143,163.4063
144,162.6998
145,162.7823
146,162.8158
147,163.4170
148,163.0256
149,162.8258
150,162.9488
151,162.7949
152,162.8403
153,162.6593
154,163.0316
155,163.0677
156,163.1269
157,163.0974
158,163.0185
159,163.0788
160,162.6691
161,163.1846
162,163.0956
163,162.2027
164,162.1790
165,162.5336
166,162.4307
167,162.5302
168,162.2702
169,162.2088
170,162.2157
171,162.3439
172,162.3934
173,162.2720
174,162.1256
175,162.5502
176,162.8055
177,162.6133
178,162.7284
179,163.0253
180,161.8938
181,162.7657
182,162.5642
183,162.3148
184,162.8742
185,162.2390
186,161.9689
187,161.7677
188,161.7129
189,162.0023
190,161.9967
191,162.2294
192,162.0448
193,162.7046
194,162.1889
195,162.1983
196,162.4860
197,162.4694
198,162.5083
199,162.1433
200,161.7699
201,162.0334
202,162.2250
203,163.0313
204,162.2267
205,161.9217
206,161.3463
207,161.4794
208,162.2871
209,161.5254
210,162.3203
211,162.3756
212,162.4135
213,161.9064
214,162.5232
215,162.2223
216,161.8634
217,162.7783
218,162.2205
219,161.8660
220,162.1001
221,162.3916
222,161.7405
223,162.0980
224,162.1281
225,161.9584
226,161.8737
227,161.8880
228,161.8817
229,161.5580
230,162.2458
231,161.8790
232,161.9111
233,161.5870
234,162.2939
235,162.0998
236,162.1280
237,161.3932
238,161.6682
239,161.6528
240,161.8236
241,161.9283
242,162.0674
243,161.8293
244,162.1486
245,161.9986
246,161.4431
247,161.2586
248,161.8222
249,161.8826
250,161.4160
251,161.4074
252,161.8056
253,161.7241
254,161.4452
255,161.8105
256,161.6780
257,161.4641
258,161.2513
259,161.2148
260,160.9171
261,161.4863
262,160.9760
263,161.4353
264,160.8880
265,161.2528
266,161.4953
267,161.1480
268,161.1938
269,161.0376
270,160.8354
271,160.9133
272,161.0514
273,160.8440
274,161.0434
275,160.9919
276,161.0064
277,161.3470
278,161.4414
279,160.4813
280,160.9845
281,160.8985
282,160.7870
283,161.1842
284,160.9802
285,161.1011
286,160.6479
287,161.3018
288,161.3363
289,161.5289
290,161.0931
291,160.8073
292,161.5214
293,161.2118
294,161.2657
295,160.9670
296,161.3118
297,160.4431
298,160.8884
299,161.2891
300,160.8617
301,161.1920
302,161.0701
303,160.7839
304,160.8521
305,161.1263
306,161.0892
307,161.0685
308,160.9903
309,161.1011
310,160.8732
311,161.2625
312,160.5879
313,160.6576
314,160.2415
315,160.5952
316,160.8004
317,160.1717
318,160.8813
319,160.5679
320,161.0746
321,160.6923
322,160.7283
323,160.2650
324,160.3967
325,160.2713
326,160.3229
327,160.1853
328,160.7037
329,160.5017
330,160.6269
331,160.3967
332,160.3221
333,159.7754
334,160.4490
335,160.0489
336,159.7238
337,159.8611
338,159.8678
339,160.2951
340,160.0121
341,160.0076
342,159.7813
343,159.6322
344,160.1921
345,159.9699
346,159.9130
347,159.7317
348,160.1610
349,160.2676
350,160.1163
351,160.1470
352,159.5258
353,159.3293
354,159.8496
355,159.6805
356,159.8254
357,159.4688
358,159.3213
359,158.5621
360,159.1171
361,159.4479
362,158.9689
363,159.5618
364,159.7130
365,159.6317
366,159.4921
367,159.4289
368,159.5782
369,159.3245
370,159.2638
371,159.5778
372,159.2681
373,159.3864
374,159.3003
375,159.5341
376,159.5838
377,159.9741
378,159.9350
379,159.6029
380,159.9705
381,160.2329
382,159.9627
383,159.3898
384,159.9537
385,159.6817
386,159.2355
387,160.1221
388,159.4449
389,159.6180
390,159.6901
391,159.6061
392,159.9036
393,159.4125
394,159.7618
395,159.0278
396,159.4342
397,159.3583
398,159.3514
399,159.4648
400,159.0396
401,159.4720
402,159.7818
403,159.2393
404,159.4849
405,159.3689
406,158.8910
407,159.4977
408,159.5548
409,159.7052
410,159.1502
411,159.3320
412,159.3801
413,159.7335
414,159.6467
415,159.0951
416,159.6334
417,159.5373
418,158.8284
419,158.4553
420,159.5755
421,159.5536
422,158.8968
423,159.2807
424,159.3504
425,159.1007
426,159.4215
427,159.5137
428,159.6274
429,159.2155
430,159.3720
431,159.1813
432,159.0200
433,158.7731
434,159.0558
435,159.5403
436,159.1346
437,159.0520
438,158.9698
439,158.9630
440,159.4327
441,159.2535
442,159.2325
443,159.0859
444,159.3497
445,159.2787
446,159.0706
447,159.3225
448,159.3025
449,159.4553
450,158.8707
451,159.2627
452,159.4185
453,159.1993
454,158.9651
455,158.8223
456,159.0454
457,158.9673
458,159.4595
459,159.3970
460,159.5535
461,159.2813
462,159.4305
463,158.9291
464,158.5748
465,158.2727
466,158.5773
467,159.1359
468,158.7669
469,159.4493
470,158.5250
471,158.5356
472,158.5804
473,158.6698
474,158.7057
475,158.3569
476,159.1352
477,158.3242
478,158.2386
479,158.1330
480,158.5759
481,158.4343
482,158.3540
483,158.4984
484,158.7117
485,158.5953
486,158.7398
487,158.6766
488,158.8188
489,159.0775
490,158.7328
491,158.3633
492,158.5032
493,158.4719
494,158.4041
495,158.1106
496,158.1567
497,158.3690
498,158.2166
499,157.9020
500,157.8351
501,158.3732
502,158.2470
503,157.8596
504,157.8837
505,158.2353
506,158.0054
507,158.2595
508,157.9593
509,158.1171
510,158.1376
511,157.9641
512,157.8437
513,157.9220
514,157.9490
515,158.3130
516,158.3756
517,158.1391
518,158.2553
519,157.9512
520,158.1460
521,158.0611
522,158.4736
523,158.5558
524,158.2921
525,158.1462
526,157.7414
527,158.1222
528,158.3796
529,158.0090
530,158.2239
531,158.4286
532,158.3668
533,158.6477
534,158.0153
535,157.8856
536,157.9044
537,158.0784
538,158.0920
539,158.0446
540,158.3198
541,157.9389
542,158.7730
543,158.5858
544,158.4779
545,158.4323
546,158.0541
547,158.0803
548,158.0592
549,158.1686
550,158.5115
551,158.0151
552,158.5687
553,158.4475
554,157.9820
555,157.8307
556,158.2685
557,158.5120
558,158.4258
559,158.4200
560,158.2157
561,158.3955
562,158.9583
563,158.7013
564,158.4958
565,158.4594
566,158.3183
567,158.5649
568,158.1705
569,158.4316
570,158.3738
571,158.6403
572,158.5390
573,157.9911
574,158.5967
575,158.1828
576,157.9765
577,157.8143
578,157.7446
579,158.0335
580,157.8699
581,158.2494
582,158.1297
583,157.9216
584,157.8448
585,158.2829
586,157.8287
587,158.2641
588,158.2958
589,157.6916
590,158.3355
591,158.2101
592,157.3866
593,157.7276
594,157.9274
595,157.2569
596,157.1798
597,157.6756
598,157.5394
599,157.4739
600,157.5514
601,157.2848
602,157.8032
603,157.8968
604,157.3838
605,157.3450
606,157.4007
607,156.9946
608,157.2565
609,157.5214
610,157.1495
611,157.2897
612,157.4564
613,156.7770
614,157.1154
615,156.9755
616,157.1460
617,157.8402
618,157.1005
619,157.2171
620,157.9349
621,157.1961
622,157.1234
623,157.7610
624,157.2047
625,157.1583
626,157.1280
627,156.8738
628,156.7611
629,157.0213
630,156.6878
631,156.9991
632,156.8700
633,157.2860
634,157.9274
635,157.6333
636,156.9372
637,157.2254
638,156.5435
639,156.6874
640,156.7421
641,157.3291
642,157.3089
643,157.0481
644,156.9865
645,157.2849
646,157.2880
647,156.7529
648,157.4358
649,157.5139
650,157.2105
651,156.7776
652,157.2588
653,157.3249
654,157.0174
655,157.3889
656,157.1125
657,157.1595
658,157.5317
659,157.5239
660,157.3520
661,157.3400
662,157.6308
663,157.4700
664,157.1293
665,157.6247
666,157.0558
667,157.6230
668,157.7507
669,157.5097
670,157.4503
671,156.8162
672,157.2115
673,157.5583
674,157.5137
675,157.6023
676,157.5313
677,157.3150
678,157.4526
679,156.9583
680,157.2079
681,157.1003
682,157.2058
683,156.4132
684,156.8750
685,156.6424
686,156.7181
687,157.2963
688,157.2635
689,156.9369
690,156.9030
691,156.8314
692,157.1371
693,156.7737
694,156.7183
695,157.0809
696,156.7170
697,156.7417
698,157.0532
699,156.9555
700,156.8070
701,156.9978
702,156.6697
703,156.6478
704,156.5324
705,157.2079
706,157.0199
707,157.3104
708,156.4884
709,156.5896
710,156.7015
711,156.8403
712,156.8610
713,157.1556
714,157.1322
715,157.5024
716,157.3738
717,157.8447
718,157.1157
719,156.7347
720,156.4600
721,157.1087
722,156.8563
723,156.1634
724,156.7715
725,156.4182
726,156.8956
727,156.5964
728,156.4671
729,157.0330
730,156.8662
731,156.9263
732,157.2328
733,157.0113
734,156.6244
735,156.6110
736,156.8194
737,156.5713
738,156.3624
739,156.7440
740,156.6248
741,156.7364
742,156.9115
743,156.1891
744,157.1411
745,156.1738
746,156.9938
747,156.5580
748,156.4853
749,156.5444
750,156.9238
751,156.7947
752,156.5130
753,156.6334
754,156.4726
755,155.9403
756,155.8696
757,155.4463
758,155.9534
759,155.9115
760,156.0844
761,155.8133
762,156.3581
763,155.7337
764,155.7951
765,156.0309
766,156.1003
767,156.2621
768,156.2476
769,155.8158
770,155.5823
771,155.5657
772,155.9757
773,155.5120
774,155.8781
