Slice,Mean
1,87.61521
2,87.25715
3,87.16885
4,87.25051
5,87.29931
6,87.10097
7,87.21007
8,87.24382
9,87.34445
10,87.23756
11,87.31685
12,87.39352
13,87.37023
14,87.22711
15,87.27170
16,87.34727
17,87.20055
18,87.26119
19,87.18362
20,87.28100
21,87.38467
22,87.15342
23,87.11817
24,87.33040
25,87.62506
26,87.51541
27,87.38789
28,87.03485
29,86.95309
30,87.14180
31,87.19441
32,87.33610
33,87.42340
34,87.55087
35,87.40160
36,87.62341
37,87.42020
38,87.36609
39,86.96542
40,87.10661
41,87.27734
42,87.34479
43,87.26069
44,87.42467
45,87.33975
46,87.30695
47,87.47601
48,87.12282
49,86.98910
50,87.31679
51,87.16183
52,87.10811
53,87.15934
54,87.01079
55,87.48481
56,88.74949
57,89.47740
58,88.70966
59,87.86097
60,87.67983
61,87.28221
62,87.10971
63,87.16116
64,86.85898
65,86.89317
66,86.96310
67,86.92818
68,87.14799
69,87.29034
70,87.11524
71,87.31198
72,87.23773
73,87.27065
74,87.36620
75,87.25854
76,87.23370
77,87.47679
78,87.37754
79,87.53831
80,87.17770
81,87.07010
82,87.33051
83,87.45610
84,87.45538
85,87.50291
86,87.11541
87,87.21461
88,87.34606
89,87.37040
90,87.28869
91,87.17782
92,86.80531
93,87.11729
94,87.20542
95,87.24542
96,87.22739
97,87.31973
98,87.28172
99,87.01781
100,87.07745
101,87.08332
102,87.04293
103,87.03043
104,87.01848
105,87.13560
106,87.19331
107,87.01875
108,87.24348
109,87.18761
110,86.90683
111,86.88493
112,86.97300
113,87.13898
114,88.32011
115,88.36072
116,88.97698
117,88.66783
118,88.03425
119,87.65295
120,87.25510
121,87.09167
122,87.25970
123,87.24802
124,87.20072
125,87.09239
126,87.11391
127,87.24825
128,87.27309
129,87.17400
130,87.18484
131,87.08482
132,86.95812
133,87.00216
134,87.17516
135,87.14495
136,87.27707
137,87.12531
138,87.10274
139,87.06998
140,87.03447
141,87.31264
142,87.16697
143,87.32442
144,87.15087
145,86.92360
146,87.08990
147,87.23452
148,87.53555
149,87.59972
150,87.10860
151,86.96835
152,87.06744
153,87.00880
154,87.24371
155,87.31142
156,87.04990
157,87.22550
158,87.11054
159,86.83862
160,87.18385
161,87.36669
162,86.98401
163,87.07314
164,87.04946
165,87.20857
166,87.01787
167,87.32066
168,87.14750
169,87.10374
170,87.22894
171,87.24908
172,87.32083
173,87.31574
174,87.55673
175,88.06799
176,88.82861
177,88.67834
178,87.83563
179,87.77853
180,87.54086
181,87.30296
182,87.27447
183,87.23209
184,87.19259
185,87.41942
186,87.12763
187,87.15380
188,87.23613
189,87.31574
190,86.94756
191,87.12133
192,87.18495
193,87.24149
194,87.32000
195,87.14451
196,87.11330
197,87.43491
198,87.55884
199,87.63612
200,87.32442
201,87.39281
202,87.53914
203,87.43441
204,87.12376
205,87.21648
206,87.32349
207,87.09200
208,87.10097
209,87.39723
210,87.38943
211,87.40337
212,87.50031
213,87.13549
214,87.14423
215,87.29831
216,87.23784
217,87.10374
218,87.31342
219,87.26108
220,87.24902
221,87.12343
222,87.36028
223,87.21859
224,86.87762
225,87.23237
226,87.59579
227,87.80891
228,87.87657
229,89.14684
230,89.55297
231,88.79978
232,87.51807
233,87.28819
234,87.56376
235,87.59690
236,87.59120
237,87.48155
