Slice,Mean
1,2871.981
2,2816.382
3,2861.271
4,2923.346
5,2766.340
6,2720.834
7,2883.405
8,2790.563
9,2815.876
10,2731.776
11,2806.313
12,2805.196
13,2758.143
14,2765.881
15,2898.170
16,2805.403
17,2809.558
18,2883.797
19,2825.158
20,2828.961
21,2791.457
22,2909.394
23,2705.928
24,2741.835
25,2844.719
26,2781.889
27,2803.079
28,2752.212
29,2771.193
30,2799.694
31,2731.182
32,2784.151
33,2759.367
34,2676.698
35,2734.632
36,2745.709
37,2741.963
38,2704.303
39,2722.842
40,2700.922
41,2793.432
42,2792.604
43,2772.677
44,2867.139
45,2759.106
46,2686.936
47,2719.841
48,2730.715
49,2746.742
50,2728.148
51,2785.954
52,2710.984
53,2778.687
54,2727.340
55,2825.302
56,2805.709
57,2784.791
58,2811.146
59,2764.522
60,2882.241
61,2824.316
62,2853.944
63,2726.076
64,2853.553
65,2820.110
66,2811.017
67,2780.094
68,2791.937
69,2800.820
70,2799.800
71,2790.766
72,2806.535
73,2777.252
74,2777.732
75,2895.359
76,2812.969
77,2803.923
78,2741.896
79,2869.322
80,2867.332
81,2747.964
82,2792.703
83,2942.049
84,2759.975
85,2815.945
86,2832.095
87,2824.512
88,2715.707
89,2879.936
90,2854.654
91,2873.410
92,2788.614
93,2795.254
94,2777.172
95,2849.694
96,2723.138
97,2744.410
98,2767.896
99,2787.168
100,2708.771
101,2754.608
102,2656.388
103,2789.750
104,2762.218
105,2836.364
106,2830.038
107,2809.646
108,2753.516
109,2714.598
110,2746.358
111,2772.476
112,2767.919
113,2741.225
114,2787.147
115,2817.308
116,2741.277
117,2847.386
118,2826.710
119,2879.360
120,2803.642
121,2744.515
122,2783.989
123,2801.233
124,2731.583
125,2762.020
126,2719.787
127,2809.194
128,2832.126
129,2731.296
130,2774.730
131,2791.866
132,2817.072
133,2722.738
134,2867.848
135,2850.065
136,2794.510
137,2725.469
138,2757.322
139,2795.629
140,2761.586
141,2805.683
142,2823.209
143,2863.186
144,2871.522
145,2792.373
146,2795.435
147,2902.228
148,2829.130
149,2868.985
150,2804.736
151,2841.954
152,2850.377
153,2869.424
154,2858.907
155,2818.908
156,2775.167
157,2801.927
158,2857.763
159,2862.261
160,2788.312
161,2880.333
162,2936.535
163,2832.240
164,2879.148
165,2873.500
166,2846.349
167,2906.931
168,2904.789
169,2805.620
170,2946.960
171,2882.181
172,2886.198
173,2929.409
174,2862.958
175,2850.375
176,2898.879
177,2883.450
178,2865.146
179,2830.472
180,2872.281
181,2885.991
182,2875.534
183,2827.357
184,2930.199
185,2914.983
186,2797.952
187,2847.042
188,2856.479
189,2878.336
190,2912.688
191,2774.991
192,2779.174
193,2834.732
194,2800.735
195,2828.889
196,2795.127
197,2834.159
198,2814.190
199,2851.953
200,2853.952
201,2800.979
202,2824.188
203,2872.483
204,2755.353
205,2959.072
206,2892.598
207,2808.670
208,2797.762
209,2841.032
210,2897.602
211,2857.231
212,2885.438
213,2912.752
214,2876.070
215,2914.436
216,2855.950
217,2820.575
218,2873.157
219,2906.193
220,2945.172
