Slice,Mean
1,87.50058
2,87.66467
3,87.50224
4,87.48975
5,87.44670
6,87.69348
7,87.69431
8,87.62309
9,87.66319
10,87.72774
11,87.56677
12,87.60548
13,87.60713
14,87.61383
15,87.54488
16,87.44002
17,87.37926
18,87.62233
19,87.67802
20,87.56207
21,87.40488
22,87.56656
23,87.63712
24,87.54747
25,87.56071
26,87.46571
27,87.49355
28,87.73552
29,87.85582
30,87.84113
31,87.78265
32,87.73642
33,87.64922
34,87.54971
35,87.69637
36,87.77808
37,87.86584
38,87.98811
39,87.67372
40,87.59717
41,87.75998
42,87.71120
43,87.67410
44,87.46266
45,87.61848
46,87.92003
47,88.54858
48,91.26915
49,91.18776
50,90.21303
51,89.23650
52,88.57008
53,88.45319
54,88.07158
55,87.73997
56,87.63596
57,87.57858
58,87.63782
59,87.58649
60,87.65556
61,87.78622
62,87.78726
63,87.62929
64,87.57576
65,87.43071
66,87.60435
67,87.40140
68,87.39012
69,87.30711
70,87.44978
71,87.57234
72,87.36652
73,87.32547
74,87.69269
75,87.87210
76,87.86259
77,87.82677
78,87.80301
79,87.83463
80,87.89717
81,87.82454
82,87.65730
83,87.72975
84,87.54242
85,87.44073
86,87.64029
87,87.64183
88,87.55695
89,87.81808
90,87.71973
91,87.70786
92,87.47691
93,87.43463
94,87.49419
95,87.58839
96,87.64967
97,87.66695
98,87.63338
99,87.63091
100,87.63284
101,87.64638
102,87.61418
103,87.70267
104,87.59486
105,87.52158
106,87.58675
107,87.62302
108,87.61797
109,87.73384
110,87.92447
111,87.74197
112,87.75894
113,87.52715
114,87.71201
115,87.60022
116,87.76680
117,87.73044
118,87.70007
119,87.74887
120,87.72099
121,87.71074
122,87.75386
123,87.97855
124,87.98926
125,87.93073
126,88.08727
127,89.59737
128,91.39656
129,92.52017
130,90.96182
131,89.46559
132,88.60480
133,88.53897
134,88.31667
135,88.13618
136,88.00577
137,87.88747
138,87.81575
139,87.77010
140,87.93405
141,88.07684
142,87.80708
143,87.70300
144,87.73285
145,87.81024
146,87.74945
147,87.44165
148,87.64343
149,87.75758
150,87.91432
151,87.92003
152,87.90262
153,87.89629
154,87.85727
155,88.01903
156,87.92485
157,87.92702
158,87.83662
159,87.73985
160,87.66586
161,87.79741
162,87.48349
163,87.45320
164,87.38512
165,87.47183
166,87.54611
167,87.55670
168,87.64496
169,87.64072
170,87.60489
171,87.56477
172,87.79114
173,87.67677
174,87.40338
175,87.60374
176,87.47560
177,87.60852
178,87.67197
179,87.58365
180,87.71309
181,87.47224
182,87.43941
183,87.62579
184,87.77032
185,87.81061
186,87.80296
187,87.80827
188,87.82285
189,87.59900
190,87.69084
191,87.77994
192,87.62932
193,87.55191
194,87.63029
195,87.33545
196,87.58974
197,87.66287
198,87.68361
199,87.90344
200,87.77544
201,87.47899
202,87.52534
203,87.64297
204,87.63097
205,87.53043
206,87.50812
207,87.65623
208,87.33958
209,87.56732
210,87.63721
211,87.70233
212,87.53000
213,87.59262
214,87.78966
215,87.85004
216,87.58015
217,87.43269
218,87.44058
219,87.56331
220,87.73616
221,88.20195
222,89.68385
223,90.67404
224,90.43953
225,89.38834
226,88.45546
227,88.14989
228,87.97307
229,87.75262
230,87.64709
231,87.48595
232,87.80774
233,87.76476
234,87.81816
235,87.73405
236,87.70134
237,87.77721
238,87.73680
239,87.71671
240,87.58670
241,87.58008
242,87.77321
243,87.64723
244,87.78445
245,87.87512
246,87.79503
247,87.78415
248,87.79184
249,87.71867
250,87.45067
251,87.60593
252,87.47855
253,87.45457
254,87.51033
255,87.56573
256,87.42119
257,87.21867
