Slice,Mean
1,770.4559
2,754.3817
3,756.2180
4,757.2761
5,768.2035
6,768.7466
7,761.2397
8,767.4167
9,752.9953
10,764.2908
11,758.6671
12,753.5905
13,755.4025
14,757.7190
15,764.2209
16,760.1161
17,755.2545
18,750.8602
19,741.5383
20,761.3699
21,766.9082
22,748.4201
23,749.3362
24,771.0278
25,755.7714
26,767.1636
27,751.1887
28,754.4007
29,753.1674
30,764.6917
31,750.1431
32,744.5264
33,750.1094
34,753.4893
35,750.2686
36,755.5251
37,746.8509
38,761.0237
39,752.8330
40,757.7042
41,758.0446
42,754.1477
43,745.2386
44,753.0913
45,754.3180
46,754.7928
47,760.2876
48,752.6052
49,764.4106
50,753.2394
51,754.5381
52,751.4425
53,758.4831
54,770.2897
55,757.6392
56,754.7589
57,768.5953
58,756.4512
59,764.9536
60,750.1534
61,756.0276
62,756.0154
63,755.1223
64,761.5826
65,747.0745
66,754.2272
67,768.9846
68,747.5778
69,755.6249
70,765.6514
71,756.5923
72,763.0792
73,751.4319
74,746.7027
75,761.8129
76,755.5540
77,749.3741
78,751.8964
79,765.1160
80,751.8100
81,746.6082
82,743.3885
83,759.3636
84,748.4067
85,751.7260
86,739.2075
87,756.3188
88,740.7702
89,746.8349
90,753.9236
91,748.5085
92,750.3912
93,740.6422
94,730.5558
95,746.8441
96,752.0593
97,751.3582
98,740.7155
99,749.9966
100,750.9527
101,757.0031
102,746.0694
103,752.3632
104,751.5599
105,745.5776
106,753.1664
107,737.9612
108,748.6729
109,740.6890
110,752.7085
111,746.6300
112,763.3694
113,749.3923
114,761.6290
115,753.1995
116,751.6201
117,758.3699
118,746.0760
119,756.8844
120,745.7662
121,755.5953
122,755.9202
123,739.0330
124,743.9677
125,750.5585
126,744.6494
127,755.2451
128,744.1360
129,742.7369
130,757.3842
131,753.0790
132,755.6366
133,750.0670
134,752.0468
135,741.7023
136,743.3453
137,742.0986
138,747.9119
139,750.9666
140,748.2612
141,741.0887
142,736.2373
143,740.9138
144,739.9904
145,740.6517
146,738.6362
147,740.5399
148,740.6561
149,736.3597
150,754.8434
151,738.0378
152,749.3206
153,753.1340
154,739.9566
155,749.7869
156,753.1584
157,750.2698
158,750.8186
159,746.2673
160,753.2559
161,748.3077
162,743.8120
163,746.1182
164,741.7506
165,741.4343
166,742.5657
167,743.7329
168,748.7861
169,738.0405
170,747.9053
171,747.8632
172,746.6332
173,747.5313
174,739.4919
175,747.1625
176,736.5970
177,750.4690
178,754.5419
179,735.5697
180,748.7994
181,741.1542
182,741.6851
183,734.6844
184,741.0725
185,745.6448
186,740.6248
187,739.5150
188,738.2216
189,741.3441
190,737.6508
191,747.1472
192,747.2885
193,730.3599
194,733.5294
195,749.4689
196,747.3155
197,746.3905
198,753.4455
199,745.9082
200,748.7595
201,738.9301
202,745.0732
203,751.5695
204,737.8888
205,738.5641
206,735.2924
207,747.4550
208,744.1957
209,730.4738
210,756.5703
211,749.6458
212,727.8441
213,747.1245
214,744.8525
215,747.7218
216,739.8049
217,751.7729
218,732.7405
219,738.2698
220,740.2057
221,751.1377
222,742.2837
223,740.3820
224,739.9026
225,748.5230
226,736.4007
227,732.5825
228,738.3821
229,729.9100
230,747.2118
231,748.2269
232,755.3278
233,739.6981
234,739.6216
235,731.8102
236,745.0190
237,736.5356
238,733.2156
239,742.7797
240,740.7377
241,742.1793
242,739.6820
243,742.9700
244,735.5485
245,736.8058
246,726.9649
247,724.8826
248,734.7229
249,742.1362
250,750.6704
251,739.6239
252,744.3093
253,741.9445
254,740.9727
255,733.1605
256,731.8640
257,739.5345
258,738.6212
259,737.7403
260,755.1481
261,742.2786
262,735.7811
263,736.3561
264,734.2692
265,734.4763
266,733.7195
267,733.2045
268,741.4822
269,748.8506
270,732.1368
271,739.9645
272,735.0464
273,738.7990
274,744.3374
275,737.9819
276,741.3719
277,737.7188
278,736.7213
279,735.8086
280,734.2324
281,733.7020
282,737.2157
283,737.3205
284,741.5964
285,734.1927
286,734.3721
287,740.1548
288,724.1016
289,739.7281
290,741.3206
291,742.1768
292,747.3609
293,735.6530
294,756.3927
295,751.0698
296,745.2420
297,726.2948
298,743.0720
299,734.4056
300,746.5358
301,748.0889
302,741.1479
303,737.5101
304,743.7808
305,753.4812
306,740.8406
307,735.3165
308,741.8261
309,751.2770
310,738.6155
311,740.6710
312,735.6661
313,751.3707
314,749.5009
315,741.1350
316,740.7619
317,746.8035
318,741.4780
319,727.9155
320,741.3630
321,731.8705
322,740.8092
323,739.1156
324,736.8531
325,739.5692
326,742.2623
327,739.2910
328,750.0789
329,749.5728
330,731.5720
331,738.8340
332,731.0361
333,746.3359
334,737.4541
335,750.7272
336,736.3419
337,745.3087
338,730.1610
339,734.8439
340,742.0383
341,744.3157
342,744.9838
343,747.4445
344,742.8295
345,752.3588
346,727.6406
347,739.9791
348,742.6072
349,738.2357
350,728.5225
351,743.5920
352,731.4396
353,742.9598
354,734.2822
355,724.0762
356,730.3141
357,740.1915
358,738.6948
359,742.2377
360,724.9127
361,730.9363
362,730.8335
363,744.7441
364,729.6553
365,736.8481
366,742.5764
367,725.2053
368,741.3386
369,734.1508
370,734.1821
371,726.4561
372,737.0049
373,738.5341
374,727.3600
375,734.8707
376,734.1372
377,716.9301
378,729.5560
379,749.2699
380,723.5518
381,735.0270
382,720.3793
383,729.4347
384,722.6263
385,723.2714
386,731.2643
387,746.3901
388,729.0815
389,723.2733
390,746.8059
