Slice,Mean
1,2761.048
2,2753.190
3,2741.392
4,2710.850
5,2633.296
6,2659.464
7,2599.774
8,2726.300
9,2726.932
10,2782.661
11,2630.062
12,2683.872
13,2755.129
14,2682.042
15,2704.328
16,2750.137
17,2779.673
18,2760.981
19,2768.426
20,2777.686
21,2666.284
22,2751.766
23,2695.776
24,2724.624
25,2768.583
26,2645.878
27,2694.477
28,2741.563
29,2650.480
30,2693.022
31,2637.348
32,2629.855
33,2642.283
34,2682.388
35,2678.419
36,2691.490
37,2663.336
38,2637.775
39,2676.542
40,2724.904
41,2540.608
42,2615.812
43,2611.734
44,2635.761
45,2610.223
46,2601.676
47,2668.994
48,2564.884
49,2637.179
50,2690.010
51,2677.842
52,2651.930
53,2623.431
54,2716.848
55,2646.879
56,2632.168
57,2621.234
58,2705.019
59,2719.560
60,2666.597
61,2763.651
62,2735.373
63,2715.369
64,2642.371
65,2592.685
66,2659.220
67,2574.739
68,2585.221
69,2632.323
70,2698.320
71,2663.769
72,2686.411
73,2677.708
74,2658.180
75,2571.292
76,2573.650
77,2606.538
78,2616.851
79,2610.833
80,2578.036
81,2629.736
82,2628.059
83,2602.464
84,2594.494
85,2624.254
86,2605.865
87,2574.820
88,2618.222
89,2588.870
90,2628.858
91,2626.334
92,2606.392
93,2714.535
94,2655.357
95,2663.219
96,2706.320
97,2624.676
98,2629.165
99,2670.707
100,2696.552
101,2621.927
102,2634.152
103,2613.291
104,2599.629
105,2661.922
106,2701.011
107,2669.034
108,2566.600
109,2630.797
110,2631.402
111,2656.591
112,2630.495
113,2651.563
114,2659.689
115,2640.968
116,2585.396
117,2680.443
118,2693.075
119,2578.847
120,2652.482
121,2621.864
122,2585.230
123,2623.417
124,2650.645
125,2643.422
126,2724.693
127,2714.683
128,2647.305
129,2616.103
130,2696.536
131,2678.868
132,2672.226
133,2611.697
134,2637.117
135,2687.818
136,2624.796
137,2716.552
138,2715.651
139,2621.281
140,2720.720
141,2658.519
142,2668.831
143,2704.838
144,2670.790
145,2713.306
146,2700.261
147,2670.309
148,2553.818
149,2635.750
150,2702.466
151,2663.895
152,2689.726
153,2691.089
154,2586.055
155,2703.551
156,2705.087
157,2695.891
158,2621.999
159,2687.098
160,2617.598
161,2674.439
162,2577.928
163,2650.525
164,2623.033
165,2626.490
166,2586.531
167,2559.680
168,2632.812
169,2749.753
170,2679.874
171,2614.783
172,2699.982
173,2665.028
174,2601.970
175,2625.902
176,2554.789
177,2587.104
178,2660.002
179,2518.980
180,2593.817
181,2670.511
182,2602.167
183,2585.492
184,2650.339
185,2646.190
186,2646.487
187,2611.437
188,2611.544
189,2636.577
190,2575.160
191,2642.771
192,2669.513
193,2570.773
194,2648.073
195,2631.369
196,2668.902
197,2597.850
198,2603.202
199,2595.600
200,2596.314
201,2557.739
202,2644.305
203,2571.675
204,2587.568
205,2587.715
206,2613.407
207,2580.217
208,2681.985
209,2638.823
210,2534.071
211,2542.130
212,2655.631
213,2570.812
214,2669.545
215,2700.458
216,2601.484
217,2594.492
218,2597.544
219,2561.257
220,2625.987
221,2641.449
222,2558.893
223,2568.953
224,2558.585
225,2625.971
226,2580.766
227,2576.169
228,2649.745
229,2650.253
230,2666.507
231,2595.143
232,2622.104
233,2572.808
234,2587.292
235,2698.811
236,2671.718
237,2654.460
238,2711.926
239,2597.623
240,2606.937
241,2604.927
242,2665.769
243,2569.117
244,2559.670
245,2602.769
246,2534.744
247,2582.004
248,2593.162
249,2612.110
250,2626.262
251,2646.093
252,2538.361
253,2593.326
254,2678.115
255,2578.104
256,2558.322
257,2601.396
258,2546.890
259,2656.577
260,2614.868
261,2647.686
262,2606.103
263,2619.903
264,2603.018
265,2697.920
266,2633.778
267,2622.976
268,2640.190
269,2640.214
270,2622.446
271,2640.593
272,2721.288
273,2657.364
274,2656.143
275,2715.813
276,2628.886
277,2607.910
278,2706.334
279,2734.750
280,2792.500
281,2656.295
282,2626.886
283,2686.235
284,2673.744
285,2699.551
286,2622.803
287,2657.749
288,2573.658
289,2669.267
290,2594.938
291,2648.994
292,2587.958
293,2664.640
294,2621.636
295,2619.682
296,2671.837
297,2615.603
298,2610.423
299,2590.100
300,2713.715
301,2629.298
302,2676.771
303,2691.832
304,2642.898
305,2660.373
306,2633.187
307,2585.816
308,2700.463
309,2604.219
310,2716.790
