Slice,Mean
1,85.21329
2,85.16816
3,85.37580
4,85.21387
5,85.24606
6,85.19520
7,85.33943
8,85.20852
9,85.20764
10,85.32708
11,85.41850
12,85.33632
13,85.29527
14,85.71990
15,85.33515
16,85.15454
17,85.28866
18,85.35168
19,85.35917
20,85.60037
21,85.35333
22,85.40984
23,85.96032
24,85.76590
25,86.44981
26,86.18187
27,85.92472
28,85.69500
29,85.76006
30,85.81365
31,85.57887
32,85.92453
33,85.63246
34,85.53394
35,85.61214
36,85.33554
37,85.44514
38,85.25909
39,85.28497
40,85.19209
41,85.34760
42,85.72204
43,85.43834
44,85.42074
45,85.56477
46,85.21766
47,85.48288
48,85.34098
49,85.67750
50,85.53880
51,85.65075
52,85.38426
53,85.51128
54,85.62974
55,85.61797
56,85.45594
57,85.45682
58,85.94135
59,86.54075
60,86.00438
61,85.77388
62,85.76279
63,85.40624
64,85.44573
65,85.76532
66,85.23439
67,85.27242
68,85.49834
69,85.37230
70,85.36150
71,85.64024
72,85.69539
73,85.74023
74,85.51634
75,85.12332
76,85.11584
77,85.06613
78,85.21008
79,85.43172
80,85.34857
81,85.53968
82,85.69656
83,85.57459
84,85.49212
85,85.25686
86,85.27018
87,85.44116
88,85.27193
89,85.03093
90,85.29595
91,85.25229
92,85.44194
93,85.43814
94,85.24849
95,84.98016
96,85.37444
97,85.59638
98,85.22087
99,85.08948
100,85.23682
101,85.15143
102,84.93134
103,85.02276
104,85.03268
105,85.35372
106,85.24402
107,85.48882
108,85.20638
109,84.70911
110,85.26833
111,85.06487
112,85.41743
113,85.35314
114,85.63110
115,85.64774
116,85.66650
117,86.75229
118,87.34050
119,87.21046
120,86.41538
121,86.01770
122,86.14375
123,85.47364
124,85.28944
125,85.25481
126,85.58345
127,85.42881
128,85.31939
129,85.37152
130,85.48843
131,85.12828
132,85.21922
133,85.05641
134,85.14822
135,85.35878
136,85.29420
137,85.28098
138,84.95010
139,84.72350
140,84.73449
141,84.70035
142,84.62731
143,84.85382
144,84.61564
145,84.94514
146,84.76522
147,84.99523
148,84.73546
149,84.90527
150,84.95477
151,84.95088
152,85.19753
153,85.23886
154,84.93951
155,85.20200
156,85.15668
157,85.15357
158,84.97890
159,84.69033
160,85.04756
161,84.79858
162,84.83962
163,84.92861
164,85.05933
165,85.30160
166,85.36617
167,85.36267
168,85.08743
169,84.87687
170,85.23935
171,85.26006
172,85.40031
173,85.45049
174,84.96800
175,85.27641
176,85.44447
177,85.29362
178,85.36841
179,85.08452
180,85.04931
181,84.78516
182,85.02334
183,84.94514
184,85.15960
185,85.28273
186,85.29187
187,86.13587
188,86.93756
189,87.03929
190,86.47559
191,85.85713
192,85.52888
193,85.43552
194,85.17001
195,85.15765
196,85.47442
197,85.19334
198,85.06769
199,85.08607
200,84.90858
201,85.01868
202,85.13898
203,84.94719
204,85.17915
205,85.53229
206,85.13733
207,85.28662
208,85.54105
209,85.42287
210,85.36267
211,85.65970
212,85.35625
213,85.14540
214,85.08617
215,85.50496
216,85.38708
217,85.30091
218,85.10970
219,84.99718
220,84.97335
221,85.30286
222,85.33913
223,85.28078
224,85.20979
225,85.21688
226,85.39127
227,85.41607
228,85.18926
229,85.41694
230,85.35013
231,85.32854
232,84.97199
233,85.03647
234,84.91003
235,85.00136
236,85.28769
237,85.21902
238,85.44768
239,85.33360
240,85.29781
241,85.10406
242,85.18246
243,85.28438
244,85.33913
245,85.17448
246,85.10154
247,85.17010
248,85.02606
249,84.94514
250,84.77932
251,84.49164
252,84.61749
253,84.49543
254,84.50195
255,84.84351
256,85.02305
257,85.08491
258,85.40585
259,85.11097
260,85.09035
261,84.85042
262,85.29858
263,85.45983
264,86.50321
265,86.92706
266,87.15785
267,85.94651
268,85.50719
269,85.55320
270,85.64258
271,85.03316
272,84.84673
273,84.80023
274,85.16699
275,85.10562
276,84.92871
277,85.02480
278,84.99212
279,84.73994
280,85.07713
281,85.18090
282,85.24976
283,85.00758
284,84.95477
285,85.27378
286,85.25754
287,85.20385
288,84.96139
289,84.91908
290,85.29449
291,85.57382
292,85.27329
293,85.25394
294,84.91120
295,84.68488
296,84.91538
297,84.81686
298,84.60368
299,85.00866
300,85.21513
301,85.03910
302,85.23264
303,85.13801
304,84.94758
305,85.30801
306,85.50214
307,85.30043
308,85.40294
309,85.36588
310,85.29216
311,85.04367
312,85.04036
313,85.50049
314,85.22642
315,85.48113
316,85.42939
317,85.49416
318,85.66154
319,85.62994
320,85.80898
321,85.72787
322,85.83184
323,85.61165
324,85.18518
325,85.25549
326,84.94962
327,85.17613
328,85.53151
329,85.44311
330,85.32600
331,85.43309
332,85.23527
333,85.29576
334,85.09677
335,85.15046
336,85.31404
337,85.36559
338,85.24840
339,85.20686
340,85.34448
341,85.61272
342,85.24081
343,84.96509
344,85.29732
345,85.56808
346,85.50389
347,85.92482
348,85.79848
349,85.34536
350,85.52986
351,85.53054
352,85.53083
353,85.31560
354,84.98668
355,85.27280
356,85.22875
357,85.27213
358,85.03384
359,85.11545
360,85.28808
361,84.78866
362,85.12371
363,85.39243
364,85.46236
365,85.49592
366,85.64880
367,85.67400
368,85.84692
369,87.17759
370,87.38057
371,86.66709
372,85.90128
373,85.55408
374,85.43941
375,85.42939
376,85.51663
377,85.49465
378,85.52509
379,85.59045
380,85.42424
381,85.02422
382,85.22515
383,85.24003
384,85.10095
385,85.40595
386,85.12089
387,84.94213
388,84.90702
389,85.03540
390,84.94913
391,85.06672
392,85.04202
393,85.05369
394,85.27757
395,85.26756
396,85.18985
397,85.16563
398,85.13315
399,84.87113
400,84.86510
401,85.16388
402,84.44495
403,84.68781
404,85.15931
405,85.09570
406,84.81084
407,85.02675
408,84.82766
409,84.94719
410,84.75598
411,85.06993
412,85.08617
413,85.02733
414,85.05553
415,85.07411
416,84.96314
417,85.02470
418,84.99523
419,85.59084
420,85.41957
421,85.27641
422,85.10815
423,85.09366
424,85.41490
425,85.35255
426,85.26357
427,85.43649
428,85.21144
429,85.03005
430,85.10339
431,85.20784
432,85.22544
433,85.33379
434,85.62041
435,85.77164
436,85.57508
437,85.28127
438,85.13859
439,85.52976
440,85.20132
441,85.30179
442,85.15610
443,85.40391
444,84.98473
445,84.79848
446,84.94077
447,84.61379
448,84.87950
449,85.07985
450,85.13723
451,85.56088
452,85.49144
453,85.36871
454,85.29644
455,85.24149
456,84.97044
457,85.13985
458,85.34030
459,85.36996
460,85.69170
461,85.52402
462,85.28856
463,85.20356
464,85.38115
465,85.12060
466,85.19082
467,85.44057
468,85.58607
469,85.26882
470,85.18537
471,84.70531
472,84.91538
473,85.20288
474,85.05660
475,85.08802
476,84.97433
477,84.95837
478,85.39350
479,85.15882
480,85.35509
481,85.10300
482,85.11234
483,85.25365
484,85.21688
485,85.50768
486,85.30801
487,84.96995
488,84.75520
489,85.09171
490,85.30636
491,85.00330
492,85.14317
493,85.11865
494,85.21727
495,85.04386
496,85.16670
497,85.21825
498,85.92287
499,86.99377
500,86.62293
501,86.02636
502,85.84400
503,85.36267
504,85.27962
505,85.12994
506,84.84439
507,85.11457
508,85.19257
509,85.38232
510,85.31103
511,85.13344
512,85.13879
513,85.41237
514,85.19588
515,85.11087
516,85.33524
517,85.00758
518,84.94418
519,85.14131
520,85.04649
521,84.93260
522,85.29819
523,85.25987
524,85.19559
525,85.32494
526,84.94495
527,85.10329
528,85.01595
529,85.26843
530,85.56419
531,85.57839
532,85.36335
533,85.05845
534,85.31774
535,85.32133
536,85.32571
537,85.00282
538,85.02139
539,85.43309
540,85.65581
541,85.08743
542,85.46003
543,85.50914
544,85.20065
545,85.72486
546,85.89506
547,85.24188
548,85.31171
549,85.11963
550,85.33690
551,85.26727
552,85.11078
553,85.25510
554,85.38037
555,85.78468
556,85.41013
557,85.02383
558,85.31930
559,85.26717
560,85.35567
561,85.35722
562,85.49310
563,85.54912
564,85.51147
565,85.16290
566,85.18664
567,85.20628
568,85.13869
569,84.99397
570,85.16038
571,85.25686
572,85.31609
573,85.21922
574,85.25082
575,85.14258
576,85.18362
577,85.23244
578,85.20813
579,85.68275
580,85.36724
581,85.25452
582,85.18109
583,85.37259
584,84.97919
585,85.41383
586,85.13889
587,85.26473
588,85.39690
589,85.30772
590,85.12235
591,85.40187
592,85.32999
593,85.46139
594,85.18177
595,85.47335
596,85.09882
597,85.02139
598,84.92025
599,84.91354
600,84.91792
601,85.23089
602,85.51945
603,85.30996
604,84.99504
605,85.11710
606,85.02032
607,85.04824
608,85.31093
609,85.70852
610,86.50827
611,87.32085
612,87.18537
613,86.54406
614,85.88514
615,85.76512
616,85.59327
617,85.47083
618,85.25297
619,85.12322
620,85.24100
621,85.15386
622,85.56127
623,85.66212
624,85.63149
625,85.54814
626,85.38338
627,85.34789
628,85.37289
629,85.33272
630,85.11195
631,85.10474
632,85.06760
633,84.89438
634,85.47987
635,85.30402
636,85.35188
637,85.78739
638,85.31219
639,85.30238
640,85.18839
641,85.39535
642,85.47462
643,85.43562
644,85.48609
645,85.24898
646,85.44981
647,85.50418
648,85.37736
649,85.40304
650,85.49281
651,85.37395
652,85.35226
653,85.54756
654,85.48201
655,85.26454
656,85.11933
657,84.95905
658,84.94962
659,84.79527
660,84.88543
661,85.09444
662,85.10474
663,85.91383
664,86.09230
665,85.71581
666,85.04688
667,85.34945
668,85.53667
669,85.28681
670,85.32786
671,85.15726
672,84.87843
673,85.46401
674,85.30733
675,85.16427
676,85.35149
677,85.32076
678,85.28448
679,85.14812
680,84.88329
681,85.06545
682,84.92365
683,85.00291
684,84.96888
685,85.27222
686,85.29099
687,85.01410
688,85.54726
689,85.24577
690,85.18158
691,84.97481
692,85.38232
693,84.91237
694,85.22778
695,85.69656
696,85.50146
697,85.36559
698,85.32328
699,85.25404
700,85.12857
701,85.15843
702,85.20852
703,85.24072
704,85.15435
705,84.69772
706,85.28739
707,84.92015
708,84.95866
709,85.12896
710,85.25501
711,85.18887
712,84.98259
713,85.01790
714,85.09930
715,84.75900
716,85.12643
717,84.94602
718,84.92229
719,84.86822
720,84.63256
721,85.10017
722,85.32143
723,86.16203
724,87.41568
725,87.00729
726,86.39856
727,85.76211
728,85.27631
729,85.31045
730,85.26629
731,85.44145
732,85.51323
733,84.96061
734,84.96479
735,85.48862
736,85.05641
737,85.02422
738,85.27057
739,84.76483
740,84.76804
741,84.76668
742,84.79994
743,84.81142
744,85.07227
745,85.38319
746,85.26697
747,85.18518
748,85.12352
749,85.08092
750,84.86024
751,84.85411
752,85.25365
753,85.34332
754,85.65347
755,85.34079
756,85.20589
757,85.06400
758,85.15581
759,84.93396
760,84.82066
761,84.92939
762,85.37230
763,85.37697
764,85.49455
765,85.42005
766,85.54230
767,85.12002
768,85.24752
769,85.36510
770,85.06535
771,84.62391
772,84.63149
773,85.07567
774,85.21776
775,85.18654
776,85.51965
777,85.17915
778,85.09823
779,85.42998
780,84.87629
781,84.86199
782,85.04036
783,85.03745
784,84.97938
785,84.97014
786,85.12605
787,85.33602
788,85.41373
789,85.28312
790,85.30967
791,84.98648
792,84.91616
793,85.27251
794,85.26162
795,85.39516
796,85.04386
797,85.19111
798,85.17205
799,85.20297
800,85.08131
801,84.95711
802,85.31297
803,85.55962
804,86.89584
805,86.92074
806,86.17273
807,85.41821
808,85.35587
809,85.92959
810,85.72710
811,85.76649
812,85.68839
813,85.46353
814,85.38874
815,85.14092
816,85.37415
817,85.12041
818,85.22097
819,85.33846
820,85.13791
821,85.41859
822,85.28360
823,85.49484
824,85.59502
825,85.24441
826,85.03589
827,84.98580
828,85.01673
829,85.02003
830,85.08782
831,84.92200
832,84.91101
833,85.00438
834,85.34925
835,85.20200
836,85.25890
837,85.28642
838,85.31657
839,85.03880
840,85.06351
841,84.99572
842,85.18129
843,85.04999
844,85.01215
845,84.82727
846,84.76045
847,84.95934
848,85.22855
849,84.94563
850,84.98279
851,85.08296
852,85.49562
853,85.18246
854,85.19772
855,85.27757
856,84.92326
857,85.24266
858,84.96888
859,85.04639
860,84.68294
861,84.76940
862,84.84409
863,85.20453
864,85.46995
865,86.51274
866,86.19539
867,85.60105
868,85.22185
869,85.49844
870,85.57654
871,85.14102
872,85.23128
873,85.30627
874,85.13149
875,84.96567
876,85.23177
877,85.23235
878,85.11340
879,85.27854
880,85.29877
881,85.14180
882,85.30578
883,85.14229
884,85.53929
885,85.91636
886,85.34546
887,85.21056
888,85.03307
889,85.19247
890,85.42618
891,85.43066
892,85.20686
893,85.26376
894,85.24548
895,85.22495
896,85.24402
897,85.19656
898,85.06010
899,85.31580
900,85.27767
