Slice,Mean
1,6863.387
2,6635.238
3,6616.038
4,6627.434
5,6573.429
6,6569.640
7,6481.480
8,6483.715
9,6583.508
10,6642.886
11,6521.540
12,6534.510
13,6525.947
14,6490.174
15,6564.262
16,6565.961
17,6466.619
18,6560.451
19,6489.925
20,6552.907
21,6555.140
22,6482.758
23,6566.206
24,6523.233
25,6532.795
26,6455.962
27,6508.794
28,6423.379
29,6427.273
30,6468.603
31,6571.677
32,6509.833
33,6595.185
34,6508.714
35,6487.419
36,6487.246
37,6531.129
38,6544.990
39,6533.873
40,6523.700
41,6499.229
42,6441.646
43,6420.942
44,6456.334
45,6497.778
46,6529.830
47,6414.573
48,6445.380
49,6405.519
50,6449.908
51,6441.164
52,6379.594
53,6407.884
54,6443.031
55,6453.445
56,6451.718
57,6462.382
58,6473.049
59,6445.208
60,6439.435
61,6478.069
62,6405.349
63,6396.039
64,6386.463
65,6373.844
66,6477.607
67,6478.817
68,6449.978
69,6386.432
70,6441.537
71,6456.841
72,6444.139
73,6469.499
74,6505.109
75,6395.477
76,6449.826
77,6418.359
78,6419.862
79,6438.027
80,6376.536
81,6478.568
82,6349.651
83,6535.472
84,6446.042
85,6393.055
86,6461.854
87,6459.600
88,6419.717
89,6389.259
90,6348.089
91,6501.663
92,6359.695
93,6470.609
94,6478.315
95,6426.081
96,6302.793
97,6440.795
98,6364.142
99,6429.188
100,6506.592
101,6392.890
102,6343.950
103,6423.405
104,6327.227
105,6457.514
106,6361.528
107,6326.088
108,6335.070
109,6467.431
110,6473.088
111,6462.447
112,6448.350
113,6431.535
114,6355.918
115,6489.932
116,6382.215
117,6431.895
118,6500.751
119,6397.569
120,6355.897
121,6489.932
122,6461.427
123,6413.896
124,6521.921
125,6506.660
126,6495.230
127,6414.023
128,6534.864
129,6458.290
130,6453.891
131,6331.381
132,6492.396
133,6478.906
134,6456.914
135,6382.758
136,6500.945
137,6394.134
138,6473.384
139,6487.785
140,6452.546
141,6427.647
142,6402.964
143,6449.522
144,6479.461
145,6465.674
146,6433.874
147,6500.387
148,6463.091
149,6491.566
150,6417.780
151,6501.675
152,6453.609
153,6424.333
154,6529.252
155,6461.621
156,6391.066
157,6357.709
158,6409.306
159,6565.688
160,6542.839
161,6392.958
162,6462.102
163,6388.408
164,6500.209
165,6596.151
166,6467.638
167,6511.180
168,6472.531
169,6502.490
170,6514.327
171,6380.032
172,6511.157
173,6512.837
174,6486.931
175,6551.355
176,6466.450
177,6574.177
178,6527.187
179,6518.936
180,6452.416
181,6518.288
182,6532.935
183,6406.659
184,6611.089
185,6448.479
186,6393.246
187,6523.583
188,6486.175
189,6495.247
190,6395.070
191,6451.037
192,6542.488
193,6473.901
194,6505.958
195,6441.281
196,6517.144
197,6541.667
198,6498.395
199,6552.211
200,6460.976
201,6485.309
202,6432.046
203,6464.872
204,6523.297
205,6505.264
206,6523.001
207,6494.902
208,6469.846
209,6501.717
210,6497.053
211,6524.518
212,6560.943
213,6437.923
214,6493.155
215,6326.421
216,6494.931
217,6491.769
218,6543.573
219,6413.732
220,6502.909
221,6529.861
222,6517.088
223,6511.012
224,6532.438
225,6526.982
226,6483.521
227,6607.343
228,6549.008
229,6488.684
230,6422.015
231,6420.520
232,6473.041
233,6372.662
234,6438.205
235,6396.661
236,6520.015
237,6461.681
238,6406.801
239,6362.438
240,6467.547
241,6439.889
242,6456.811
243,6443.580
244,6509.467
245,6448.405
246,6535.997
247,6445.021
248,6456.427
249,6394.706
250,6519.907
251,6469.936
252,6419.352
253,6450.360
254,6470.566
255,6510.016
256,6490.693
257,6459.569
258,6326.413
259,6481.289
260,6450.693
261,6511.427
262,6581.512
263,6474.706
264,6466.803
265,6461.851
266,6437.564
267,6546.671
268,6493.147
269,6488.773
270,6494.451
271,6383.726
272,6475.515
273,6504.759
274,6484.949
275,6424.706
276,6413.803
277,6439.540
278,6529.548
279,6405.542
280,6466.674
281,6526.552
282,6398.325
283,6422.542
284,6418.642
285,6469.004
286,6456.168
287,6554.756
288,6409.864
289,6446.809
290,6403.719
291,6543.896
292,6418.763
293,6485.980
294,6492.968
295,6477.038
296,6484.448
297,6421.069
298,6430.038
299,6557.810
300,6491.007
301,6462.948
302,6389.190
303,6405.981
304,6407.753
305,6507.738
306,6498.304
307,6537.559
308,6506.541
309,6407.603
310,6443.560
311,6497.542
312,6416.988
313,6326.370
314,6483.464
315,6476.542
316,6451.581
317,6473.715
318,6562.866
319,6494.901
320,6400.232
321,6542.758
322,6504.130
323,6528.536
324,6471.332
325,6578.102
326,6461.986
327,6516.440
328,6454.775
329,6498.456
330,6567.379
331,6543.946
332,6446.124
333,6511.770
334,6505.509
335,6534.047
336,6435.642
337,6512.098
338,6499.263
339,6499.498
340,6595.918
341,6501.765
342,6480.983
343,6599.682
344,6562.092
345,6499.760
346,6518.751
347,6478.391
348,6490.943
349,6616.817
350,6471.587
351,6516.098
352,6462.689
353,6538.558
354,6493.959
355,6447.109
356,6474.868
357,6544.451
358,6497.753
359,6476.736
360,6405.082
361,6501.933
362,6434.969
363,6509.456
364,6548.878
365,6466.259
366,6531.234
367,6603.425
368,6562.847
369,6546.913
370,6495.707
371,6600.455
372,6520.882
373,6469.420
374,6462.013
375,6617.985
376,6502.273
377,6500.388
378,6533.821
379,6522.199
380,6608.464
381,6621.210
382,6502.871
383,6589.876
384,6648.734
385,6618.858
386,6542.354
387,6622.210
388,6459.273
389,6528.187
390,6581.818
391,6592.216
392,6632.637
393,6530.374
394,6624.854
395,6600.145
396,6455.958
397,6512.714
398,6491.948
399,6438.024
400,6553.468
401,6507.484
402,6516.723
403,6411.229
404,6542.379
405,6503.628
406,6529.936
407,6383.999
408,6529.328
409,6440.454
410,6599.228
411,6538.425
412,6510.979
413,6423.867
414,6474.895
415,6447.684
416,6558.764
417,6430.095
418,6484.533
419,6591.409
420,6482.935
421,6527.709
422,6484.892
423,6526.163
424,6592.225
425,6437.966
426,6414.928
427,6573.691
428,6508.411
429,6503.164
430,6498.885
431,6514.579
432,6560.146
433,6421.429
434,6569.843
435,6399.352
436,6494.320
437,6546.640
438,6499.445
439,6524.902
440,6516.601
441,6481.816
442,6470.602
443,6437.362
444,6499.979
445,6440.148
446,6509.873
447,6642.154
448,6427.288
449,6563.698
450,6475.202
451,6491.900
452,6545.790
453,6563.169
454,6389.604
455,6538.114
456,6516.545
457,6426.416
458,6446.147
459,6494.409
460,6490.802
461,6546.550
462,6572.256
463,6482.108
464,6534.775
465,6489.735
466,6509.591
467,6522.681
468,6600.439
469,6486.583
470,6529.670
471,6412.702
472,6537.812
473,6541.428
474,6574.827
475,6498.794
476,6467.920
477,6588.414
478,6510.273
479,6441.468
480,6513.957
481,6524.095
482,6522.370
483,6574.098
484,6526.736
485,6535.492
486,6547.696
487,6526.166
488,6572.095
489,6565.195
490,6425.545
491,6436.235
492,6502.271
493,6391.442
494,6556.701
495,6588.475
496,6381.578
497,6484.461
498,6420.425
499,6469.224
500,6516.438
501,6408.610
502,6500.629
503,6502.476
504,6489.589
505,6461.713
506,6406.895
507,6472.325
508,6512.621
509,6536.498
510,6498.393
511,6448.449
512,6448.013
513,6481.908
514,6541.007
515,6438.796
516,6477.348
517,6486.142
518,6448.464
519,6473.823
520,6540.848
521,6544.659
522,6544.885
523,6431.891
524,6525.702
525,6459.835
526,6364.772
527,6490.111
528,6488.626
529,6461.090
530,6458.013
531,6487.740
532,6502.614
533,6440.573
534,6460.677
535,6485.642
536,6468.884
537,6339.539
538,6551.296
539,6500.465
540,6483.941
541,6432.501
542,6514.642
543,6506.166
544,6525.608
545,6436.856
546,6532.579
547,6467.801
548,6507.586
549,6495.308
550,6484.372
551,6533.146
552,6582.292
553,6525.316
554,6597.996
555,6493.546
556,6553.125
557,6465.503
558,6508.562
559,6500.165
560,6438.401
561,6489.682
562,6492.229
563,6567.804
564,6520.459
565,6499.127
566,6573.178
567,6607.272
568,6627.207
569,6683.919
570,6585.128
571,6524.901
572,6564.568
573,6531.710
574,6589.604
575,6545.730
576,6606.319
577,6598.646
578,6667.513
579,6549.161
580,6619.853
581,6691.488
582,6625.221
583,6671.723
584,6643.990
585,6522.068
586,6607.844
587,6556.576
588,6680.385
589,6640.903
590,6626.682
591,6571.322
592,6600.603
593,6575.018
594,6596.119
595,6574.555
596,6636.715
597,6432.871
598,6648.500
599,6555.626
600,6488.567
601,6628.434
602,6526.070
603,6566.933
604,6632.486
605,6563.521
606,6572.351
607,6694.225
608,6548.072
609,6503.648
610,6535.941
611,6515.782
612,6577.765
613,6634.721
614,6644.495
615,6644.589
616,6580.734
617,6630.179
618,6560.949
619,6555.549
620,6620.058
621,6618.860
622,6465.345
623,6477.346
624,6544.020
625,6494.821
626,6643.159
627,6637.333
628,6549.365
629,6635.577
630,6596.264
631,6593.359
632,6566.194
633,6542.073
634,6585.447
635,6504.707
636,6595.600
637,6621.874
638,6632.104
639,6500.656
640,6527.673
641,6510.500
642,6469.234
643,6511.408
644,6551.787
645,6515.740
646,6513.935
647,6606.539
648,6483.967
649,6518.811
650,6483.824
651,6411.715
652,6454.720
653,6552.761
654,6470.628
655,6428.330
656,6464.276
657,6446.144
658,6585.213
659,6512.172
660,6472.711
661,6527.810
662,6473.535
663,6558.947
664,6522.167
665,6454.339
666,6527.078
667,6506.475
668,6436.281
669,6447.824
670,6531.019
671,6399.522
672,6401.183
673,6512.021
674,6522.841
675,6446.016
676,6475.385
677,6489.564
678,6507.951
679,6513.114
680,6430.849
681,6420.768
682,6448.749
683,6490.091
684,6427.442
685,6435.880
686,6504.351
687,6407.367
688,6481.458
689,6362.650
690,6446.871
691,6435.947
692,6477.882
693,6511.472
694,6492.166
695,6419.874
696,6461.032
697,6416.135
698,6375.882
699,6459.708
700,6435.151
701,6553.787
702,6508.241
703,6418.202
704,6544.143
705,6521.997
706,6448.991
707,6460.240
708,6444.482
709,6460.206
710,6488.938
711,6532.351
712,6487.940
713,6415.908
714,6376.377
715,6509.769
716,6492.390
717,6511.207
718,6576.896
719,6431.897
720,6539.430
721,6556.962
722,6495.484
723,6514.504
724,6420.932
725,6552.758
726,6489.274
727,6525.369
728,6450.914
729,6571.981
730,6542.227
731,6469.519
732,6545.016
733,6383.238
734,6482.429
735,6523.586
736,6419.701
737,6469.685
738,6423.821
739,6542.969
740,6561.938
741,6447.047
742,6497.680
743,6539.338
744,6551.480
745,6476.759
746,6441.342
747,6569.140
748,6523.556
749,6549.396
750,6447.963
751,6511.444
752,6579.839
753,6407.734
754,6475.593
755,6571.825
756,6439.127
757,6438.200
758,6508.485
759,6584.754
760,6633.581
761,6569.800
762,6641.355
763,6574.101
764,6548.081
765,6699.910
766,6577.476
767,6568.865
768,6563.022
769,6625.295
770,6511.440
771,6511.721
772,6697.278
773,6637.164
774,6609.635
775,6588.203
776,6688.026
777,6724.648
778,6652.515
779,6687.560
780,6684.577
781,6610.416
782,6570.446
783,6580.407
784,6495.636
785,6609.715
786,6689.311
787,6633.758
788,6603.482
789,6599.950
790,6673.850
791,6676.875
792,6573.116
793,6593.967
794,6583.555
795,6667.554
796,6634.085
797,6628.521
798,6673.720
799,6613.685
800,6700.713
801,6629.666
802,6611.823
803,6618.003
804,6614.388
805,6597.734
806,6701.379
807,6551.778
808,6548.842
809,6613.661
810,6580.766
811,6691.945
812,6603.225
813,6575.413
814,6633.268
815,6709.886
816,6688.351
817,6719.967
818,6717.772
819,6699.538
820,6642.189
821,6612.435
822,6710.894
823,6683.113
824,6635.494
825,6753.689
826,6630.827
827,6608.301
828,6577.897
829,6663.982
830,6664.171
831,6673.403
832,6663.153
833,6662.587
834,6633.591
835,6634.537
836,6647.892
837,6579.610
838,6656.668
839,6621.061
840,6635.122
841,6588.008
842,6592.117
843,6608.555
844,6610.128
845,6653.581
846,6532.270
847,6591.905
848,6647.443
849,6569.057
850,6572.153
851,6629.300
852,6785.310
853,6720.144
854,6618.528
855,6643.581
856,6637.584
857,6613.392
858,6583.081
859,6671.362
860,6582.257
861,6574.766
862,6516.937
863,6655.238
864,6696.587
865,6680.070
866,6652.432
867,6602.334
868,6685.678
869,6671.312
870,6757.863
871,6635.847
872,6640.656
873,6626.732
874,6713.351
875,6633.060
876,6684.466
877,6631.386
878,6739.825
879,6683.190
880,6637.924
881,6644.951
882,6707.208
883,6686.193
884,6578.895
885,6683.336
886,6543.424
887,6623.555
888,6632.237
889,6722.642
890,6737.510
891,6680.327
892,6658.782
893,6624.884
894,6660.868
895,6736.144
896,6656.792
897,6665.131
898,6589.404
899,6615.907
900,6625.786
