Slice,Mean
1,2308.182
2,2279.450
3,2243.427
4,2258.108
5,2247.589
6,2215.446
7,2228.242
8,2205.026
9,2217.417
10,2229.061
11,2245.380
12,2222.464
13,2217.874
14,2222.858
15,2195.002
16,2241.898
17,2223.886
18,2211.220
19,2213.321
20,2198.052
21,2242.716
22,2222.482
23,2221.532
24,2210.143
25,2195.034
26,2189.789
27,2232.126
28,2189.338
29,2211.238
30,2183.374
31,2184.143
32,2210.372
33,2168.589
34,2203.386
35,2184.284
36,2189.340
37,2156.430
38,2203.356
39,2167.193
40,2180.232
41,2191.605
42,2185.134
43,2188.928
44,2205.294
45,2174.664
46,2187.117
47,2167.188
48,2173.222
49,2190.099
50,2175.774
51,2176.479
52,2185.875
53,2171.775
54,2187.025
55,2176.270
56,2181.951
57,2159.237
58,2180.021
59,2184.683
60,2134.357
61,2144.117
62,2204.528
63,2182.670
64,2153.538
65,2162.768
66,2177.884
67,2155.755
68,2164.806
69,2171.088
70,2174.849
71,2167.772
72,2156.265
73,2142.585
74,2166.587
75,2158.259
76,2129.930
77,2161.232
78,2140.376
79,2120.011
80,2136.314
81,2128.054
82,2154.310
83,2149.995
84,2137.377
85,2157.210
86,2143.999
87,2153.310
88,2167.831
89,2154.180
90,2177.971
91,2156.083
92,2169.060
93,2157.824
94,2127.249
95,2157.990
96,2132.115
97,2161.571
98,2132.746
99,2141.141
100,2129.450
101,2127.299
102,2163.431
103,2169.678
104,2130.559
105,2136.050
106,2147.310
107,2190.645
108,2170.479
109,2142.201
110,2157.979
111,2138.758
112,2138.543
113,2127.076
114,2170.219
115,2157.367
116,2152.476
117,2139.263
118,2151.697
119,2140.772
120,2152.733
121,2138.564
122,2132.531
123,2133.403
124,2151.180
125,2139.814
126,2149.324
127,2113.455
128,2124.466
129,2124.978
130,2119.615
131,2136.253
132,2153.562
133,2156.324
134,2152.163
135,2146.362
136,2144.168
137,2131.960
138,2109.771
139,2146.165
140,2118.293
141,2125.818
142,2104.225
143,2114.365
144,2123.110
145,2112.940
146,2150.048
147,2099.521
148,2113.611
149,2120.440
150,2089.470
151,2116.451
152,2114.905
153,2108.406
154,2141.631
155,2122.856
156,2113.039
157,2100.065
158,2102.321
159,2124.587
160,2116.513
161,2118.521
162,2131.510
163,2131.644
164,2104.000
165,2134.298
166,2135.862
167,2107.235
168,2099.409
169,2122.104
170,2119.569
171,2104.104
172,2101.020
173,2110.558
174,2130.469
175,2116.121
176,2140.147
177,2122.310
178,2097.878
179,2141.166
180,2123.098
181,2135.303
182,2116.977
183,2119.458
184,2106.073
185,2123.333
186,2108.615
187,2118.856
188,2113.931
189,2107.938
190,2106.685
191,2114.351
192,2115.037
193,2096.414
194,2086.678
195,2141.482
196,2121.499
197,2127.463
198,2103.356
199,2141.879
200,2102.284
201,2085.906
202,2130.156
203,2152.354
204,2107.476
205,2118.791
206,2129.729
207,2114.085
208,2115.828
209,2125.917
210,2157.321
211,2160.074
212,2132.502
213,2136.307
214,2139.267
215,2121.054
216,2134.320
217,2100.651
218,2109.086
219,2121.032
220,2145.664
221,2111.836
222,2121.395
223,2140.163
224,2139.115
225,2132.973
226,2127.024
227,2135.547
228,2145.922
229,2156.240
230,2126.586
231,2122.306
232,2097.188
233,2098.922
234,2147.540
235,2107.253
236,2130.778
237,2134.564
238,2107.879
239,2146.036
240,2126.399
241,2131.146
242,2151.378
243,2122.336
244,2103.485
245,2130.769
246,2116.278
247,2128.309
248,2126.790
249,2122.126
250,2143.056
251,2107.201
252,2129.174
253,2153.457
254,2106.121
255,2121.987
256,2141.580
257,2128.538
258,2152.764
259,2161.826
260,2125.164
261,2144.029
262,2149.834
263,2154.984
264,2125.152
265,2130.076
266,2126.202
267,2155.785
268,2128.785
269,2132.048
270,2162.535
271,2112.512
272,2153.668
273,2163.551
274,2138.254
275,2144.003
276,2127.459
277,2138.468
278,2143.458
279,2109.642
280,2141.204
281,2134.979
282,2114.726
283,2148.770
284,2134.638
285,2125.653
286,2111.238
287,2143.113
288,2121.759
289,2118.555
290,2128.030
291,2137.767
292,2153.051
293,2124.126
294,2132.679
295,2141.466
296,2118.946
297,2118.864
298,2137.251
299,2121.008
300,2127.869
301,2136.804
302,2128.767
303,2130.989
304,2144.558
305,2148.074
306,2133.908
307,2126.500
308,2108.485
309,2138.667
310,2101.421
311,2118.849
312,2143.111
313,2124.014
314,2120.541
315,2108.210
316,2125.179
317,2114.868
318,2132.390
319,2130.957
320,2104.565
321,2125.666
322,2134.197
323,2130.582
324,2125.324
325,2155.146
326,2139.249
327,2134.822
328,2133.836
329,2163.502
330,2148.660
331,2125.023
332,2138.023
333,2105.854
334,2117.616
335,2117.258
336,2120.150
337,2145.703
338,2117.096
339,2116.049
340,2115.477
341,2121.901
342,2144.475
343,2127.428
344,2117.099
345,2140.042
346,2111.350
347,2133.931
348,2118.635
349,2150.163
350,2128.946
351,2123.818
352,2118.402
353,2117.471
354,2127.042
355,2112.819
356,2101.000
357,2132.871
358,2131.650
359,2112.681
360,2116.328
361,2122.692
362,2147.158
363,2106.620
364,2145.157
365,2096.583
366,2140.776
367,2125.570
368,2122.447
369,2142.057
370,2125.392
371,2123.739
372,2117.975
373,2142.931
374,2159.120
375,2143.692
376,2144.391
377,2127.120
378,2137.723
379,2142.364
380,2146.647
381,2127.541
382,2144.032
383,2129.400
384,2158.751
385,2123.825
386,2130.010
387,2126.737
388,2127.338
389,2131.030
390,2150.744
391,2119.790
392,2095.625
393,2117.924
394,2134.171
395,2122.510
396,2131.646
397,2105.363
398,2116.669
399,2100.772
400,2132.212
401,2128.251
402,2084.457
403,2128.835
404,2120.598
405,2093.854
406,2125.509
407,2139.251
408,2111.955
409,2142.266
410,2111.074
411,2126.977
412,2119.664
413,2124.001
414,2105.882
415,2106.518
416,2109.416
417,2124.532
418,2087.361
419,2136.537
420,2130.070
421,2148.329
422,2142.094
423,2142.050
424,2139.299
425,2115.483
426,2164.286
427,2122.635
428,2131.612
429,2118.096
430,2129.407
431,2128.081
432,2127.323
433,2131.933
434,2103.040
435,2139.172
436,2130.069
437,2126.603
438,2105.174
439,2103.487
440,2145.860
441,2129.419
442,2135.817
443,2109.140
444,2136.329
445,2152.775
446,2122.941
447,2117.433
448,2106.859
449,2130.073
450,2110.059
451,2124.097
452,2128.433
453,2115.507
454,2116.647
455,2135.288
456,2125.159
457,2116.064
458,2125.415
459,2135.763
460,2116.042
461,2128.259
462,2113.419
463,2088.097
464,2119.609
465,2115.506
466,2102.429
467,2129.288
468,2109.676
469,2143.502
470,2152.854
471,2148.765
472,2129.399
473,2166.706
474,2116.525
475,2149.853
476,2105.432
477,2103.931
478,2145.552
479,2137.016
480,2160.350
481,2115.362
482,2132.375
483,2117.606
484,2123.451
485,2145.156
486,2113.134
487,2125.644
488,2133.188
489,2102.262
490,2129.825
491,2153.318
492,2129.390
493,2132.807
494,2130.743
495,2103.939
496,2128.928
497,2153.246
498,2143.232
499,2132.781
500,2123.243
501,2126.001
502,2091.707
503,2112.004
504,2132.900
505,2141.518
506,2104.219
507,2133.521
508,2094.820
509,2114.892
510,2111.222
511,2102.360
512,2099.901
513,2126.866
514,2143.829
515,2112.662
516,2108.486
517,2115.241
518,2107.852
519,2101.354
520,2115.312
521,2114.642
522,2134.092
523,2133.637
524,2114.802
525,2128.632
526,2116.626
527,2123.769
528,2126.637
529,2138.638
530,2136.333
531,2124.921
532,2136.415
533,2122.380
534,2107.744
535,2126.605
536,2127.813
537,2114.707
538,2164.701
539,2122.302
540,2133.580
541,2118.610
542,2110.989
543,2111.831
544,2119.422
545,2113.399
546,2120.965
547,2126.644
548,2105.990
549,2117.660
550,2117.647
551,2126.004
552,2121.160
553,2103.966
554,2112.436
555,2122.229
556,2099.446
557,2120.876
558,2098.804
559,2126.997
560,2136.414
561,2133.199
562,2114.545
563,2097.043
564,2131.708
565,2131.428
566,2099.789
567,2077.629
568,2116.352
569,2119.113
570,2111.207
571,2130.013
572,2120.328
573,2129.161
574,2096.510
575,2113.964
576,2131.563
577,2101.828
578,2119.039
579,2130.091
580,2100.316
581,2097.191
582,2115.283
583,2099.628
584,2117.295
585,2116.147
586,2114.827
587,2107.036
588,2109.728
589,2102.962
590,2110.927
591,2144.059
592,2106.625
593,2098.545
594,2143.925
595,2107.255
596,2105.154
597,2142.800
598,2126.196
599,2102.087
600,2111.952
601,2106.877
602,2112.137
603,2108.939
604,2131.858
605,2126.049
606,2134.821
607,2142.585
608,2151.376
609,2153.686
610,2146.382
611,2130.921
612,2122.940
613,2126.499
614,2108.093
615,2123.737
616,2126.925
617,2110.470
618,2127.184
619,2146.667
620,2114.301
621,2114.711
622,2116.192
623,2096.777
624,2106.078
625,2096.094
626,2139.422
627,2149.987
628,2143.580
629,2140.429
630,2116.854
631,2128.502
632,2125.001
633,2137.924
634,2155.831
635,2107.605
636,2131.530
637,2118.801
638,2118.522
639,2119.687
640,2122.793
641,2106.654
642,2126.169
643,2128.203
644,2130.630
645,2122.957
646,2113.861
647,2146.087
648,2128.399
649,2119.345
650,2123.167
651,2138.905
652,2116.343
653,2136.310
654,2136.946
655,2118.993
656,2128.322
657,2137.515
658,2120.227
659,2100.757
660,2103.447
661,2102.107
662,2124.344
663,2127.142
664,2100.679
665,2116.787
666,2083.460
667,2121.179
668,2126.624
669,2095.277
670,2119.440
671,2113.228
672,2122.674
673,2106.670
674,2109.663
675,2119.546
676,2110.424
677,2107.614
678,2130.355
679,2133.995
680,2131.017
681,2117.535
682,2101.185
683,2137.451
684,2101.291
685,2148.982
686,2135.096
687,2115.103
688,2124.014
689,2125.996
690,2133.576
691,2135.443
692,2103.970
693,2151.250
694,2130.813
695,2120.085
696,2142.248
697,2116.026
698,2153.369
699,2142.815
700,2124.260
701,2137.908
702,2177.916
703,2144.806
704,2104.295
705,2142.151
706,2134.816
707,2121.305
708,2145.835
709,2136.487
710,2138.843
711,2117.004
712,2121.666
713,2106.323
714,2113.656
715,2122.146
716,2108.234
717,2114.602
718,2094.730
719,2108.169
720,2086.896
721,2133.112
722,2148.839
723,2120.030
724,2105.333
725,2118.776
726,2105.931
727,2080.179
728,2141.925
729,2119.097
730,2116.085
731,2140.971
732,2126.323
733,2147.586
734,2110.024
735,2137.563
736,2140.646
737,2127.770
738,2120.270
739,2104.953
740,2120.527
741,2120.070
742,2112.128
743,2111.697
744,2131.511
745,2118.671
746,2121.011
747,2107.527
748,2136.306
749,2135.976
750,2145.154
751,2126.971
752,2102.631
753,2117.511
754,2128.589
755,2153.999
756,2169.619
757,2113.733
758,2115.177
759,2130.300
760,2116.168
761,2094.521
762,2119.696
763,2132.996
764,2116.370
765,2099.159
766,2089.396
767,2108.804
768,2143.510
769,2116.474
770,2109.370
771,2117.786
772,2131.422
773,2105.823
774,2115.506
775,2128.226
776,2126.249
777,2141.321
778,2134.562
779,2116.543
780,2139.500
781,2126.860
782,2135.820
783,2147.347
784,2149.323
785,2137.797
786,2131.767
787,2144.186
788,2148.038
789,2138.755
790,2134.686
791,2120.312
792,2178.384
793,2150.035
794,2160.396
795,2125.619
796,2142.910
797,2163.633
798,2135.589
799,2168.993
800,2140.188
801,2113.183
802,2143.672
803,2158.581
804,2138.731
805,2159.748
806,2135.693
807,2155.903
808,2149.171
809,2128.970
810,2133.671
811,2098.595
812,2128.422
813,2144.436
814,2123.509
815,2154.091
816,2126.247
817,2116.107
818,2141.728
819,2151.233
820,2112.314
821,2163.131
822,2111.811
823,2143.681
824,2168.400
825,2141.661
826,2156.851
827,2140.859
828,2136.657
829,2150.316
830,2144.256
831,2157.860
832,2159.240
833,2147.334
834,2149.899
835,2189.697
836,2166.382
837,2156.587
838,2162.892
839,2164.148
840,2160.686
841,2152.275
842,2146.564
843,2168.454
844,2158.403
845,2144.820
846,2163.648
847,2176.576
848,2171.264
849,2148.852
850,2159.427
851,2145.650
852,2145.160
853,2166.281
854,2175.129
855,2149.855
856,2146.926
857,2158.956
858,2126.501
859,2144.769
860,2141.324
861,2158.803
862,2138.413
863,2133.030
864,2129.254
865,2148.045
866,2138.383
867,2124.229
868,2140.500
869,2138.910
870,2142.285
871,2112.304
872,2144.952
873,2148.483
874,2136.053
875,2158.521
876,2161.333
877,2154.567
878,2142.732
879,2158.448
880,2143.194
881,2142.406
882,2162.622
883,2135.160
884,2128.417
885,2155.643
886,2193.912
887,2178.735
888,2147.271
889,2168.889
890,2195.293
891,2172.538
892,2148.534
893,2173.402
894,2167.859
895,2168.619
896,2167.804
897,2163.998
898,2194.788
899,2167.660
900,2168.400
