Slice,Mean
1,102.5249
2,106.4062
3,102.4370
4,106.5482
5,110.7077
6,105.7046
7,108.2131
8,110.5821
9,109.2121
10,110.4380
11,110.4299
12,112.3696
13,104.9818
14,109.9040
15,107.1620
16,111.4789
17,112.5938
18,112.3039
19,109.0176
20,106.6095
21,108.4209
22,109.8884
23,113.4945
24,113.9230
25,106.0296
26,113.7269
27,108.5643
28,110.7066
29,115.3599
30,112.1749
31,109.9727
32,109.3700
33,110.5294
34,107.8671
35,110.5626
36,112.0249
37,106.1081
38,112.8135
39,115.3064
40,113.5115
41,114.1334
42,107.4124
43,108.7711
44,108.7803
45,111.5355
46,111.6333
47,140.5282
48,168.9082
49,164.8131
50,151.5481
51,139.5272
52,131.5608
53,117.0146
54,119.0110
55,118.9072
56,114.7489
57,118.3702
58,113.8208
59,105.4228
60,112.7448
61,113.4500
62,106.7277
63,108.1879
64,110.4771
65,112.3967
66,104.4979
67,115.1687
68,112.9319
69,107.2620
70,109.1947
71,107.3715
72,118.2753
73,111.8448
74,112.9196
75,113.5231
76,113.9092
77,107.6345
78,115.1840
79,108.8324
80,118.8659
81,113.4206
82,114.0163
83,114.1280
84,102.8627
85,111.8013
86,110.0423
87,111.8643
88,118.2419
89,114.2206
90,116.5268
91,115.7400
92,129.8685
93,149.8011
94,133.5523
95,124.6699
96,117.9478
97,113.5811
98,112.5455
99,116.2797
100,112.3206
101,108.9282
102,114.3952
103,112.2995
104,109.3151
105,111.1233
106,111.3055
107,111.5726
108,119.1302
109,112.5762
110,113.9964
111,115.1910
112,108.5981
113,103.9673
114,112.2181
115,108.7103
116,115.0151
117,118.7846
118,113.4353
119,115.2509
120,110.1192
121,114.9639
122,115.8018
123,113.4547
124,114.2461
125,106.7265
126,118.7333
127,110.3663
128,114.9296
129,108.7315
130,112.7761
131,111.4944
132,116.1986
133,112.6005
134,112.0786
135,115.4176
136,113.3023
137,116.1899
138,113.2129
139,113.5204
140,109.6024
141,115.0532
142,111.6703
143,113.2536
144,113.7231
145,110.0836
146,113.9489
147,122.4873
148,130.3907
149,122.8458
150,123.1671
151,119.2192
152,125.0104
153,114.7785
154,112.0822
155,121.9297
156,130.6197
157,121.0912
158,137.4074
159,141.9719
160,142.5442
161,140.9193
162,147.1783
163,149.7995
164,144.1798
165,149.5564
166,143.0703
167,144.6251
168,144.2930
169,150.5847
170,152.7331
171,138.7303
172,123.5645
173,113.8199
174,115.6362
175,118.7946
176,112.4167
177,114.0608
178,117.0880
179,116.8347
180,123.0181
181,123.7211
182,146.5661
183,146.4927
184,138.0111
185,134.5235
186,119.1823
187,118.1498
188,116.2365
189,114.7148
190,120.4418
191,115.0021
192,117.7213
193,120.9362
194,113.2880
195,118.5596
196,116.0942
197,115.6138
198,112.8290
199,111.3159
200,110.6034
201,108.3042
202,107.5665
203,112.1106
204,119.6090
205,113.9519
206,111.7905
207,112.9217
208,116.3985
209,120.0208
210,109.2154
211,115.7141
212,117.6565
213,115.5635
214,116.0652
215,115.1461
216,119.7100
217,117.5060
218,118.1582
219,114.8265
220,119.2206
221,111.5089
222,123.2051
223,112.3315
224,111.8475
225,110.0592
226,113.7789
227,116.4272
228,115.0382
229,114.7801
230,109.7312
231,115.8407
232,119.0229
233,110.9028
234,113.7917
235,117.1838
236,115.9487
237,116.1802
238,116.4231
239,116.7036
240,113.5259
241,116.8608
242,117.6388
243,113.7500
244,121.0312
245,115.1844
246,115.7642
247,115.2386
248,118.8649
249,115.4824
250,119.7700
251,110.2513
252,110.9120
253,110.1424
254,112.4856
255,120.4754
256,121.2013
257,118.2594
258,111.2680
259,114.0737
260,117.7584
261,113.0148
262,115.3854
263,115.4554
264,115.5234
265,128.2286
266,190.3010
267,192.6377
268,178.5803
269,159.5392
270,141.9447
271,133.5464
272,122.7144
273,116.1011
274,117.7561
275,119.9537
276,114.5915
277,115.9143
278,121.3020
279,112.9671
280,118.5074
281,113.6779
282,127.1320
283,118.7294
284,116.7587
285,110.5567
286,123.1712
287,118.3308
288,115.2699
289,110.8435
290,117.3800
291,119.8195
292,118.4301
293,115.0266
294,115.8184
295,114.3392
296,117.8865
297,118.6491
298,111.8377
299,115.1591
300,110.4957
301,111.1074
302,115.2102
303,113.8843
304,113.1624
305,110.3838
306,112.0981
307,112.9155
308,117.0951
309,117.8563
310,117.9873
311,119.8015
312,115.2475
313,119.3262
314,112.7997
315,117.4119
316,115.9894
317,122.2207
318,116.1535
319,119.3348
320,125.2135
321,112.7297
322,117.1787
323,113.8564
324,116.2051
325,117.6393
326,118.8504
327,113.5114
328,112.7567
329,132.4220
330,131.5497
331,130.4816
332,117.6047
333,109.8488
334,117.1489
335,116.7360
336,114.7803
337,116.2318
338,114.7388
339,124.0969
340,116.9516
341,116.3994
342,118.6363
343,109.5056
344,115.7481
345,114.4900
346,115.1399
347,111.6885
348,111.2220
349,116.2489
350,112.2227
351,120.0849
352,115.6290
353,113.4788
354,121.9571
355,117.8128
356,116.9791
357,120.4802
358,115.4960
359,119.7861
360,116.3121
361,119.7092
362,119.7487
363,117.4817
364,119.2400
365,120.9482
366,119.3485
367,116.4349
368,115.0776
369,116.5877
370,110.7932
371,117.3767
372,120.4361
373,118.7294
374,127.4970
375,123.5896
376,134.8103
377,143.6376
378,154.3820
379,138.3082
380,133.3413
381,126.4383
382,125.3866
383,124.2276
384,118.6129
385,121.5169
386,116.0359
387,117.2922
388,112.7964
389,120.9187
390,115.1777
391,110.7574
392,120.4162
393,110.5163
394,117.5961
395,118.6335
396,118.4174
397,112.1900
398,121.2877
399,114.9582
400,106.4999
401,117.6821
402,120.9831
403,117.0702
404,116.1431
405,112.7322
406,114.2563
407,113.7970
408,120.4019
409,123.0115
410,122.5358
411,122.0345
412,123.3214
413,115.5690
414,119.4258
415,115.6993
416,114.6798
417,116.7681
418,123.6625
419,114.8301
420,113.8298
421,114.6143
422,113.6950
423,120.0618
424,117.5493
425,118.3122
426,118.9978
427,115.6383
428,113.9821
429,120.9565
430,111.9994
431,115.6503
432,113.0938
433,107.4765
434,120.3721
435,115.6616
436,117.2606
437,119.6110
438,114.4730
439,125.5645
440,120.3662
441,119.0025
442,112.5924
443,107.9388
444,117.9520
445,120.6107
446,122.0777
447,118.3376
448,115.1885
449,117.4616
450,112.4277
451,116.5854
452,116.5355
453,117.0037
454,115.1597
455,116.1930
456,114.4967
457,115.9666
458,123.8048
459,116.0802
460,114.1169
461,114.8307
462,117.5139
463,119.1608
464,118.6097
465,115.5754
466,112.1795
467,119.7922
468,117.1531
469,127.1367
470,130.4310
471,142.5599
472,159.3922
473,179.9835
474,168.6448
475,153.3579
476,140.1673
477,128.0294
478,119.6132
479,120.8756
480,121.2101
481,124.1945
482,118.8817
483,114.4691
484,114.4641
485,121.4166
486,120.1712
487,115.6280
488,119.9213
489,118.3124
490,110.0185
491,116.7381
492,116.1925
493,114.2570
494,113.7660
495,111.8344
496,120.1258
497,120.7323
498,120.0509
499,122.5302
500,120.1465
501,118.3303
502,124.4235
503,117.1802
504,120.2689
505,119.0128
506,113.4770
507,121.4926
508,114.2850
509,114.9185
510,113.5758
511,116.1786
512,121.9300
513,110.9748
514,118.7953
515,119.3149
516,114.3568
517,109.5277
518,118.8001
519,115.7215
520,116.4981
521,117.8945
522,111.1491
523,116.6010
524,115.8212
525,109.3458
526,116.5167
527,117.0385
528,118.2088
529,113.1363
530,124.0820
531,115.7665
532,118.6689
533,117.9118
534,120.4272
535,115.4391
536,122.3171
537,117.1554
538,115.0279
539,116.6052
540,119.9275
541,112.2794
542,117.3387
543,115.8834
544,120.7132
545,113.2543
546,120.9300
547,134.8961
548,135.2167
549,126.4609
550,114.8629
551,122.3123
552,126.0787
553,116.1074
554,113.2700
555,114.0439
556,120.1553
557,115.3771
558,114.4543
559,114.5256
560,114.3227
561,121.3651
562,117.6021
563,117.4897
564,117.7055
565,112.9305
566,116.1945
567,114.2085
568,117.5465
569,131.0474
570,142.7847
571,144.8476
572,127.9759
573,126.6131
574,119.7792
575,120.9935
576,122.4425
577,118.7024
578,120.8779
579,116.5527
580,112.4433
581,119.4495
582,114.3239
583,122.2045
584,117.7578
585,113.9916
586,118.9047
587,115.1343
588,109.4363
589,119.4375
590,109.9769
591,119.8334
592,109.4504
593,117.6422
594,117.4841
595,113.8664
596,123.1068
597,120.5370
598,115.4744
599,118.6150
600,113.8798
601,114.5871
602,115.1383
603,113.9842
604,120.6812
605,117.0523
606,115.3622
607,119.2453
608,117.4427
609,115.2364
610,118.4442
611,119.7974
612,115.7729
613,118.1095
614,108.8898
615,115.3826
616,120.7415
617,119.4290
618,108.6489
619,120.4704
620,114.8890
621,120.7330
622,117.1348
623,117.2412
624,117.1563
625,123.1922
626,113.7178
627,117.2215
628,120.1518
629,118.7741
630,109.5163
