Slice,Mean
1,8784.526
2,8543.307
3,8649.155
4,8450.840
5,8639.605
6,8404.549
7,8471.869
8,8461.939
9,8529.629
10,8503.765
11,8712.278
12,8619.483
13,8756.190
14,8748.423
15,8723.280
16,8664.760
17,8630.840
18,8662.122
19,8562.123
20,8685.515
21,8633.005
22,8683.998
23,8634.405
24,8627.524
25,8560.830
26,8508.200
27,8572.488
28,8597.406
29,8417.500
30,8473.043
31,8500.613
32,8661.506
33,8629.003
34,8594.302
35,8470.595
36,8551.074
37,8489.593
38,8559.352
39,8521.778
40,8531.395
41,8541.953
42,8512.608
43,8659.062
44,8425.486
45,8482.536
46,8479.754
47,8510.379
48,8507.738
49,8433.860
50,8566.193
51,8470.848
52,8567.239
53,8548.485
54,8522.992
55,8510.901
56,8536.467
57,8523.461
58,8484.736
59,8497.126
60,8384.786
61,8404.109
62,8564.502
63,8514.266
64,8447.225
65,8419.245
66,8546.155
67,8498.204
68,8407.504
69,8547.455
70,8296.504
71,8466.472
72,8501.825
73,8371.894
74,8405.178
75,8544.885
76,8416.931
77,8484.923
78,8561.506
79,8584.780
80,8667.548
81,8629.407
82,8666.727
83,8603.372
84,8724.226
85,8635.537
86,8621.565
87,8704.472
88,8722.403
89,8603.527
90,8535.248
91,8604.390
92,8655.007
93,8725.646
94,8638.767
95,8688.895
96,8696.764
97,8412.646
98,8571.752
99,8572.848
100,8503.687
101,8457.630
102,8471.516
103,8575.788
104,8548.432
105,8627.251
106,8470.513
107,8632.489
108,8545.027
109,8554.858
110,8555.570
111,8500.766
112,8586.179
113,8588.409
114,8580.824
115,8515.962
116,8545.946
117,8451.516
118,8541.984
119,8565.632
120,8511.729
121,8560.506
122,8593.128
123,8580.651
124,8510.669
125,8442.807
126,8512.287
127,8433.191
128,8561.505
129,8548.499
130,8544.815
131,8443.177
132,8583.862
133,8386.248
134,8592.675
135,8528.669
136,8575.885
137,8546.037
138,8557.884
139,8384.291
140,8345.639
141,8592.760
142,8420.908
143,8432.293
144,8497.650
145,8666.693
146,8534.534
147,8693.854
148,8554.785
149,8594.413
150,8620.238
151,8551.989
152,8644.862
153,8499.577
154,8655.986
155,8724.940
156,8570.364
157,8627.906
158,8755.931
159,8570.814
160,8636.666
161,8470.164
162,8604.398
163,8705.125
164,8642.413
165,8532.394
166,8640.601
167,8541.122
168,8532.345
169,8625.450
170,8582.017
171,8605.931
172,8644.174
173,8621.074
174,8687.673
175,8579.367
176,8673.487
177,8542.146
178,8562.351
179,8576.372
180,8612.489
181,8581.656
