Slice,Mean
1,44.9912
2,45.0783
3,45.0234
4,46.1062
5,47.0911
6,43.3438
7,41.9122
8,44.6257
9,44.2669
10,45.6106
11,43.4404
12,44.2890
13,45.8562
14,45.7683
15,46.7373
16,43.4970
17,43.2728
18,45.8263
19,50.8174
20,47.4028
21,48.1993
22,63.8561
23,61.9804
24,58.7864
25,53.8550
26,48.7190
27,47.0134
28,47.3868
29,47.5045
30,45.4200
31,45.5858
32,47.5154
33,43.6915
34,43.9195
35,43.8531
36,45.2769
37,45.4732
38,43.9885
39,43.7327
40,42.6874
41,49.3402
42,59.8697
43,69.1763
44,62.6864
45,57.2881
46,53.0361
47,51.4654
48,50.0769
49,45.2353
50,48.0897
51,45.5149
52,47.1769
53,44.6841
54,47.4002
55,43.8306
56,43.0478
57,41.7024
58,43.3087
59,45.8931
60,45.8586
61,42.9400
62,45.5881
63,46.5460
64,44.3895
65,48.6077
66,45.6325
67,44.4838
68,44.3435
69,45.8240
70,48.3965
71,43.4455
72,42.1100
73,44.9975
74,42.4783
75,50.3831
76,43.7976
77,48.5827
78,42.9308
79,45.4513
80,46.8505
81,46.0363
82,42.7656
83,43.2781
84,44.6215
85,45.8353
86,43.6285
87,46.6112
88,42.5542
89,45.2918
90,45.9865
91,43.3040
92,51.7154
93,46.6860
94,45.0712
95,45.1858
96,47.1462
97,43.0483
98,47.5142
99,43.8342
100,44.2330
101,43.5769
102,44.7254
103,47.1384
104,44.1325
105,46.1551
106,45.4186
107,47.0857
108,45.7399
109,45.2005
110,43.6961
111,44.2592
112,46.4049
113,44.3440
114,46.4415
115,51.5230
116,72.0704
117,79.8398
118,85.7356
119,72.0413
120,66.6033
121,59.8999
122,56.2495
123,51.4077
124,47.1055
125,48.5288
126,50.3054
127,48.2588
128,47.4898
129,47.1592
130,46.5262
131,47.5626
132,48.1785
133,48.9099
134,44.3393
135,45.9568
136,46.1304
137,44.2890
138,47.5046
139,45.0944
140,48.2658
141,46.2104
142,47.9851
143,43.7031
144,45.6820
145,50.1358
146,44.6883
147,48.0069
148,45.6580
149,48.2986
150,46.2141
151,43.7158
152,46.9455
153,48.6139
154,43.2673
155,43.8039
156,46.1994
157,45.9410
158,48.6644
159,46.4286
160,44.3813
161,44.6670
162,45.6716
163,46.3472
164,43.8800
165,44.6373
166,46.8339
167,45.8145
168,44.2183
169,46.3515
170,45.8315
171,48.5096
172,44.0472
173,46.9750
174,48.4995
175,45.7351
176,48.4078
177,45.7254
178,45.2615
179,45.5440
180,43.5341
181,45.8184
182,47.2719
183,44.0810
184,43.9119
185,48.1489
186,45.1504
187,45.0994
188,44.8462
189,44.8031
190,43.9803
191,43.4634
192,45.2830
193,45.5988
194,46.1507
195,45.8160
196,45.4649
197,44.0315
198,46.3745
199,45.6710
200,43.3388
201,46.3290
202,49.4858
203,45.1335
204,46.1663
205,43.8314
206,45.5822
207,47.1562
208,46.5329
209,43.4317
210,46.2923
211,44.1018
212,46.2479
213,47.3310
214,44.5823
215,46.1577
216,52.0090
217,48.1612
218,43.3829
219,47.3198
220,45.5456
221,45.2842
222,45.5081
223,64.0169
224,91.3262
225,95.9109
226,87.4262
227,82.0027
228,63.0618
229,58.7808
230,56.4915
231,54.5982
232,52.9879
233,51.7568
234,51.0541
235,50.5630
236,47.4181
237,50.0458
238,44.9553
239,48.3043
240,48.6520
241,46.2417
242,47.7511
243,45.6438
244,48.6832
245,47.2399
246,48.8864
247,48.9130
248,44.8847
249,47.1930
250,48.5417
251,45.2664
252,47.2559
253,46.4299
254,47.7379
255,47.0433
256,48.5033
257,48.0055
258,46.8641
259,47.1236
260,44.8664
261,44.9684
262,49.0973
263,46.1120
264,47.7456
265,44.5943
266,46.4546
267,51.2069
268,46.8420
269,46.1359
270,45.9560
271,43.5995
272,47.9946
273,45.3081
274,46.6491
275,46.7349
276,48.2161
277,49.8031
278,44.2788
279,45.3403
280,46.1610
281,45.8417
282,47.6828
283,47.6137
284,44.1426
285,49.7970
286,47.4157
287,47.2724
