Slice,Mean
1,7725.660
2,7596.516
3,7568.287
4,7454.300
5,7411.707
6,7444.482
7,7463.772
8,7395.864
9,7419.021
10,7403.278
11,7410.586
12,7413.319
13,7364.592
14,7306.270
15,7330.209
16,7453.416
17,7313.588
18,7354.313
19,7285.180
20,7267.377
21,7278.487
22,7314.269
23,7287.900
24,7284.785
25,7338.393
26,7321.852
27,7239.948
28,7243.688
29,7301.882
30,7338.125
31,7259.226
32,7272.555
33,7276.541
34,7276.826
35,7282.331
36,7277.059
37,7243.835
38,7225.918
39,7212.326
40,7233.108
41,7182.845
42,7221.507
43,7205.078
44,7190.367
45,7187.492
46,7233.793
47,7232.740
48,7234.793
49,7162.885
50,7176.250
51,7155.604
52,7192.800
53,7205.587
54,7229.843
55,7156.161
56,7149.794
57,7133.902
58,7094.191
59,7091.257
60,7163.652
61,7223.249
62,7224.901
63,7285.610
64,7251.225
65,7285.923
66,7286.545
67,7261.910
68,7244.970
69,7275.250
70,7253.422
71,7234.133
72,7200.250
73,7213.437
74,7203.000
75,7212.685
76,7230.437
77,7215.467
78,7251.714
79,7211.405
80,7207.346
81,7179.851
82,7214.132
83,7225.905
84,7213.734
85,7207.181
86,7160.002
87,7178.919
88,7227.445
89,7192.444
90,7196.501
91,7195.612
92,7196.032
93,7176.739
94,7171.039
95,7166.338
96,7181.738
97,7187.403
98,7233.985
99,7173.472
100,7235.145
101,7225.941
102,7229.470
103,7185.641
104,7147.165
105,7199.604
106,7238.952
107,7196.897
108,7157.494
109,7244.823
110,7247.953
111,7206.809
112,7150.592
113,7164.545
114,7219.637
115,7166.146
116,7199.373
117,7191.918
118,7199.944
119,7198.753
120,7204.741
121,7220.930
122,7251.102
123,7227.190
124,7269.694
125,7180.401
126,7180.866
127,7183.266
128,7122.483
129,7127.559
130,7186.225
131,7175.001
132,7153.188
133,7150.776
134,7177.041
135,7174.992
136,7192.580
137,7182.337
138,7158.979
139,7147.632
140,7084.534
141,7137.169
142,7129.807
143,7188.998
144,7124.518
145,7134.549
146,7159.970
147,7165.677
148,7171.608
149,7164.483
150,7152.749
151,7108.525
152,7180.492
153,7177.958
154,7108.506
155,7084.865
156,7090.999
157,7147.617
158,7115.943
159,7112.117
160,7141.547
161,7106.248
162,7111.104
163,7106.952
164,7079.856
165,7098.830
166,7086.604
167,7088.520
168,7099.448
169,7071.566
170,7113.843
171,7086.742
172,7017.630
173,7102.690
174,7121.962
175,7033.546
176,7064.334
177,7070.944
178,7072.810
179,7034.940
180,7092.966
181,7060.529
182,7013.977
183,7019.816
184,7028.478
185,7041.916
186,7042.699
187,7077.396
188,7052.822
189,6967.886
190,7052.365
191,7066.099
192,7026.733
193,7032.312
194,7050.061
195,6961.018
196,6932.989
197,6989.780
198,7020.469
199,7026.753
200,7046.546
201,7037.053
202,7066.250
203,7120.056
204,7149.633
205,7089.355
206,7149.954
207,7127.740
208,7116.927
209,7161.225
210,7140.109
211,7111.905
212,7096.435
213,7090.115
214,7067.056
215,7102.077
216,7039.313
217,7076.549
218,7069.567
219,7049.912
220,7005.765
221,7046.730
222,7033.674
223,7004.778
224,7037.648
225,7018.945
226,7049.823
227,7040.571
228,7026.354
229,6986.285
230,6918.053
231,6975.490
232,7024.173
233,7066.296
234,7018.074
235,7047.607
236,7054.083
237,7008.929
238,7031.281
239,7019.371
240,7034.215
241,7001.020
242,7081.181
243,7029.473
244,7060.386
245,7024.060
246,7022.693
247,7029.607
248,7024.109
249,7028.725
250,7013.111
251,6953.521
252,7015.781
253,6945.045
254,7011.146
255,6972.892
256,6989.578
257,7006.344
258,6982.135
259,7021.845
260,6969.340
261,6995.913
262,7005.916
263,7013.083
264,6990.756
265,6992.102
266,6996.868
267,6958.042
268,6975.387
269,6947.042
270,6956.625
271,6947.961
272,6858.780
273,6911.089
274,7019.030
275,7020.552
276,7047.951
277,6989.030
278,7038.831
279,7095.124
280,6997.358
281,7053.762
282,7000.719
283,7035.133
284,7016.789
285,7026.466
286,7016.844
287,7003.169
288,6985.167
289,7011.644
290,7028.613
291,6949.938
292,7046.919
293,6979.369
294,6995.259
295,7009.041
296,7091.220
297,7027.437
298,6985.008
299,7044.902
300,7048.274
301,7017.857
302,7056.565
303,7065.709
304,7099.927
305,7063.031
306,7070.116
307,7021.758
308,7097.058
309,7063.974
310,7081.762
311,7009.776
312,7052.780
313,7081.936
314,7057.729
315,7098.452
316,7085.617
317,7044.273
318,7036.740
319,7060.161
320,7142.941
321,7070.602
322,7029.176
323,7089.488
324,7088.134
325,7107.979
326,7025.925
327,7035.728
328,7015.947
329,7004.032
330,7122.262
331,7063.750
332,6990.462
333,7040.696
334,7001.366
335,7005.940
336,7033.982
337,7031.034
338,6998.254
339,6931.596
340,6998.361
341,6962.509
342,6863.628
343,6985.187
344,6993.635
345,7021.389
346,6969.511
347,7009.106
