Slice,Mean
1,68.0825
2,66.5858
3,68.0462
4,67.7096
5,68.7672
6,68.4022
7,67.6967
8,67.7712
9,69.6659
10,68.2195
11,70.2557
12,70.3073
13,66.2940
14,68.3669
15,68.9211
16,70.1006
17,69.8616
18,68.1090
19,68.7224
20,69.8292
21,69.9386
22,68.2104
23,70.9352
24,66.7158
25,71.2669
26,67.1505
27,71.0748
28,67.9929
29,69.0699
30,71.6957
31,69.5857
32,69.0385
33,67.3674
34,67.8942
35,68.2780
36,68.1311
37,67.5998
38,66.7620
39,70.0515
40,67.0945
41,68.8624
42,70.0548
43,67.7446
44,67.9296
45,66.1216
46,68.1696
47,68.9381
48,69.2259
49,68.3425
50,68.8583
51,69.2446
52,67.9003
53,68.2547
54,69.2501
55,69.8549
56,69.6755
57,69.4200
58,66.4324
59,72.2590
60,68.1211
61,69.0541
62,69.3081
63,78.6965
64,102.8559
65,114.1823
66,114.9429
67,102.5134
68,87.9476
69,79.9718
70,74.8321
71,72.3137
72,73.0090
73,71.1333
74,72.5269
75,71.4045
76,69.9427
77,71.1202
78,73.5354
79,67.8547
80,70.6045
81,71.0288
82,68.5079
83,69.7794
84,70.0777
85,67.0055
86,68.8958
87,68.3837
88,69.8786
89,70.9710
90,70.3438
91,68.8786
92,69.8355
93,70.8672
94,70.9379
95,71.4514
96,70.1032
97,68.3470
98,70.2753
99,68.5271
100,71.5883
101,72.0768
102,71.0751
103,70.6988
104,70.4624
105,69.7638
106,70.5753
107,69.8050
108,68.7139
109,70.6372
110,69.0289
111,70.7929
112,71.4336
113,71.5933
114,70.0647
115,71.4453
116,72.3671
117,66.9913
118,70.8174
119,70.2360
120,69.4804
121,69.5985
122,72.0897
123,71.0627
124,70.3725
125,71.2985
126,70.9266
127,70.1331
128,69.3577
129,72.0112
130,70.2251
131,70.4584
132,67.5616
133,70.4857
134,72.4567
135,69.1797
136,69.5813
137,70.6334
138,69.6872
139,71.3807
140,70.5777
141,68.2966
142,70.2296
143,70.5617
144,70.9734
145,69.9262
146,67.2310
147,70.4029
148,71.2020
149,69.4114
150,71.8374
151,70.5859
152,72.6315
153,76.7889
154,114.0509
155,135.4354
156,117.9524
157,105.6705
158,91.3033
159,82.6552
160,80.3413
161,77.4056
162,73.9511
163,76.0983
164,71.9090
165,72.7277
166,75.1399
167,73.0763
168,71.7283
169,71.1029
170,73.8938
171,73.9227
172,72.2718
173,71.1180
174,73.9333
175,73.4558
176,73.3152
177,72.1066
178,70.0135
179,69.5575
180,70.1759
