Slice,Mean
1,6073.415
2,5852.883
3,5851.756
4,5753.686
5,5675.873
6,5676.203
7,5746.580
8,5734.833
9,5644.009
10,5604.730
11,5709.164
12,5709.146
13,5762.143
14,5666.788
15,5698.800
16,5731.659
17,5575.225
18,5651.393
19,5669.511
20,5671.497
21,5702.061
22,5691.449
23,5647.731
24,5712.983
25,5637.052
26,5599.975
27,5650.080
28,5581.747
29,5533.687
30,5669.304
31,5700.891
32,5574.317
33,5596.808
34,5599.866
35,5641.284
36,5666.444
37,5578.646
38,5645.902
39,5581.178
40,5787.341
41,5790.442
42,5740.933
43,5596.727
44,5723.193
45,5636.755
46,5710.896
47,5551.350
48,5721.915
49,5752.517
50,5580.677
51,5573.495
52,5697.141
53,5630.895
54,5605.708
55,5630.207
56,5720.389
57,5713.579
58,5595.405
59,5728.804
60,5654.720
61,5568.950
62,5741.046
63,5598.081
64,5596.209
65,5620.524
66,5729.534
67,5692.090
68,5694.870
69,5640.222
70,5773.393
71,5716.347
72,5782.004
73,5544.956
74,5738.351
75,5657.630
76,5802.224
77,5670.725
78,5571.140
79,5736.357
80,5767.030
81,5609.494
82,5694.678
83,5800.909
84,5599.530
85,5701.425
86,5682.157
87,5630.523
88,5621.674
89,5613.344
90,5853.625
91,5826.740
92,5632.021
93,5700.249
94,5501.717
95,5555.349
96,5761.425
97,5721.055
98,5748.212
99,5732.594
100,5668.214
101,5659.362
102,5780.791
103,5634.855
104,5923.654
105,5672.396
106,5749.142
107,5821.408
108,5738.495
109,5770.565
110,5725.116
111,5705.174
112,5784.541
113,5785.445
114,5644.109
115,5662.000
116,5667.072
117,5715.669
118,5738.234
119,5759.345
120,5618.398
121,5638.761
122,5635.044
123,5693.943
124,5738.056
125,5705.416
126,5794.961
127,5710.124
128,5857.589
129,5760.699
130,5763.404
131,5785.914
132,5867.987
133,5640.598
134,5809.812
135,5734.854
136,5774.014
137,5620.837
138,5669.042
139,5568.721
140,5604.454
141,5797.289
142,5632.776
143,5874.773
144,5642.398
145,5765.894
146,5670.640
147,5825.981
148,5733.474
149,5746.550
150,5816.115
151,5762.860
152,5806.591
153,5778.004
154,5945.470
155,5701.155
156,5746.231
157,5848.866
158,5661.319
159,5893.642
160,5848.429
161,5848.703
162,5766.231
163,5735.182
164,5784.935
165,5698.701
166,5818.522
167,5929.454
168,5810.463
169,5776.148
170,5784.698
171,5960.304
172,5931.701
173,5859.349
174,5732.566
175,5735.656
176,5853.995
177,5782.038
178,5758.183
179,5757.653
180,5670.879
181,5746.764
182,5925.375
183,5827.916
184,5836.918
185,5734.381
186,5847.888
187,5721.551
188,5785.579
189,5864.193
190,5722.743
191,5721.914
192,5705.976
193,5882.121
194,5844.188
195,5906.237
196,5771.285
197,5744.863
198,5791.451
199,5880.359
200,5725.545
201,5737.047
202,5712.084
203,5741.332
204,5625.897
205,5681.295
206,5804.478
207,5954.756
208,5797.917
209,5923.979
210,5775.709
211,5707.216
212,5751.940
213,5846.816
214,5860.951
215,5790.727
216,5927.875
217,5889.567
218,5901.360
219,5839.656
220,5681.819
221,5770.361
222,5798.998
223,5888.860
224,5883.953
225,5922.293
226,5853.997
227,5798.482
228,5878.454
229,5808.034
230,5827.518
231,5831.275
232,5696.799
233,5875.847
234,5906.492
235,5832.460
236,5753.410
237,5716.042
238,5754.612
239,5852.763
240,5940.908
241,5713.635
242,5916.424
243,5818.383
244,5825.371
